N	2gram	Savitsky_P_1	formyVre
1	и в	14	46
2	в этом	10	22
3	и т	3	14
4	прежде всего	3	14
5	во всех	2	11
6	не только	17	11
7	только в	7	11
8	как бы	4	10
9	точки зрения	3	10
10	в том	9	10
11	но в	9	10
12	не в	5	9
13	но и	6	9
14	вместе с	1	9
15	и не	12	9
16	то же	9	8
17	как и	1	8
18	с точки	3	8
19	для того	3	8
20	того чтобы	1	8
21	потому что	3	8
22	в его	2	8
23	из них	2	8
24	в основном	1	8
25	и на	1	7
26	в них	2	7
27	может быть	5	7
28	то что	4	7
29	еще не	1	6
30	все же	1	6
31	этом мире	1	6
32	и с	2	6
33	его в	1	6
34	никогда не	1	6
35	те же	1	6
36	все это	2	6
37	но не	3	5
38	с этим	2	5
39	в своем	4	5
40	связанные с	1	5
41	в нем	3	5
42	должно быть	2	5
43	в то	7	5
44	в частности	2	5
45	в пределах	8	5
46	в смысле	6	5
47	что в	4	5
48	отношения к	2	4
49	также и	1	4
50	в мире	2	4
51	в истории	1	4
52	уже в	1	4
53	из этих	1	4
54	в себе	3	4
55	том что	4	4
56	в котором	4	4
57	место в	1	4
58	же время	7	4
59	к смерти	1	4
60	в эпоху	1	4
61	вопросу о	1	4
62	мир в	1	4
63	с другом	1	4
64	а не	2	4
65	отнюдь не	2	4
66	в ряду	2	4
67	друг с	1	4
68	еще более	2	4
69	же в	4	4
70	есть и	1	4
71	хотя и	3	3
72	и как	3	3
73	весь мир	1	3
74	отчасти и	1	3
75	в большинстве	1	3
76	т д	1	3
77	при виде	1	3
78	и по	1	3
79	прежде чем	1	3
80	а затем	1	3
81	по всему	1	3
82	в которых	5	3
83	что было	1	3
84	она ни	2	3
85	на основе	1	3
86	в борьбе	1	3
87	а также	4	3
88	что и	1	3
89	того что	2	3
90	тот же	3	3
91	во времени	1	3
92	в качестве	9	3
93	большинстве случаев	1	3
94	в прошлом	1	3
95	не было	2	3
96	в это	1	3
97	тем более	2	3
98	в этих	1	3
99	а в	4	3
100	и другие	1	3
101	том числе	2	3
102	жизни она	1	2
103	и есть	2	2
104	тем же	1	2
105	говорить о	2	2
106	он был	1	2
107	бы она	1	2
108	если в	2	2
109	к ним	1	2
110	и к	4	2
111	в этой	1	2
112	с одной	3	2
113	только один	1	2
114	не могла	1	2
115	и вот	2	2
116	с формами	1	2
117	по себе	4	2
118	далеко не	1	2
119	с тем	3	2
120	друг другу	2	2
121	и более	1	2
122	и великого	1	2
123	бы нас	1	2
124	в историческом	1	2
125	в отношении	10	2
126	она не	1	2
127	там где	1	2
128	и всегда	1	2
129	более что	1	2
130	могут быть	3	2
131	числе и	1	2
132	и потому	4	2
133	и это	2	2
134	и о	5	2
135	в себя	1	2
136	особенно в	1	2
137	находится в	1	2
138	борьбе с	1	2
139	это не	3	2
140	и только	1	2
141	мы видим	1	2
142	и других	2	2
143	сами по	3	2
144	каждый из	1	2
145	не были	1	2
146	или иной	1	2
147	с другой	5	2
148	именно в	2	2
149	было бы	6	2
150	и пр	5	2
151	их не	1	2
152	что все	1	2
153	не может	4	2
154	все основные	1	2
155	так же	1	2
156	в данном	1	2
157	наряду с	3	2
158	дело идет	1	2
159	как явление	1	2
160	в иной	1	2
161	как на	2	2
