N	2gram	Voloshinov_1	Narrotol
1	не только	8	26
2	а не	7	17
3	но и	8	15
4	при этом	8	14
5	в том	6	14
6	в качестве	2	14
7	и не	26	14
8	в этом	16	13
9	и в	19	13
10	том что	3	13
11	такого рода	1	12
12	только в	9	11
13	в частности	2	11
14	может быть	26	10
15	в данном	4	10
16	сводится к	3	9
17	так и	11	9
18	к тому	2	9
19	а в	4	9
20	в себе	2	8
21	то что	8	8
22	не в	5	8
23	не может	24	8
24	в рамках	1	6
25	в своем	2	6
26	все же	8	6
27	и к	3	6
28	но в	7	6
29	никогда не	2	6
30	ничего не	6	6
31	и т.п	10	6
32	можно сказать	3	6
33	в его	6	6
34	того что	3	6
35	со стороны	1	6
36	прежде всего	13	6
37	как бы	15	6
38	жизни в	4	6
39	ответ на	1	5
40	отличие от	5	5
41	что он	2	5
42	как в	4	5
43	хотя и	1	5
44	в нем	10	5
45	тем не	2	5
46	он не	3	5
47	таким образом	17	5
48	и тем	1	5
49	далеко не	4	5
50	точки зрения	34	5
51	в котором	3	5
52	место в	3	5
53	не столько	4	5
54	тем самым	1	5
55	в то	3	5
56	на него	1	5
57	о том	2	5
58	в форме	1	5
59	с одной	1	5
60	по отношению	3	5
61	с другой	5	5
62	одной стороны	1	5
63	себе самому	1	5
64	в той	1	5
65	в отличие	5	5
66	отношению к	2	5
67	то же	7	4
68	в ее	7	4
69	в этой	1	4
70	отнюдь не	6	4
71	что это	1	4
72	уже не	1	4
73	все его	1	4
74	в своей	3	4
75	в конце	5	4
76	не менее	4	4
77	но при	2	4
78	времени и	1	4
79	если бы	2	4
80	и т.д	2	4
81	в другом	2	4
82	в какой	3	4
83	для него	9	4
84	как и	12	4
85	как это	1	4
86	в литературе	2	4
87	не является	4	4
88	и все	5	4
89	жизни и	2	4
90	что в	4	4
91	самом деле	10	3
92	а как	3	3
93	с его	1	3
94	но не	1	3
95	как к	2	3
96	в целом	1	3
97	все эти	7	3
98	в известном	1	3
99	и его	19	3
100	так сказать	6	3
101	не следует	1	3
102	внутренней речи	9	3
103	и по	1	3
104	он является	3	3
105	в слове	10	3
106	характер и	1	3
107	и того	6	3
108	что я	1	3
109	точку зрения	2	3
110	тому что	2	3
111	одна из	2	3
112	того чтобы	5	3
113	же время	3	3
114	по своей	1	3
115	этом отношении	3	3
116	той или	1	3
117	мира и	2	3
118	строго говоря	1	3
119	между собой	2	3
120	о нем	1	3
121	за пределами	2	3
122	это не	1	3
123	к ней	1	3
124	с ними	1	3
125	между тем	3	3
126	первого лица	1	3
127	или даже	1	3
128	представить себе	1	3
129	для других	2	3
130	как раз	2	3
131	и даже	2	3
132	или иной	3	3
133	человек в	1	3
134	с этой	2	3
135	и для	11	3
136	сказать что	4	3
137	к его	2	3
138	в таком	2	3
139	он может	3	2
140	к другому	3	2
141	отношения между	1	2
142	должна быть	2	2
143	мы не	6	2
144	же как	2	2
145	в каждой	1	2
146	в ней	4	2
147	еще не	4	2
148	он сам	1	2
149	столь же	1	2
150	в чем	2	2
151	иного рода	1	2
152	на самом	3	2
153	себе и	2	2
154	как образ	1	2
155	ней в	1	2
156	однако не	2	2
157	могли бы	1	2
158	со своей	1	2
159	в самом	10	2
160	в нашем	2	2
