1	в себе	10	19
2	в этом	20	16
3	как и	13	16
4	и в	46	16
5	может быть	21	16
6	и не	18	15
7	а не	13	14
8	но и	15	11
9	в мире	7	11
10	но в	10	11
11	том что	4	10
12	не только	18	10
13	своего рода	1	10
14	не может	15	9
15	так и	4	9
16	такого рода	2	9
17	в том	3	8
18	а также	1	8
19	как в	7	8
20	ни в	3	7
21	в нем	22	7
22	прежде всего	12	7
23	в своих	3	6
24	то же	5	6
25	с его	4	6
26	в своей	5	6
27	себя в	4	6
28	по своей	3	6
29	для него	18	5
30	а с	1	5
31	что в	4	5
32	с другой	1	5
33	ни к	1	5
34	то что	5	5
35	и на	3	5
36	в своем	8	5
37	этом отношении	1	4
38	точки зрения	2	4
39	мира и	1	4
40	к этому	1	4
41	как бы	8	4
42	в этой	7	4
43	в пределах	1	4
44	и то	1	4
45	человека в	14	4
46	в основе	2	4
47	я и	2	4
48	роль в	1	4
49	по отношению	2	4
50	потому что	12	4
51	отношению к	2	4
52	о том	3	4
53	известного рода	1	4
54	мира в	1	3
55	как будто	2	3
56	в другом	1	3
57	еще в	2	3
58	все эти	1	3
59	одном из	1	3
60	и его	5	3
61	приводит к	1	3
62	мысль о	2	3
63	и все	5	3
64	той или	1	3
65	он не	10	3
66	жизни и	6	3
67	но она	2	3
68	уже не	4	3
69	как на	1	3
70	и как	1	3
71	его в	3	3
72	в котором	1	3
73	в пределе	2	3
74	ведет к	13	3
75	в русской	6	3
76	не знает	9	3
77	только в	3	3
78	также и	4	3
79	в его	5	3
80	не в	9	3
81	и ее	1	3
82	в творчестве	3	3
83	или иной	2	3
84	в них	3	3
85	не было	11	3
86	принадлежит к	2	3
87	не знают	1	3
88	жизни а	2	3
89	но это	8	3
90	было в	3	3
91	в этих	2	3
92	это не	5	3
93	жизни в	3	3
94	момент в	3	2
95	что и	4	2
96	уже как	1	2
97	к которой	3	2
98	отношение к	8	2
99	к своему	2	2
100	мира с	1	2
101	своего другого	1	2
102	с точки	1	2
103	в ней	11	2
104	входит в	1	2
105	последних двух	1	2
106	а потом	1	2
107	бытия и	1	2
108	образ человека	1	2
109	все это	1	2
110	бессмертие и	2	2
111	перед лицом	1	2
112	это в	1	2
113	и для	7	2
114	того же	1	2
115	на примере	1	2
116	в записках	1	2
117	вместе с	2	2
118	место в	2	2
119	не о	2	2
120	личности в	2	2
121	живет в	1	2
122	по природе	1	2
123	что на	1	2
124	как все	1	2
125	а к	1	2
126	и прежде	1	2
127	этом мире	1	2
128	другого в	2	2
129	должно быть	2	2
130	интерес к	2	2
131	никогда не	18	2
132	и это	5	2
133	должна быть	1	2
134	лежит на	1	2
135	о любви	1	2
136	замечательных людей	1	2
137	той же	3	2
138	которых не	1	2
139	по преимуществу	5	2
140	есть в	3	2
141	природе своей	1	2
142	в той	1	2
143	а в	2	2
144	жизни не	2	2
145	на большую	1	2
146	говорить о	1	2
147	не к	2	2
148	человеческой жизни	2	2
149	у пушкина	1	2
150	что он	7	2
151	чем не	2	2
152	для себя	1	2
153	же как	3	2
154	не с	1	2
155	между тем	2	2
156	что же	2	2
157	с таким	2	2
158	со своим	2	2
159	в целом	1	2
160	на почве	3	2
161	с ней	1	2
162	тому как	2	2
163	говорит об	1	2
164	их в	1	2
165	укладу жизни	1	2
166	в свое	1	2
167	всякий раз	1	2
168	и с	3	2
169	что ни	1	2
170	подобно тому	2	2
171	более чем	2	2
172	о чем	1	2
173	жизни с	1	1
174	образа и	2	1
175	первые два	1	1
176	со своей	1	1
177	счастье чем	1	1
178	переходное состояние	1	1
179	это ведет	1	1
180	там и	6	1
181	бытия а	1	1
182	как с	1	1
183	в ее	1	1
184	выбора и	1	1
185	человеку а	1	1
186	не имеют	2	1
187	не могут	1	1
188	все три	1	1
189	не есть	13	1
190	и быть	1	1
191	к богу	2	1
192	доводит до	1	1
193	своем творчестве	1	1
194	хотя и	2	1
195	тем как	1	1
196	хранит в	1	1
197	а напротив	1	1
198	показывает как	1	1
199	на их	1	1
200	к одному	1	1
201	на деле	4	1
202	решения вопроса	3	1
203	пребывает в	1	1
204	в которой	2	1
205	к самому	2	1
206	не дает	1	1
207	к человеку	12	1
208	его жизнь	1	1
209	начала в	3	1
210	в культуре	1	1
211	а для	2	1
212	есть по	2	1
213	духовной жизни	1	1
214	к этим	1	1
215	нас в	2	1
216	человек в	3	1
217	совпадают с	1	1
218	на смерть	1	1
219	да и	2	1
220	то чтобы	1	1
221	так что	2	1
222	земное счастье	1	1
223	в сущности	2	1
224	есть не	5	1
225	одних и	1	1
226	и здесь	6	1
227	я не	5	1
228	мере в	1	1
229	в жизнь	1	1
230	не приводит	1	1
231	и там	6	1
232	вопрос о	6	1
233	истины и	1	1
234	и есть	8	1
235	с ним	3	1
236	его с	2	1
237	его героев	1	1
238	мир на	1	1
239	и каждый	1	1
240	другом и	1	1
241	той мере	1	1
242	право на	1	1
243	в вечность	1	1
244	но с	2	1
245	его не	2	1
246	в разговоре	1	1
247	христианской культуры	1	1
248	превращается в	2	1
249	друг на	1	1
250	и иван	3	1
251	еще более	2	1
252	и именно	1	1
253	вечности то	1	1
254	друга и	1	1
255	они были	3	1
256	бы его	2	1
257	о русском	2	1
258	во всем	5	1
259	всякий человек	2	1
260	на практике	1	1
261	не нужна	1	1
262	быть признаны	1	1
263	уже было	1	1
264	и во	3	1
265	формы и	1	1
266	к ней	2	1
267	и должно	3	1
268	как со	1	1
269	мир в	1	1
270	не принадлежит	1	1
271	по своему	1	1
272	к тому	5	1
273	во мне	1	1
274	человеком и	1	1
275	начало в	1	1
276	не стоит	3	1
277	в бессмертие	1	1
278	об их	1	1
279	но если	1	1
280	себя и	3	1
281	для этого	4	1
282	например о	1	1
283	проникает в	1	1
284	не быть	1	1
285	но они	1	1
286	но есть	1	1
287	она не	8	1
288	жизнь как	1	1
289	человек не	7	1
290	самого себя	4	1
291	и всегда	3	1
292	обнаруживается в	1	1
293	но также	1	1
294	друг друга	12	1
295	обращен к	4	1
296	того как	3	1
297	были бы	2	1
298	в разных	2	1
299	поражали и	1	1
300	человека не	4	1
301	об этом	1	1
302	не соответствует	1	1
303	она и	1	1
304	ее в	2	1
305	и мир	2	1
306	людей в	2	1
307	между ними	1	1
308	сам в	1	1
309	и что	2	1
310	другому в	1	1
311	в какой	1	1
312	во всех	2	1
313	не был	2	1
314	открывает себя	1	1
315	которую он	1	1
316	в такой	3	1
317	xix века	1	1
318	одной и	2	1
319	когда он	1	1
320	сказать что	3	1
321	так называемого	1	1
322	в финале	1	1
323	один из	5	1
324	тем что	3	1
325	человек как	1	1
326	в образе	3	1
327	любви и	3	1
328	я раскрывается	1	1
329	перед ним	4	1
330	века и	1	1
331	оно не	2	1
332	человеческого сознания	1	1
333	втором случае	1	1
334	добра и	5	1
335	что русский	2	1
336	требует от	1	1
337	человеческой личности	7	1
338	не внешними	1	1
339	и от	3	1
340	чем у	4	1
341	но без	1	1
342	но все	1	1
343	к чему	4	1
344	может не	1	1
345	в новом	1	1
346	если в	1	1
347	человека для	3	1
348	за пределы	1	1
349	в нашем	7	1
350	своей собственной	1	1
351	отличается от	1	1
352	личности к	2	1
353	на этом	2	1
354	не для	3	1
355	быть названо	1	1
356	человеческая жизнь	2	1
357	раз в	1	1
358	с прошлым	1	1
359	только это	2	1
360	в значительной	1	1
361	своей природе	1	1
362	и своим	2	1
363	стремлений к	1	1
