N	2gram	Tiupa_Anal_2	Stilisti
1	и в	16	42
2	не только	16	27
3	как бы	10	27
4	и т.п	8	24
5	прежде всего	3	22
6	и т.д	3	20
7	внутренней речи	4	18
8	хотя бы	1	17
9	то же	4	15
10	но и	12	15
11	и не	12	14
12	не может	4	12
13	может быть	6	12
14	мы уже	1	11
15	как и	14	11
16	точки зрения	4	11
17	отнюдь не	8	10
18	в этом	18	10
19	и как	1	10
20	как мы	3	10
21	мы должны	1	10
22	при этом	10	9
23	в то	2	9
24	то что	7	9
25	в себе	7	8
26	таким образом	2	8
27	тем самым	4	8
28	эти слова	1	8
29	что же	1	8
30	и на	6	7
31	в которой	1	7
32	было бы	3	7
33	и тем	4	7
34	так как	1	7
35	никогда не	3	7
36	же время	2	7
37	потому что	1	7
38	ничего не	9	7
39	с его	1	7
40	слов и	1	7
41	только в	4	7
42	и его	4	7
43	а не	10	7
44	во всех	4	6
45	в этой	9	6
46	но ведь	1	6
47	на его	3	6
48	в нем	1	6
49	не в	4	6
50	так и	15	6
51	ситуацией и	1	6
52	в конце	4	6
53	или иной	3	6
54	речи и	2	6
55	в свою	1	6
56	той же	2	5
57	уже в	1	5
58	в нашем	3	5
59	независимо от	1	5
60	и наконец	1	5
61	одно и	1	5
62	того или	3	5
63	с точки	2	5
64	тому что	1	5
65	в сознании	4	5
66	а в	3	5
67	не является	1	5
68	же самое	1	5
69	те же	2	5
70	в его	2	5
71	и является	4	5
72	и их	2	5
73	слова в	1	5
74	вместе с	2	5
75	как это	6	5
76	слова и	1	5
77	или иного	3	5
78	и то	3	4
79	самом деле	1	4
80	тем же	1	4
81	себя в	2	4
82	и к	5	4
83	но в	6	4
84	в самом	6	4
85	так сказать	1	4
86	уже не	4	4
87	можно было	3	4
88	в каждом	1	4
89	его в	2	4
90	на него	2	4
91	у нас	1	4
92	его внутренней	1	4
93	всего в	2	4
94	к тому	7	4
95	той или	3	4
96	на это	1	4
97	свою очередь	1	4
98	языка и	2	4
99	было в	1	4
100	если бы	3	4
101	в словах	3	4
102	о том	7	4
103	можно сказать	4	4
104	во внутренней	1	4
105	того что	2	4
106	один из	2	4
107	мы видим	1	4
108	в качестве	11	4
109	вопроса о	1	4
110	о своей	2	4
111	повествования о	1	4
112	то есть	9	4
113	к своему	2	4
114	не что	1	4
115	все это	4	4
116	бы в	3	4
117	зрения в	1	4
118	так же	2	4
119	долгое время	1	3
120	отношения к	2	3
121	слова о	1	3
122	социальной группы	1	3
123	еще не	2	3
124	то он	1	3
125	ответ на	3	3
126	перед нами	1	3
127	хотя и	4	3
128	мертвых душ	1	3
129	зрения как	1	3
130	если он	1	3
131	вследствие этого	2	3
132	не к	1	3
133	об этом	1	3
134	лишь в	9	3
135	это не	1	3
136	без внутренней	1	3
137	не мог	3	3
138	том что	12	3
139	в разных	1	3
140	слова как	1	3
141	связи с	1	3
142	внутренней жизни	1	3
143	может показаться	1	3
144	т.п и	1	3
145	да и	1	3
146	в виду	1	3
147	но при	1	3
148	в ее	1	3
149	роль в	2	3
150	внутреннюю речь	1	3
151	во второй	4	3
152	короче говоря	1	3
153	и здесь	1	3
154	нуждается в	1	3
155	конце фразы	1	3
156	только на	3	3
157	внешняя речь	1	3
158	из них	3	3
159	его и	1	3
160	не так	4	3
161	представить себе	1	3
162	в котором	2	3
163	в одном	2	3
164	не становится	1	3
165	что и	3	3
166	и даже	9	3
167	если не	1	3
168	высказывания с	1	3
169	в тех	1	3
170	этого слова	3	3
171	этом случае	4	3
172	в целом	8	3
173	высказывания и	2	3
174	в начале	1	3
175	и слово	2	3
176	тех или	2	3
177	и для	2	3
178	для нас	1	3
179	и все	3	3
180	не знает	3	3
181	сказать что	2	3
182	я и	3	2
183	также и	1	2
184	и больше	1	2
185	его не	1	2
186	со всех	1	2
187	мы имеем	3	2
188	высказывания в	3	2
189	но даже	1	2
190	и он	2	2
191	иное как	1	2
192	и всего	1	2
193	но не	4	2
194	очевидно что	1	2
195	себе и	1	2
196	как в	4	2
197	переживания и	1	2
198	тех случаях	1	2
199	как уже	3	2
