N	4gram	Bakhtin_Pr_1	formyVre
1	в то же время	7	6
2	и в то же	3	4
3	как мы уже говорили	1	3
4	можно прямо сказать что	1	2
5	так же как и	1	2
6	дело в том что	1	2
7	но для того чтобы	1	2
8	в то время как	1	2
9	то же время оно	1	1
10	видения и изображения в	1	1
11	то есть все то	1	1
12	бы он ни был	1	1
13	самого героя и его	1	1
14	есть все то что	1	1
15	то перед нами был	1	1
16	но в то же	2	1
17	перед нами был бы	1	1
18	с точки зрения которого	1	1
19	себе и на своей	1	1
20	на себе и на	1	1
21	с другими чертами его	1	1
22	к себе самому и	1	1
23	точка зрения на мир	2	1
