N	3gram	Vygotskiy__4	Komedia
1	к тому же	2	10
2	в том что	12	5
3	за то что	3	4
4	вместе с тем	2	4
5	о том что	10	4
6	для того чтобы	19	4
7	по отношению к	1	3
8	так или иначе	1	3
9	то же время	1	3
10	до тех пор	2	3
11	в то время	2	3
12	едва ли можно	1	3
13	в то же	1	3
14	в этом смысле	1	2
15	до сих пор	3	2
16	в той же	1	2
17	бы то ни	1	2
18	в это время	2	2
19	то время как	2	2
20	то ни было	1	2
21	с одной стороны	3	2
22	то что он	3	2
23	во всяком случае	3	2
24	и т п	3	2
25	к тому что	5	2
26	можно было бы	4	2
27	друг с другом	4	2
28	что и в	1	2
29	речь идет о	2	2
30	этой же сцене	1	1
31	все тот же	2	1
32	сводится к тому	2	1
33	в какой мере	2	1
34	и к тому	1	1
35	в самом деле	7	1
36	как это имело	1	1
37	никак не может	2	1
38	производит на нас	1	1
39	одна из них	3	1
40	с точки зрения	4	1
41	ни одно из	2	1
42	имеет в виду	1	1
43	ли в этом	1	1
44	и в то	1	1
45	с самого начала	5	1
46	о том чтобы	1	1
47	и та же	2	1
48	а может быть	1	1
49	то что в	3	1
50	что в нем	5	1
51	и в тех	1	1
52	в каком направлении	1	1
53	точно так же	3	1
54	что весь этот	1	1
55	не имеет другого	1	1
56	иначе чем это	1	1
57	так как он	1	1
58	его современников и	1	1
59	другой стороны он	1	1
60	то что у	1	1
61	ни в одном	1	1
62	в любви и	1	1
63	же ясно что	1	1
64	это было вызвано	1	1
65	сих пор в	1	1
66	достаточно сослаться на	1	1
67	за последние десятилетия	1	1
68	тех пор пока	2	1
69	бы ожидать что	1	1
70	одна и та	2	1
71	иначе обстояло дело	1	1
72	в целом ряде	1	1
73	с другой стороны	2	1
74	вместо того чтобы	2	1
75	не может быть	1	1
76	говорит о ее	1	1
77	в своем роде	1	1
78	столь же ясно	1	1
79	не было бы	1	1
80	но столь же	2	1
81	и в свою	1	1
82	у него в	1	1
83	что он не	4	1
84	то обстоятельство что	1	1
85	но об этом	1	1
86	как это произошло	1	1
87	и уже в	1	1
88	в свою очередь	1	1
89	из этого ряда	1	1
90	едва ли могла	1	1
91	до самого конца	2	1
92	но никак не	1	1
93	и в самом	2	1
94	не только в	1	1
95	но в этом	1	1
96	что это не	2	1
97	и все прочее	1	1
98	в этой же	1	1
99	с другом и	2	1
100	в трагедии и	1	1
101	к выводу что	1	1
102	вслед за этим	3	1
103	самом деле здесь	1	1
104	том что для	1	1
