N	4gram	Bakhtin_Pr_2	Problema
1	в той или иной	2	7
2	и с точки зрения	1	3
3	не имеет ничего общего	1	2
4	в то время как	1	2
5	ни в каком смысле	1	2
6	дело в том что	1	1
7	мы имеем в виду	2	1
8	в том числе и	2	1
9	говорить о том что	1	1
10	в том что мы	1	1
11	может быть даже и	1	1
12	по самой своей природе	1	1
13	с другой стороны и	1	1
14	так же как и	2	1
15	имеет ничего общего с	1	1
16	в братьях карамазовых в	1	1
17	что в данном случае	1	1
18	в преступлении и наказании	2	1
19	а может быть даже	2	1
