N	3gram	Losev_Vlad_2	Marksizm
1	с точки зрения	3	20
2	не может быть	1	13
3	в самом деле	1	9
4	до сих пор	1	8
5	бы то ни	1	8
6	в связи с	8	7
7	в настоящее время	2	6
8	в отличие от	3	5
9	как мы знаем	4	5
10	с самого начала	1	4
11	в этом случае	1	3
12	в этом отношении	1	3
13	на этот вопрос	1	3
14	может быть и	1	3
15	в высшей степени	1	3
16	в конце концов	3	3
17	то же время	3	3
18	связи с этим	1	3
19	но все же	1	3
20	можно сказать что	1	3
21	в то же	3	3
22	для того чтобы	1	3
23	в том что	9	3
24	тех пор пока	1	2
25	в том числе	1	2
26	самом деле если	1	2
27	на первый план	2	2
28	можно было бы	2	2
29	что во всех	1	2
30	но в то	1	2
31	себе отчет в	1	2
32	во всяком случае	6	2
33	до тех пор	1	2
34	в свою очередь	2	2
35	и прежде всего	1	2
36	этому нужно прибавить	1	2
37	в этом смысле	1	2
38	к этому нужно	1	2
39	тем не менее	6	2
40	ничего общего с	1	2
41	но кроме того	1	1
42	тот же самый	1	1
43	не могла быть	1	1
44	оно может быть	1	1
45	чуть ли не	1	1
46	между прочим и	2	1
47	равно как и	1	1
48	и в сознании	1	1
49	том что он	2	1
50	с этим не	1	1
51	как это делает	1	1
52	что же касается	5	1
53	и для него	1	1
54	и во всяком	1	1
55	как мы сказали	2	1
56	до известной степени	1	1
57	с двух сторон	1	1
58	не было бы	1	1
59	от того чтобы	1	1
60	отчет в том	1	1
61	в тот же	1	1
62	но вот в	1	1
63	именно здесь в	1	1
64	так или иначе	3	1
65	далек от того	1	1
66	или как говорит	1	1
67	очень важный момент	1	1
68	и как бы	1	1
69	в последнее время	2	1
70	а в том	2	1
71	уже с самого	1	1
72	их в настоящее	1	1
73	сих пор не	1	1
74	более или менее	3	1
75	прибавить еще и	2	1
76	само по себе	2	1
77	но помимо этого	1	1
78	это значит что	1	1
79	не только в	2	1
80	является как бы	1	1
81	и как мы	2	1
82	чем та которая	1	1
83	как мы уже	1	1
84	кроме того в	1	1
85	и в нем	1	1
86	может быть в	1	1
87	при этом она	1	1
88	как мы видели	2	1
