N	2gram	Berdyaev_M_1	Problema
1	то есть	3	39
2	то что	5	38
3	вовсе не	1	37
4	и не	11	37
5	и в	28	35
6	не есть	9	33
7	не только	29	24
8	сказать что	2	24
9	том что	3	19
10	что такое	1	18
11	у нас	5	18
12	даже и	2	18
13	о том	2	18
14	может быть	30	18
15	в этом	20	17
16	но и	25	16
17	что мы	1	14
18	только в	6	14
19	не менее	1	13
20	потому что	16	13
21	не может	28	13
22	и что	2	13
23	во всяком	1	13
24	также и	2	12
25	того что	7	12
26	в том	6	12
27	хотя бы	3	12
28	и даже	1	11
29	так что	1	11
30	прежде всего	10	11
31	что в	10	11
32	и то	1	10
33	еще не	1	10
34	всяком случае	1	10
35	ничего не	3	10
36	и с	3	10
37	а не	25	10
38	да и	1	10
39	тем более	1	10
40	в этой	6	9
41	что же	1	9
42	для нас	3	9
43	все же	2	8
44	есть только	2	8
45	в виду	2	8
46	было бы	10	8
47	уже не	4	8
48	смысле слова	4	7
49	бы и	3	7
50	все эти	2	7
51	мы не	1	7
52	не имеет	3	7
53	в конце	7	7
54	так и	1	7
55	казалось бы	1	7
56	в его	9	7
57	конце концов	2	7
58	так как	3	7
59	и т	1	6
60	есть не	4	6
61	относится к	2	6
62	но в	7	6
63	был бы	10	6
64	как будто	2	6
65	когда мы	2	6
66	в области	1	6
67	а именно	1	6
68	о чем	2	6
69	но это	1	6
70	и для	2	6
71	не существует	2	6
72	в то	2	6
73	по своему	2	5
74	с этим	3	5
75	в самом	11	5
76	в себе	7	5
77	как и	5	5
78	и без	1	5
79	и уж	2	5
80	и более	1	5
81	будто бы	3	5
82	и это	12	5
83	можно было	1	5
84	и на	6	5
85	что не	1	5
86	в частности	1	5
87	так же	1	5
88	и все	10	5
89	есть то	1	5
90	самом деле	1	4
91	на самом	1	4
92	и есть	14	4
93	и тут	1	4
94	не вполне	1	4
95	не был	7	4
96	но не	8	4
97	не все	2	4
98	в своем	10	4
99	и как	2	4
100	вообще не	2	4
101	что она	1	4
102	всех этих	1	4
103	заключается в	1	4
104	которой он	1	4
105	в этих	4	4
106	но если	3	4
107	в отношении	1	4
108	есть прежде	1	4
109	до сих	2	4
110	в каком	2	4
111	не могут	5	4
112	все еще	1	4
113	и о	1	4
114	разного рода	2	4
115	если бы	2	4
116	и только	1	4
117	значит что	4	4
118	значение в	1	4
119	что он	10	4
120	то и	1	4
121	самостоятельное значение	1	4
122	тем что	4	4
123	и самый	2	4
124	если не	1	4
125	мы говорим	1	4
126	как бы	2	4
127	это значит	3	4
128	сих пор	2	4
129	все это	6	4
130	а в	4	4
131	это и	4	3
