N	3gram	Medvedev_F_2	ViktorSh
1	в том что	2	2
2	в конце концов	2	2
3	вещь и изменяется	1	1
4	влиянием социальных отношений	1	1
5	и изменяется слово	1	1
6	политикой трестов а	1	1
7	я занимаюсь в	1	1
8	язык находится под	1	1
9	по своим словесным	1	1
10	связанным с физиологией	1	1
11	по крайней мере	1	1
12	в самом деле	5	1
13	только номерами пряжи	1	1
14	словесным законам связанным	1	1
15	интересуюсь не положением	1	1
16	находится под влиянием	1	1
17	не положением мирового	1	1
18	не политикой трестов	1	1
19	под влиянием социальных	1	1
20	с физиологией речи	1	1
21	исследованием внутренних законов	1	1
22	и способами ее	1	1
23	если провести заводскую	1	1
24	его языка если	1	1
25	способами ее ткать	1	1
26	в шкловского в	2	1
27	рынка не политикой	1	1
28	своим словесным законам	1	1
29	параллель то я	1	1
30	а только номерами	1	1
31	главным образом из	1	1
32	литературы исследованием внутренних	1	1
33	то я интересуюсь	1	1
34	слово по своим	1	1
35	языка если провести	1	1
36	теории литературы исследованием	1	1
37	я интересуюсь не	1	1
38	в теории литературы	1	1
39	в значительной степени	3	1
40	занимаюсь в теории	1	1
41	физиологией речи и	1	1
42	номерами пряжи и	1	1
43	провести заводскую параллель	1	1
44	изменяется слово по	1	1
45	заводскую параллель то	1	1
46	что язык находится	1	1
47	именно в этом	1	1
48	значительной степени уже	1	1
49	пряжи и способами	1	1
50	трестов а только	1	1
51	внутренних законов его	1	1
52	законов его языка	1	1
53	слово вещь и	1	1
54	законам связанным с	1	1
