N	3gram	Tiupa_Hudo_2	Sovremen
1	с точки зрения	2	5
2	не может быть	3	4
3	с самого начала	1	3
4	тем не менее	3	2
5	в настоящее время	1	2
6	то же самое	2	2
7	и в этом	2	1
8	и не было	1	1
9	было бы так	1	1
10	это не более	1	1
11	он уже не	1	1
12	все более и	1	1
13	дело в том	1	1
14	по отношению к	7	1
15	но ведь это	1	1
16	так же как	2	1
17	в этом случае	1	1
18	и все же	1	1
19	до сих пор	2	1
20	то же время	4	1
21	тот или иной	1	1
22	и в то	2	1
23	но тем не	2	1
24	бы то ни	1	1
25	в конечном счете	3	1
26	более и более	1	1
27	можно было бы	2	1
28	в самом деле	3	1
29	той или иной	1	1
30	но все же	1	1
31	мы знаем что	1	1
32	в том случае	1	1
33	ни одна не	1	1
34	в то же	4	1
35	из этих двух	1	1
36	что все они	2	1
37	в том что	11	1
38	в данном случае	2	1
39	на другой день	2	1
40	же самое что	2	1
41	с одной стороны	3	1
42	если бы эти	1	1
