N	2gram	Berdyaev_V_1	StatiiOP
1	и в	16	29
2	том что	2	27
3	в том	3	27
4	в этом	4	21
5	не только	2	19
6	но и	5	19
7	что в	3	19
8	в его	4	13
9	что он	4	13
10	в которой	1	11
11	то что	9	11
12	все это	5	11
13	к тому	3	10
14	и т	2	9
15	в своем	1	9
16	потому что	4	9
17	так и	4	9
18	и не	20	9
19	но в	3	8
20	я не	1	7
21	в ней	4	7
22	в самом	1	7
23	но все	1	7
24	в своей	3	7
25	в котором	4	7
26	тому что	3	7
27	того как	1	7
28	для того	1	7
29	в виду	1	7
30	с тем	2	7
31	вместе с	1	7
32	вопрос о	1	6
33	и на	1	6
34	все же	1	6
35	т д	2	6
36	вовсе не	1	6
37	того чтобы	2	6
38	и что	3	6
39	в одном	1	6
40	того что	5	5
41	между тем	2	5
42	прежде всего	2	5
43	а не	7	5
44	о чем	1	5
45	как бы	5	5
46	если б	1	4
47	речь идет	1	4
48	хотя и	5	4
49	по словам	1	4
50	в нем	4	4
51	и с	1	4
52	не в	3	4
53	ничего не	1	4
54	после того	1	4
55	но с	1	4
56	для него	2	4
57	до того	2	4
58	с другой	1	4
59	к этому	1	4
60	в их	1	3
61	его не	2	3
62	хотя бы	3	3
63	царем и	1	3
64	не был	1	3
65	но не	2	3
66	которые не	2	3
67	как в	1	3
68	не было	3	3
69	что это	1	3
70	в известном	1	3
71	ни в	3	3
72	в этих	3	3
73	никогда не	3	3
74	нельзя не	1	3
75	на себя	5	3
76	и по	1	3
77	это слово	1	3
78	тем что	2	3
79	у нас	1	3
80	и именно	1	3
81	оно не	3	3
82	в образе	4	3
83	на нее	1	3
84	за то	3	3
85	но это	3	3
86	вот что	1	3
87	что на	1	3
88	еще и	1	3
89	а с	2	3
90	так же	1	3
91	другой стороны	1	3
92	давно уже	2	3
93	во всяком	2	3
94	то же	1	2
95	бы то	1	2
96	с его	3	2
97	и который	1	2
98	присутствует в	1	2
99	тогда как	1	2
100	нет и	2	2
101	что они	7	2
102	и я	4	2
103	в истории	8	2
104	по пути	5	2
105	все эти	3	2
106	в этой	1	2
107	не к	2	2
108	о мире	1	2
109	то ни	1	2
110	конечно в	1	2
111	истории и	2	2
112	как и	4	2
113	что я	3	2
114	что было	2	2
115	не могли	2	2
116	нет никакого	1	2
117	не имеет	3	2
118	в процессе	1	2
119	есть еще	1	2
120	это еще	4	2
121	и всегда	1	2
122	и теперь	2	2
123	не по	1	2
124	в духе	2	2
125	чтобы сделать	2	2
126	и это	2	2
127	меня в	1	2
128	в ее	1	2
129	и сам	2	2
130	он был	1	2
131	говорят что	1	2
132	как мог	1	2
133	в которую	1	2
134	что и	3	2
135	только в	2	2
136	это очень	1	2
137	бы ни	1	2
138	по этому	3	2
139	в конце	3	2
140	так как	9	2
141	может быть	1	2
142	в них	3	2
143	говорит о	1	2
144	было для	1	2
145	тебе что	1	2
146	если не	3	2
147	и вообще	1	2
148	связь с	1	2
149	и потому	7	2
150	как это	1	2
151	этих словах	1	2
152	с этой	1	2
153	ее в	2	2
154	властью и	1	2
155	в результате	1	2
156	а к	2	2
157	и другие	1	2
158	они не	1	2
159	а между	2	1
160	и то	2	1
161	и до	1	1
162	не имеют	1	1
163	легенду о	1	1
164	их и	1	1
165	мы не	2	1
166	говорить о	4	1
167	их не	1	1
168	как не	3	1
169	думаю что	1	1
170	еще не	8	1
171	в последних	1	1
