N	3gram	Tiupa_Anal_2	Formalny
1	не может быть	1	10
2	в связи с	1	10
3	с точки зрения	2	7
4	в этом отношении	3	7
5	в самом деле	1	5
6	и в этом	4	5
7	то же время	2	5
8	в то же	2	5
9	того или иного	3	4
10	как раз и	1	3
11	но и в	1	3
12	в значительной степени	2	3
13	в том смысле	1	3
14	с другой стороны	2	3
15	до известной степени	1	3
16	прежде всего в	1	2
17	в этом смысле	2	2
18	как это было	1	2
19	сами по себе	1	2
20	в отличие от	2	2
21	то и другое	1	2
22	в применении к	1	2
23	к тому что	1	2
24	том смысле что	1	2
25	в том что	6	2
26	что иное как	1	1
27	как бы не	1	1
28	более или менее	1	1
29	на этом фоне	1	1
30	к другому в	1	1
31	не столько с	1	1
32	это было в	1	1
33	в этом случае	4	1
34	с установкой на	1	1
35	с одной стороны	4	1
36	он в этой	1	1
37	в таком случае	2	1
38	со стороны других	1	1
39	во всех этих	1	1
40	это не так	1	1
41	с самим собою	1	1
42	том или ином	2	1
43	на этот вопрос	1	1
44	в системе языка	1	1
45	в противном случае	1	1
46	одной из своих	1	1
47	по крайней мере	3	1
48	или ином типе	1	1
49	вместе с ними	1	1
50	лишь материал для	1	1
51	в том или	2	1
52	не совпадает с	1	1
53	в данном случае	5	1
54	это столь же	1	1
55	и тот же	1	1
56	как один из	1	1
57	лишь в тех	1	1
58	не имеет места	1	1
59	так или иначе	1	1
60	только то что	1	1
61	есть не что	1	1
62	и тем самым	2	1
63	в свою очередь	1	1
64	очень близки к	1	1
65	времени и пространстве	1	1
66	в литературном произведении	1	1
67	не что иное	1	1
68	сама по себе	1	1
69	тем не менее	3	1
70	в этой плоскости	1	1
71	было в первом	1	1
72	как и в	3	1
73	особое место в	1	1
