N	2gram	Losev_Prob_2	VeschiIm
1	не есть	33	49
2	т е	1	42
3	вещи есть	1	38
4	не может	13	33
5	не только	24	31
6	может быть	18	29
7	и не	37	28
8	и в	35	26
9	вещи и	2	24
10	то что	38	24
11	и есть	4	23
12	значит что	4	22
13	это значит	4	22
14	и т	6	21
15	т д	6	20
16	а не	10	20
17	не просто	11	18
18	есть только	8	17
19	и следовательно	4	15
20	в смысле	1	15
21	что она	4	14
22	только в	14	14
23	по себе	8	13
24	и что	13	13
25	того что	12	13
26	и то	10	12
27	есть не	6	12
28	все же	8	12
29	вещи но	1	12
30	что это	1	12
31	было бы	8	12
32	и ее	2	12
33	но и	16	12
34	сказать что	24	12
35	а и	1	11
36	таким образом	4	11
37	общения с	1	11
38	с нею	2	11
39	вещь и	2	11
40	что же	9	11
41	и больше	1	10
42	то же	5	10
43	есть нечто	7	10
44	в ней	2	10
45	не значит	2	10
46	как бы	4	10
47	что такое	18	10
48	потому что	13	10
49	вещи как	1	10
50	уже не	8	10
51	что мы	14	10
52	предполагает что	4	9
53	бы то	2	9
54	в самом	5	9
55	то ни	3	9
56	и с	10	9
57	общается с	1	9
58	вещей и	1	9
59	в том	12	9
60	что не	5	9
61	еще и	5	9
62	прежде всего	11	9
63	ни было	1	9
64	что иное	3	8
65	с ее	1	8
66	иное как	3	8
67	в себе	5	8
68	на то	6	8
69	и это	5	8
70	ничего не	10	8
71	себя и	1	8
72	она есть	1	8
73	но это	6	8
74	не что	3	8
75	также и	12	7
76	вещь не	1	7
77	говорить о	10	7
78	если она	1	7
79	в этом	17	7
80	не будет	11	7
81	его в	3	7
82	с другими	5	7
83	том что	19	7
84	в то	6	7
85	со своим	1	7
86	ли это	2	7
87	что оно	2	7
88	указывает на	5	7
89	в свете	3	7
90	и их	3	7
91	так как	7	7
92	как раз	8	7
93	смысла и	2	7
94	если оно	3	7
95	от всего	3	7
96	совершенно не	2	7
97	есть и	1	7
98	со стороны	1	6
99	что они	3	6
100	и как	4	6
101	но в	6	6
102	есть ли	1	6
103	бы и	7	6
104	это есть	1	6
105	что является	1	6
106	точки зрения	2	6
107	но если	4	6
108	по крайней	6	6
109	необходимо чтобы	1	6
110	с ним	1	6
111	она не	3	6
112	значит ли	2	6
113	оно есть	1	6
114	отличается от	2	6
115	можно было	5	6
116	ясно что	8	6
117	должно быть	2	6
118	и нечто	2	6
119	и только	4	6
120	крайней мере	6	6
121	а если	1	6
122	есть ни	3	6
123	так что	11	6
124	если мы	9	6
125	ни с	2	6
126	но что	1	6
127	относится к	6	6
128	то не	3	6
129	когда мы	6	6
130	быть только	3	6
131	в результате	4	6
132	что в	11	6
133	это и	3	5
134	и до	1	5
135	ведь и	2	5
136	и тут	4	5
137	на себя	1	5
138	но не	4	5
139	с самой	1	5
140	необходимо и	1	5
141	есть просто	2	5
142	отнюдь не	5	5
143	вещи или	3	5
144	должна быть	1	5
145	же это	5	5
146	вообще не	4	5
147	содержит в	2	5
148	что тут	1	5
149	и достаточно	1	5
150	это не	1	5
151	с тем	3	5
152	не в	2	5
153	тем не	12	5
154	в отношении	4	5
155	не менее	13	5
156	одна из	3	5
157	только и	3	5
158	у нас	18	5
159	для себя	9	5
160	должны быть	1	5
161	если бы	4	5
162	для этого	3	5
163	другими словами	6	5
164	еще не	10	5
165	или не	2	5
166	что для	3	5
167	ни на	1	5
168	ни от	2	5
169	и для	6	5
170	а в	4	5
171	собственном смысле	1	4
172	в и	2	4
173	мы не	7	4
174	это что	1	4
175	я не	1	4
176	то это	3	4
177	в их	3	4
178	во всех	2	4
179	для всякого	2	4
180	нет и	3	4
181	независимо от	2	4
182	его на	1	4
183	с этим	5	4
184	самый смысл	1	4
185	в своем	4	4
186	с чем	1	4
187	ведь не	1	4
188	тут не	1	4
189	же не	1	4
190	данную вещь	4	4
191	и мы	2	4
192	на почве	1	4
193	как и	5	4
194	между собою	4	4
195	и более	5	4
196	что есть	1	4
197	можно ли	6	4
198	чисто смысловой	2	4
199	на себе	1	4
200	комплекс звуков	2	4
201	слово и	2	4
202	и о	4	4
203	то или	3	4
204	только то	3	4
205	смысле и	1	4
206	если вещь	1	4
207	о том	18	4
208	определенным образом	2	4
209	с другой	6	4
210	что и	2	4
211	быть и	2	4
212	оно и	1	4
213	этот вопрос	1	4
214	то и	4	4
215	это значило	1	4
216	тем что	4	4
217	со всем	1	4
218	и даже	11	4
219	даже не	3	4
220	как же	4	4
221	и потому	1	4
222	мы говорим	4	4
223	в данном	10	4
224	в отдельности	1	4
225	как только	3	4
226	не существует	6	4
227	и все	5	4
228	собственно говоря	2	4
229	от того	1	4
230	от ее	2	4
231	оно не	3	4
232	есть то	5	4
233	сам по	1	3
234	самом деле	4	3
235	в чисто	1	3
236	к другому	1	3
237	отношения к	1	3
238	если я	2	3
239	мы имеем	1	3
240	бы что	2	3
241	вопрос о	3	3
242	но ясно	1	3
243	но даже	3	3
244	в а	1	3
245	не то	2	3
246	смысл или	2	3
247	внутри себя	2	3
248	более или	4	3
249	самого смысла	1	3
250	вопроса о	1	3
251	в нем	1	3
252	по самому	3	3
253	раз навсегда	1	3
254	перестает быть	3	3
255	ли сказать	2	3
256	что нужно	1	3
257	подобно тому	2	3
258	на этом	1	3
259	могла бы	1	3
260	реальности и	1	3
261	несмотря на	3	3
262	значит не	1	3
263	раз есть	1	3
264	и тогда	1	3
265	или менее	4	3
266	можно только	2	3
267	все это	4	3
268	есть именно	5	3
269	их в	4	3
270	между прочим	1	3
271	вещей как	1	3
272	как можно	1	3
273	и другое	1	3
274	как о	3	3
275	тогда когда	3	3
276	и притом	3	3
277	в основе	3	3
278	само по	2	3
279	того чтобы	2	3
280	или как	2	3
281	ни о	4	3
282	к тому	3	3
283	всегда есть	1	3
284	на это	2	3
285	вещей в	1	3
286	и самое	1	3
287	без всякого	4	3
288	в собственном	1	3
289	нет никакой	2	3
290	и сам	2	3
291	так и	7	3
292	нужно было	1	3
293	и вообще	16	3
294	можно сказать	6	3
295	но когда	1	3
296	есть тоже	3	3
297	если это	2	3
298	один из	3	3
299	конечно можно	1	3
300	тот же	4	3
301	что он	4	3
302	но как	6	3
303	существует но	2	3
304	но то	1	3
305	не мешает	1	3
306	без этого	1	3
307	только на	9	3
308	и чисто	1	3
309	а это	3	3
310	сама по	4	3
311	в одном	1	3
312	отношение к	1	3
313	никакого отношения	1	3
314	мы возьмем	2	3
315	даже и	18	3
316	никогда не	1	3
317	а с	1	3
318	она является	1	3
319	смысловой сфере	1	3
320	вместе с	2	3
321	что именно	1	3
322	в той	2	3
323	тому как	3	3
324	вещи для	1	3
325	да и	10	3
326	думают что	1	3
327	она должна	2	3
328	это может	1	3
329	бы в	3	3
330	и ни	3	3
331	тем более	10	3
332	хотя бы	12	3
333	не быть	1	3
334	к смысловой	1	3
335	с самим	3	3
336	это однако	1	2
337	можно говорить	3	2
338	от этого	1	2
339	в сфере	1	2
340	как это	1	2
341	и значит	1	2
342	тем же	1	2
343	ту же	1	2
344	поэтому и	1	2
345	обойтись без	3	2
346	мы уже	3	2
347	той же	2	2
348	часто бывает	2	2
349	как мы	5	2
350	является или	1	2
351	конечно и	1	2
352	себе что	2	2
353	не нужно	3	2
354	мысли и	2	2
355	то очевидно	1	2
356	именно тем	1	2
357	мы будем	1	2
358	а только	6	2
359	и всякий	3	2
360	не все	4	2
361	себе и	2	2
362	тут же	8	2
363	и таким	1	2
364	как в	1	2
365	и нет	1	2
366	себе совершенно	1	2
367	это тоже	3	2
368	в каком-то	3	2
369	что на	4	2
370	то в	1	2
371	от чего	2	2
372	образом и	1	2
373	так или	6	2
374	остановиться на	1	2
375	только один	3	2
376	но ведь	3	2
377	если он	1	2
378	смыслом и	1	2
379	и если	3	2
380	он не	2	2
381	о которой	1	2
