N	2gram	Trubetskoy_1	ViktorSh
1	конце концов	3	2
2	и в	14	2
3	том что	9	2
4	в том	17	2
5	в конце	3	2
6	и только	5	1
7	крайней мере	1	1
8	тем более	1	1
9	ни к	7	1
10	в другом	3	1
11	хотя бы	5	1
12	и не	19	1
13	потому что	5	1
14	даже не	2	1
15	сводится к	3	1
16	и то	4	1
17	теснейшим образом	1	1
18	самом деле	7	1
19	другом месте	1	1
20	и т.д	4	1
21	к созданию	1	1
22	все это	6	1
23	совершенно ясно	1	1
24	именно в	3	1
25	главным образом	3	1
26	этом и	2	1
27	по своим	1	1
28	в их	4	1
29	как же	1	1
30	дело в	1	1
31	говорили в	2	1
32	с большой	1	1
33	в частности	2	1
34	столь же	1	1
35	время в	2	1
36	говоря о	2	1
37	в которых	1	1
38	в значительной	3	1
39	не играет	2	1
40	в самом	3	1
41	для них	3	1
42	только в	5	1
43	роли не	1	1
44	то же	11	1
45	других и	1	1
46	ясно что	2	1
47	так как	4	1
48	играет ибо	1	1
49	этому и	1	1
50	к чему	2	1
51	но это	2	1
52	в этом	17	1
53	да и	3	1
54	чем больше	1	1
55	по крайней	1	1
56	а только	1	1
57	и заключается	1	1
58	по существу	5	1
59	к этому	1	1
60	значительной степени	1	1
61	образом связаны	1	1
62	том же	2	1
