N	2gram	Medvedev_V_1	IolandNe
1	должен быть	4	2
2	и не	19	2
3	в этом	26	2
4	он не	2	2
5	что в	10	2
6	самого себя	2	2
7	о достоевском	1	2
8	все это	10	1
9	этим и	1	1
10	автор не	1	1
11	и др	9	1
12	а для	2	1
13	и в	26	1
14	только что	4	1
15	с жизнью	1	1
16	них не	4	1
17	с а	1	1
18	а по	1	1
19	бы в	3	1
20	более чем	1	1
21	значительной мере	3	1
22	этого писателя	1	1
23	с другой	11	1
24	а отсюда	1	1
25	и та	1	1
26	это было	1	1
27	а в	3	1
28	пишет и	3	1
29	вплоть до	2	1
30	и дети	1	1
31	художественного творчества	18	1
32	так то	1	1
33	того что	3	1
34	в художественном	10	1
35	стороны он	1	1
36	не дает	1	1
37	и без	1	1
38	как о	2	1
39	другой стороны	8	1
40	утверждает что	3	1
41	о творчестве	2	1
42	и еще	1	1
43	для него	8	1
44	а также	1	1
45	в основе	1	1
46	что для	3	1
47	что при	2	1
48	в значительной	3	1
49	говорить о	2	1
50	понятий и	1	1
51	могло бы	2	1
52	и творчества	1	1
53	и сам	1	1
54	художественном творчестве	6	1
55	отношению к	7	1
56	так и	5	1
57	бы его	1	1
58	произведения и	7	1
59	того чтобы	3	1
60	не случайно	1	1
61	никогда не	4	1
62	следующим образом	3	1
63	только для	1	1
64	жизни и	3	1
65	бы все	1	1
66	тем что	1	1
67	в целом	4	1
68	по поводу	2	1
69	по отношению	7	1
70	очевидно что	7	1
71	в них	4	1
72	все эти	6	1
73	по существу	3	1
74	если бы	3	1
75	для того	3	1
76	и идей	1	1
77	без этого	1	1
78	не слишком	1	1
