N	2gram	Tiupa_Narr_2	Retstnzi
1	не может	8	4
2	и в	13	3
3	в центре	2	2
4	один из	3	2
5	и школы	1	2
6	достоевского и	2	2
7	художественного целого	1	1
8	и не	14	1
9	тому что	3	1
10	не только	26	1
11	связи с	1	1
12	бы на	2	1
13	точки зрения	5	1
14	во второй	2	1
15	но и	15	1
16	не менее	4	1
17	в системе	1	1
18	персонажей и	2	1
19	в ней	2	1
20	может и	1	1
21	всякого высказывания	1	1
22	в то	5	1
23	с точки	2	1
24	для него	4	1
25	может не	1	1
26	литературного произведения	1	1
27	на нее	1	1
28	увидеть в	2	1
29	к тому	9	1
30	а не	17	1
31	может быть	10	1
32	несмотря на	2	1
33	в его	6	1
34	же время	3	1
35	то же	4	1
36	и все	4	1
37	из этих	2	1
38	можно назвать	2	1
39	если бы	4	1
40	исходя из	1	1
41	бы в	2	1
