N	4gram	Tiupa_Lite_1	Analitik
1	в то же время	5	6
2	состоит в том что	4	3
3	бы то ни было	1	3
4	в том что он	1	2
5	но в то же	1	2
6	совокупность факторов художественного впечатления	2	2
7	как совокупность факторов художественного	2	2
8	одного и того же	1	2
9	какой бы то ни	1	2
10	целого а утверждают свое	1	1
11	и поэтапно изменяющуюся ментальность	1	1
12	творческих актов автора или	1	1
13	только в том что	2	1
14	себя один в другом	1	1
15	собою когда во-вторых они	1	1
16	в том же году	3	1
17	актов автора или перцептивных	1	1
18	им полный простор в	1	1
19	друга а напротив взаимно	1	1
20	не исключают целого а	1	1
21	покойного ивана петровича белкина	1	1
22	напротив взаимно полагают себя	1	1
23	плодом сверхиндивидуального и вневременного	1	1
24	полный простор в себе	1	1
25	другом солидарны между собою	1	1
26	наконец в-третьих эта всеединая	1	1
27	присутствия внутреннего я во	1	1
28	к которой устремляются интенциональные	1	1
29	самим собою без другого	1	1
30	границей к которой устремляются	1	1
31	в виду не только	1	1
32	единосущную пусть и поэтапно	1	1
33	не исключают друг друга	1	1
34	постструктурализм как единосущную пусть	1	1
35	пусть и поэтапно изменяющуюся	1	1
36	из классических текстов русской	1	1
37	однако с точки зрения	1	1
38	субъекта объекта и адресата	1	1
39	устремляются интенциональные намерения творческих	1	1
40	изменяющуюся ментальность мы вынуждены	1	1
41	во-вторых они не исключают	1	1
42	я во внешнем мире	1	1
43	дает им полный простор	1	1
44	дело не только в	2	1
45	сверхиндивидуального и вневременного творчества	1	1
46	когда во-вторых они не	1	1
47	стать самим собою без	1	1
48	внутреннее есть глубочайшее общение	1	1
49	основе когда наконец в-третьих	1	1
50	бытие человека и внешнее	1	1
51	которой устремляются интенциональные намерения	1	1
52	а утверждают свое частное	1	1
53	поэтапно изменяющуюся ментальность мы	1	1
54	исключают целого а утверждают	1	1
55	человека и внешнее и	1	1
56	ментальность мы вынуждены констатировать	1	1
57	внутреннего я во внешнем	1	1
58	в них дает им	1	1
59	намерения творческих актов автора	1	1
60	как единосущную пусть и	1	1
61	полагают себя один в	1	1
62	когда наконец в-третьих эта	1	1
63	интенциональные намерения творческих актов	1	1
64	солидарны между собою когда	1	1
65	в другом солидарны между	1	1
66	на единой всеобщей основе	1	1
67	с этой точки зрения	3	1
68	структурализм постструктурализм как единосущную	1	1
69	и внутреннее есть глубочайшее	1	1
70	частное бытие на единой	1	1
71	всеобщей основе когда наконец	1	1
72	автора или перцептивных актов	1	1
73	до тех пор пока	1	1
74	внешнее и внутреннее есть	1	1
75	а напротив взаимно полагают	1	1
76	формализм структурализм постструктурализм как	1	1
77	коммуникативного события особого рода	1	1
78	друг друга а напротив	1	1
79	мы вынуждены констатировать ее	1	1
80	они не исключают целого	1	1
81	бытие на единой всеобщей	1	1
82	присутствия я в мире	1	1
83	не только в том	2	1
84	подавляет и не поглощает	1	1
85	на том или ином	1	1
86	них дает им полный	1	1
87	и внешнее и внутреннее	1	1
88	единой всеобщей основе когда	1	1
89	не поглощает частных элементов	1	1
90	раскрывая себя в них	1	1
91	утверждают свое частное бытие	1	1
92	взаимно полагают себя один	1	1
93	п тейяр де шарден	1	1
94	само бытие человека и	1	1
95	одного из классических текстов	1	1
96	один в другом солидарны	1	1
97	в-третьих эта всеединая основа	1	1
98	элементов а раскрывая себя	1	1
99	объекта и адресата эстетического	1	1
100	свое частное бытие на	1	1
101	частных элементов а раскрывая	1	1
102	не подавляет и не	1	1
103	поглощает частных элементов а	1	1
104	взяв формализм структурализм постструктурализм	1	1
105	не говоря уже о	1	1
106	и не поглощает частных	1	1
107	а раскрывая себя в	1	1
108	между собою когда во-вторых	1	1
109	исключают друг друга а	1	1
110	себя в них дает	1	1
