N	2gram	Nazirov_Tr_1	EvropaiC
1	таким образом	1	32
2	в том	2	31
3	и в	18	24
4	том что	4	20
5	все эти	3	19
6	не может	5	18
7	то что	4	17
8	все же	5	15
9	может быть	7	15
10	в этом	9	12
11	самом деле	1	12
12	в своем	3	12
13	между тем	1	11
14	все это	4	11
15	из себя	1	10
16	так и	5	10
17	во всех	1	10
18	как бы	7	10
19	как и	5	9
20	что в	4	9
21	при этом	3	9
22	в результате	1	9
23	так же	4	8
24	и все	4	8
25	не в	2	8
26	чем у	1	8
27	в самом	2	8
28	о том	2	7
29	не менее	1	7
30	того чтобы	1	7
31	а между	1	7
32	по своей	1	7
33	к тому	2	7
34	и не	7	7
35	но и	4	7
36	и что	4	7
37	что он	6	7
38	еще не	4	6
39	тогда как	1	6
40	должна быть	1	6
41	с ним	3	6
42	так что	2	6
43	вместе с	1	6
44	того что	1	6
45	и при	1	6
46	только в	1	6
47	в этой	4	6
48	что и	2	6
49	и на	7	6
50	в мире	3	6
51	несмотря на	5	6
52	в общем	1	6
53	в которой	1	5
54	в себе	4	5
55	по сравнению	1	5
56	сравнению с	1	5
57	и с	7	5
58	ничем не	2	5
59	и их	1	5
60	что это	5	5
61	у него	6	5
62	его в	2	5
63	но все	2	5
64	потому что	2	5
65	и от	1	5
66	на все	1	5
67	в целом	4	5
68	что при	1	5
69	лишь в	1	5
70	в то	5	5
71	что все	2	5
72	в его	3	5
73	именно в	1	5
74	и если	1	5
75	но в	6	5
76	столь же	2	5
77	что с	3	5
78	как будто	3	5
79	не только	8	5
80	одним из	1	4
81	связи с	1	4
82	в виде	2	4
83	хотя бы	1	4
84	что эта	1	4
85	не так	2	4
86	в конце	3	4
87	в области	1	4
88	отношение к	2	4
89	социальной жизни	1	4
90	факт что	1	4
91	между собой	1	4
92	совершенно не	1	4
93	в таком	2	4
94	конце концов	1	4
95	никогда не	2	4
96	то же	5	4
97	этом случае	1	4
98	состоит из	2	4
99	на вопрос	1	4
100	в дальнейшем	5	4
101	должно быть	3	4
102	тем не	1	4
103	и т.д	1	4
104	не могут	2	4
105	он не	2	4
