N	2gram	Medvedev_U_1	Sotsiolo
1	истории литературы	3	10
2	все это	5	7
3	в том	2	5
4	ibid стр	1	5
5	в этом	7	5
6	и только	5	3
7	более чем	2	3
8	не только	10	3
9	и в	14	3
10	методологии истории	1	3
11	о литературе	1	3
12	не в	2	3
13	в его	2	3
14	за пределы	1	2
15	общих принципов	1	2
16	метод и	1	2
17	но и	4	2
18	конце концов	2	2
19	было бы	3	2
20	должна быть	2	2
21	только в	2	2
22	далеко не	1	2
23	тем более	1	2
24	том что	2	2
25	в частности	3	2
26	стать наукой	1	2
27	то что	7	2
28	или даже	1	2
29	и что	1	2
30	литературы и	2	2
31	только как	1	2
32	таким образом	2	2
33	в конце	2	2
34	методологического монизма	1	2
35	что в	1	2
36	может быть	6	2
37	очевидно что	3	2
38	по существу	2	2
39	то же	5	2
40	крайней мере	2	1
41	что все	2	1
42	же не	2	1
43	противном случае	2	1
44	вряд ли	3	1
45	быть не	1	1
46	по себе	2	1
47	в этой	4	1
48	отнюдь не	1	1
49	формальным методом	1	1
50	даже не	1	1
51	этой области	3	1
52	с другой	4	1
53	литературы как	1	1
54	только для	1	1
55	художественных произведений	2	1
56	это не	3	1
57	метода конечно	1	1
58	поэтики и	1	1
59	все же	3	1
60	в противном	2	1
61	в то	3	1
62	историко-литературной методологии	1	1
63	тем что	2	1
64	в процессе	1	1
65	история литературы	1	1
66	что он	2	1
67	выдвигает на	2	1
68	прежде всего	8	1
69	объекта и	1	1
70	произведение как	1	1
71	как живой	1	1
72	так и	1	1
73	не было	1	1
74	одной стороны	1	1
75	историю литературы	1	1
76	и не	8	1
77	пишет он	2	1
78	никогда не	1	1
79	к вопросам	1	1
80	мы не	2	1
81	со своими	1	1
82	же время	3	1
83	ничего не	2	1
84	формальный метод	11	1
85	изучения литературы	1	1
86	это же	1	1
87	как и	3	1
88	бы в	1	1
89	без этого	1	1
90	для этого	3	1
91	иначе говоря	1	1
92	она должна	1	1
93	случае пришлось	1	1
94	вне пределов	1	1
95	первый план	1	1
96	остается в	1	1
97	пришлось бы	3	1
98	конечно не	4	1
99	на первый	2	1
100	морфологический метод	1	1
101	хотя бы	5	1
102	не может	7	1
103	в своей	3	1
104	тех кто	1	1
105	как искусство	1	1
106	что она	2	1
107	о том	1	1
108	в области	3	1
109	к изучению	1	1
110	и потому	1	1
111	но именно	1	1
112	в котором	1	1
113	методология истории	1	1
114	исторической поэтики	1	1
115	говоря иначе	2	1
116	словесного творчества	2	1
117	представляется нам	2	1
118	единства и	1	1
119	как науки	1	1
120	изучаемого объекта	1	1
121	метода как	2	1
122	где же	1	1
123	наука о	1	1
124	в конечном	4	1
125	не без	1	1
126	их обработки	1	1
127	же самое	2	1
128	с одной	1	1
129	может служить	1	1
130	а между	2	1
131	павел медведев	1	1
132	но не	2	1
133	у него	1	1
134	для изучения	1	1
135	в виде	1	1
136	дело конечно	2	1
137	этого и	1	1
138	в данном	1	1
139	между тем	2	1
140	природы изучаемого	1	1
141	конечном счете	4	1
142	по крайней	2	1
143	это значит	1	1
