N	3gram	Medvedev_S_1	Marksizm
1	по отношению к	2	8
2	то же время	1	8
3	в то же	1	8
4	в связи с	1	7
5	в том что	2	6
6	то же самое	1	5
7	с одной стороны	1	3
8	в противном случае	1	2
9	не было бы	1	2
10	по крайней мере	1	2
11	во всяком случае	1	2
12	только в этом	2	2
13	между тем именно	1	1
14	ровно ничего не	1	1
15	чуть ли не	1	1
16	том что это	1	1
17	применения социологического метода	1	1
18	а с другой	1	1
19	как бы они	1	1
20	в марксистской литературе	1	1
21	в конечном счете	1	1
22	бы они ни	1	1
23	но ведь это	2	1
24	они ни были	1	1
25	друг от друга	1	1
26	между собой не	1	1
27	конечно не в	1	1
