N	3gram	Medvedev_U_1	Myslijsy
1	более или менее	1	8
2	в том что	2	7
3	по крайней мере	2	5
4	до сих пор	2	4
5	а между тем	2	4
6	сам по себе	1	4
7	не было бы	1	4
8	с одной стороны	1	3
9	на то что	1	3
10	не могут быть	2	3
11	в этом смысле	2	2
12	или по крайней	1	2
13	с другой стороны	3	2
14	не может обойтись	1	2
15	не может быть	4	2
16	то же время	3	2
17	лишь настолько насколько	1	2
18	не в том	1	2
19	само по себе	1	2
20	в то же	3	2
21	по себе известное	1	1
22	между тем в	1	1
23	большей или меньшей	1	1
24	у нас в	1	1
25	бы то ни	3	1
26	на каждом шагу	2	1
27	но это не	1	1
28	то ни было	3	1
29	с тем что	1	1
30	и независимо от	1	1
31	в этом случае	1	1
32	но даже и	2	1
33	если не исключительно	1	1
34	все же не	1	1
35	она представляется нам	1	1
36	это было бы	1	1
37	в большей или	1	1
38	очевидно что и	1	1
