N	3gram	Kanaev_Sov_1	Narrotol
1	в том что	1	8
2	в данном случае	1	6
3	по отношению к	1	5
4	в отличие от	2	5
5	с одной стороны	1	5
6	тем не менее	2	4
7	в известном смысле	1	3
8	той или иной	1	3
9	то же время	1	3
10	в конечном счете	1	3
11	в то же	1	3
12	с точки зрения	5	2
13	на самом деле	1	2
14	и не может	1	2
15	и у нас	1	2
16	так же как	1	2
17	в том как	1	2
18	и все же	1	2
19	не может быть	4	2
20	времени и пространства	2	2
21	которая не может	1	1
22	что иное как	1	1
23	не может не	3	1
24	одной стороны и	1	1
25	в обоих случаях	1	1
26	в которой он	1	1
27	в самом деле	1	1
28	в этом смысле	1	1
29	то же самое	2	1
30	и в то	1	1
31	в зависимости от	4	1
32	можно было бы	1	1
33	на этот вопрос	1	1
34	может быть только	1	1
35	до сих пор	1	1
36	а не только	1	1
37	если бы эти	1	1
38	не в том	1	1
39	в связи с	1	1
40	в этом направлении	1	1
41	во всяком случае	2	1
42	есть не что	1	1
43	но они не	1	1
44	по аналогии с	1	1
45	что в ней	1	1
46	по его мнению	1	1
47	быть в конечном	1	1
48	не что иное	1	1
49	на другой день	1	1
50	и к другому	1	1
