N	2gram	Tiupa_Disk_2	Tvorches
1	и в	16	21
2	как бы	4	17
3	в то	5	15
4	то же	6	13
5	в его	3	13
6	времени в	4	13
7	же время	5	12
8	как и	16	12
9	достоевского в	1	12
10	то есть	12	12
11	что в	5	12
12	с его	6	11
13	том что	10	11
14	в романе	1	10
15	все это	2	10
16	как в	8	8
17	он не	3	8
18	то что	5	8
19	при этом	17	7
20	тем самым	6	7
21	и не	15	7
22	в том	8	7
23	и на	5	7
24	в году	1	7
25	но в	11	7
26	не только	10	7
27	по природе	2	6
28	о том	4	6
29	не менее	7	6
30	и все	3	6
31	а в	2	6
32	он сам	1	6
33	жизни в	3	6
34	для него	5	6
35	в этом	16	6
36	xix века	1	6
37	в котором	3	6
38	в творчестве	3	6
39	и его	3	6
40	что он	2	6
41	человека в	4	6
42	все же	6	5
43	таким образом	1	5
44	в повести	1	5
45	как будто	3	5
46	вовсе не	1	5
47	а не	14	5
48	потому что	4	5
49	отнюдь не	6	5
50	в этой	4	5
51	только в	3	5
52	в своих	6	5
53	может быть	16	5
54	но это	3	5
55	в русской	3	5
56	одним из	1	4
57	в целом	2	4
58	прежде всего	7	4
59	в своей	6	4
60	по сути	2	4
61	не имеют	1	4
62	это не	3	4
63	в финале	1	4
64	времени и	2	4
65	конечном счете	1	4
66	одной из	1	4
67	своего рода	10	4
68	и от	1	4
69	один из	1	4
70	в мире	11	4
71	и как	3	4
72	не случайно	1	4
73	в записках	2	4
74	в конечном	1	4
75	русской литературе	2	4
76	не может	9	4
77	в своем	5	4
78	в которой	1	3
79	и с	2	3
80	место в	2	3
81	человеческой личности	1	3
82	жизни и	3	3
83	я и	4	3
84	с ним	1	3
85	в нем	7	3
86	даже в	1	3
87	это в	2	3
88	там же	2	3
89	действительной жизни	1	3
90	но не	7	3
91	время в	2	3
92	в рассказе	4	3
93	для человека	1	3
94	того что	1	3
95	человек как	1	3
96	но если	1	3
97	но и	11	3
98	и даже	1	3
99	хотя и	1	3
100	соответствии с	3	3
101	дело не	1	3
102	с ее	2	3
103	это и	1	3
104	ее в	1	3
105	представляет собой	11	3
106	дело в	2	3
107	в книге	1	3
108	той же	2	3
109	уже не	3	3
110	добра и	1	3
111	сути дела	1	3
112	приходит к	1	3
113	в самом	1	3
114	стремится к	2	3
115	далеко не	2	3
116	с другой	5	3
117	к человеку	1	3
118	самого начала	1	3
119	не был	1	3
120	никогда не	2	3
121	я не	1	3
122	человеческих отношений	1	3
123	в соответствии	2	3
124	с самого	1	3
125	может не	1	2
126	в себе	19	2
127	в в	1	2
128	не знает	3	2
129	но она	3	2
130	и того	3	2
131	наше время	2	2
132	субъективное переживание	1	2
133	и наконец	3	2
134	на деле	1	2
135	данном случае	6	2
136	в одно	1	2
137	общения с	1	2
138	можно сказать	3	2
139	вместе с	2	2
140	его как	1	2
141	жизни с	1	2
142	что как	2	2
143	это время	1	2
144	личности в	2	2
145	крайней мере	1	2
146	прошлого и	1	2
147	ведет к	3	2
148	одновременно и	1	2
149	в жизни	1	2
150	было в	3	2
151	которого он	1	2
152	не в	3	2
153	у пушкина	2	2
154	из главных	1	2
155	так что	1	2
156	человека с	1	2
157	если в	1	2
158	в творческой	1	2
159	главе с	1	2
160	об этом	1	2
161	так сказать	1	2
162	то в	1	2
163	ли в	1	2
164	собой в	1	2
165	отдельного человека	1	2
166	не то	1	2
167	говорит об	2	2
168	людей в	1	2
169	есть не	1	2
170	к жизни	3	2
171	в одной	1	2
172	приводит к	3	2
173	натуральной школы	2	2
174	в себя	2	2
175	традиции в	1	2
176	к тому	1	2
177	к ней	1	2
178	еще более	1	2
179	такой же	2	2
180	в этих	3	2
181	и мир	1	2
182	иными словами	1	2
183	в отличие	12	2
184	и иван	1	2
185	более не	1	2
186	отличие от	12	2
187	в качестве	16	2
188	году в	1	2
189	в чем	1	2
190	но вполне	1	2
191	во второй	1	2
192	того же	2	2
193	сказать что	1	2
194	мира в	3	2
195	и зла	1	2
196	же и	1	2
197	в первом	1	2
198	тем не	1	2
199	не столько	3	2
200	во главе	1	2
201	в основе	4	2
202	одна из	1	2
203	себе не	1	2
204	героев в	1	2
205	по крайней	1	2
206	по преимуществу	2	2
207	не нужно	2	2
208	могут быть	3	2
209	в мир	1	2
210	именно в	2	2
211	когда он	1	2
212	что и	2	2
213	живет в	2	2
214	в любви	1	2
215	себя как	1	2
216	до конца	1	2
217	но без	1	2
218	в наше	2	2
219	в частности	12	2
220	русской литературы	1	2
221	так и	9	2
222	самом деле	1	2
223	в ней	2	2
224	к этому	4	2
225	действий в	1	2
226	одного из	4	2
227	в принципе	2	2
228	только на	1	2
229	перед нами	3	2
230	из них	3	2
231	мысль о	3	2
232	в данном	7	2
233	еще в	3	2
234	в современном	1	2
235	между вещами	1	2
236	все эти	3	1
237	слова об	1	1
238	в первую	2	1
239	им в	1	1
240	может и	2	1
241	в полном	2	1
242	уже о	1	1
243	форму и	1	1
244	жизни а	3	1
245	со своим	2	1
246	подробностями и	1	1
247	а вот	1	1
248	и здесь	1	1
249	как правило	1	1
250	первую очередь	2	1
251	претендовать на	3	1
252	зависим от	1	1
253	своем творчестве	1	1
254	ни в	7	1
255	самого себя	1	1
256	с использованием	1	1
257	как у	1	1
258	еще не	6	1
259	их с	1	1
260	по выражению	1	1
261	его героев	1	1
262	к их	2	1
263	времени но	1	1
264	тогда как	11	1
265	настоящим и	2	1
266	в литературу	1	1
267	говорить о	2	1
268	же это	1	1
269	события но	1	1
270	бытия но	1	1
271	бы то	1	1
272	город и	1	1
273	свой опыт	1	1
274	отличается от	1	1
275	со своего	1	1
276	анекдота не	1	1
277	как некий	1	1
278	закономерно приводит	1	1
279	мышления и	1	1
280	человеком и	1	1
281	человеке и	1	1
282	внимание на	1	1
283	к этим	1	1
284	отношению к	4	1
