N	3gram	Berdyaev_O_1	Marksizm
1	не может быть	2	10
2	для того чтобы	3	6
3	в том что	1	6
4	в самом деле	1	5
5	смысле этого слова	1	4
6	и не может	1	3
7	и не в	1	3
8	о том что	1	3
9	а иногда и	1	2
10	а не в	2	2
11	но и в	2	2
12	во всяком случае	1	2
13	в нем нет	3	2
14	на то что	1	2
15	и прежде всего	1	2
16	добро и зло	1	1
17	в другом месте	1	1
18	еще не стал	1	1
19	то к одному	1	1
20	а вовсе не	1	1
21	обычном смысле слова	1	1
22	к одному то	1	1
23	может быть осуществлено	1	1
24	сам по себе	1	1
25	в этом отношении	1	1
26	мужчины и женщины	1	1
27	одному то к	1	1
28	в обычном смысле	1	1
29	по сравнению с	1	1
30	не могут быть	2	1
31	в самой жизни	1	1
32	само по себе	1	1
33	и в том	1	1
34	это не есть	1	1
35	у нее не	1	1
36	даже и в	1	1
37	с тем что	2	1
38	в дневнике писателя	2	1
39	друг с другом	1	1
40	то к другому	1	1
41	как и в	1	1
42	герои говорят одним	1	1
43	но к этому	1	1
