N	3gram	Tiupa_Narr_1	NovoeSre
1	не может быть	4	4
2	подобно тому как	3	3
3	никогда не было	1	2
4	он не может	1	2
5	с одной стороны	1	2
6	с другой стороны	1	2
7	ни одна из	1	2
8	и того же	1	1
9	и в жизни	1	1
10	только потому что	1	1
11	без обращения к	1	1
12	а не в	1	1
13	одного и того	1	1
14	в том числе	1	1
15	же как и	1	1
16	не было и	2	1
17	как это было	1	1
18	до сих пор	2	1
19	и не может	1	1
20	том случае если	1	1
21	в зависимости от	2	1
22	сами по себе	2	1
23	более не будет	1	1
24	в отличие от	2	1
25	но и в	2	1
26	том числе и	1	1
27	заключает в себе	2	1
28	к жизни и	1	1
29	в том случае	1	1
30	не только в	6	1
31	слова а не	1	1
32	и потому что	1	1
33	в известном смысле	2	1
34	к одному из	1	1
35	в нем не	1	1
36	в одну из	1	1
37	во всяком случае	2	1
38	лишь в том	1	1
39	о том что	2	1
40	в значительной степени	1	1
41	имея в виду	1	1
42	в нее входит	1	1
43	в том что	5	1
44	как и в	1	1
