N	3gram	Potebnia_M_2	Vladivir
1	в том что	7	10
2	тем не менее	5	9
3	о том что	1	8
4	вместе с тем	1	6
5	не может быть	2	6
6	более или менее	8	5
7	что же касается	1	5
8	и в этом	1	5
9	дело в том	1	5
10	в то время	4	4
11	в этом смысле	2	3
12	только в том	1	3
13	бы то ни	1	3
14	то что в	2	3
15	в том случае	1	3
16	во всяком случае	7	3
17	с одной стороны	3	3
18	в то же	2	3
19	в отличие от	1	3
20	само по себе	2	3
21	что и в	1	3
22	но даже и	1	2
23	есть прежде всего	2	2
24	одной стороны и	1	2
25	оно должно быть	1	2
26	в таком случае	2	2
27	сам по себе	4	2
28	том случае если	1	2
29	себе отчет в	1	2
30	имеет ничего общего	1	2
31	то время как	3	2
32	даже и в	1	2
33	в связи с	1	2
34	с другой стороны	2	2
35	не имеет ничего	1	2
36	и в таком	1	2
37	то же время	2	2
38	ничего общего с	1	2
39	на то что	3	2
40	бы если бы	1	2
41	в сравнении с	2	2
42	на вопрос что	1	1
43	в нашем сознании	1	1
44	найти в рассуждениях	1	1
45	потому что в	1	1
46	и всякого рода	1	1
47	наконец то что	1	1
48	это было бы	1	1
49	в таком виде	1	1
50	том что он	1	1
51	о том как	1	1
52	может и не	1	1
53	в этом случае	1	1
54	то прежде всего	1	1
55	того времени когда	1	1
56	и все признаки	1	1
57	о которой мы	2	1
58	до сих пор	4	1
59	и то и	1	1
60	и притом не	1	1
61	нетрудно заметить что	1	1
62	сама по себе	2	1
63	при этом что	1	1
64	мыслимо только в	1	1
65	с тем что	1	1
66	не тождественно с	1	1
67	что в душе	2	1
68	и это есть	1	1
69	но когда мы	1	1
70	отчет в том	1	1
71	том смысле как	2	1
72	с этой точки	1	1
73	и не в	1	1
74	то и другое	4	1
75	одно и то	2	1
76	и тем не	1	1
77	и в жизни	2	1
78	можно думать что	2	1
79	так а не	1	1
80	вопрос о том	1	1
81	может быть много	1	1
82	не только те	1	1
83	тому что все	1	1
84	то ни было	1	1
85	а тем что	1	1
86	то к чему	1	1
87	а не иначе	1	1
88	и то же	2	1
89	и в нашем	1	1
90	было бы очень	1	1
91	в течение самого	1	1
92	все же не	1	1
93	если бы не	1	1
94	есть не только	1	1
95	можно найти в	1	1
96	человек еще не	1	1
97	то что он	1	1
98	о которых мы	1	1
99	не менее и	1	1
100	первой по времени	1	1
101	образом если не	1	1
102	мы не можем	3	1
103	в одно целое	2	1
104	не иначе и	1	1
105	с самого начала	2	1
106	собственно говоря и	1	1
107	но все эти	1	1
108	здесь не о	1	1
109	мы знаем что	1	1
110	мы уже не	1	1
111	не только на	1	1
112	бы для него	1	1
113	в том смысле	4	1
114	и которые не	1	1
115	для него как	1	1
116	не только от	1	1
117	для того чтобы	2	1
118	ни на одно	1	1
