N	2gram	Medvedev_F_1	FransuaR
1	и в	24	41
2	мы уже	1	18
3	таким образом	13	17
4	во всех	5	17
5	и с	8	16
6	в нем	14	16
7	но и	7	13
8	и его	10	13
9	как мы	5	12
10	в этом	15	12
11	все эти	6	11
12	все это	9	11
13	прежде всего	22	10
14	то что	8	10
15	и др	5	10
16	в самом	5	10
17	не только	7	10
18	так как	1	10
19	кроме того	1	9
20	и все	6	9
21	здесь в	2	9
22	и на	8	9
23	никогда не	4	8
24	в этой	6	8
25	но в	5	8
26	как и	11	7
27	вовсе не	10	7
28	этот образ	2	7
29	что в	4	7
30	в его	23	7
31	в них	3	7
32	в особенности	3	7
33	у него	1	7
34	и до	5	7
35	как бы	6	7
36	том что	1	7
37	или в	1	6
38	с помощью	3	6
39	вместе с	2	6
40	например в	1	6
41	в то	9	6
42	один из	3	6
43	мы видим	1	6
44	также и	1	6
45	в году	2	6
46	в образе	1	6
47	сказать что	1	6
48	что он	3	6
49	в себе	3	5
50	же время	8	5
51	но он	1	5
52	в литературе	5	5
53	большинстве случаев	2	5
54	там где	1	5
55	в одном	2	5
56	все то	1	5
57	в ее	8	5
58	в той	1	5
59	во всем	2	5
60	той же	1	5
61	то же	10	5
62	так же	4	5
63	и что	2	5
64	с его	4	5
65	а также	1	5
66	так и	18	5
67	из них	1	5
68	еще в	2	5
69	в своем	11	5
70	борьба с	3	4
71	и наконец	3	4
72	в другом	1	4
73	не может	16	4
74	в большинстве	3	4
75	не в	8	4
76	самом деле	6	4
77	с ним	2	4
78	та же	1	4
79	того чтобы	1	4
80	все же	3	4
81	более того	3	4
82	а в	6	4
83	и от	7	4
84	и даже	3	4
85	как в	8	4
86	из этого	1	4
87	именно на	1	4
88	у нас	5	4
89	в основе	3	4
90	одной стороны	4	4
91	в котором	1	4
92	роль в	1	4
93	именно в	8	4
94	с одной	4	4
95	в результате	2	4
96	с другой	5	4
97	в ней	10	4
98	все время	2	4
99	и как	3	4
100	они и	1	3
101	они были	2	3
102	миром и	1	3
103	и самый	2	3
104	людей и	1	3
105	и для	1	3
106	нас не	2	3
107	к этим	1	3
