N	3gram	Tiupa_Lite_2	Mirosoze
1	не может быть	7	8
2	для того чтобы	1	4
3	к тому что	1	3
4	у него нет	1	3
5	для этого необходимо	1	3
6	подобно тому как	2	2
7	есть по преимуществу	1	2
8	в мире как	1	2
9	о том что	2	2
10	по отношению к	3	2
11	никогда не бывает	1	2
12	после того как	1	2
13	в том что	5	2
14	том что в	1	1
15	жизнь и судьба	1	1
16	не мог бы	1	1
17	органической связи с	1	1
18	ничего не стоит	1	1
19	образа и подобия	1	1
20	с точки зрения	3	1
21	своего образа и	1	1
22	что он не	1	1
23	в себе и	1	1
24	в этом отношении	3	1
25	своего другого в	1	1
26	он один из	1	1
27	и не было	1	1
28	но это и	1	1
29	и нет в	1	1
30	он чувствовал себя	1	1
31	и перед ним	1	1
32	но и его	1	1
33	решение вопроса о	1	1
34	человека в этом	1	1
35	я не могу	1	1
36	и он готов	1	1
37	лишь для того	1	1
38	начала в мире	1	1
39	той или иной	1	1
40	друг друга а	1	1
41	на самом деле	1	1
42	себя и других	1	1
43	в конце концов	1	1
