N	3gram	Propp_Morf_1	FransuaR
1	о том что	1	5
2	с одной стороны	1	4
3	в большинстве случаев	3	4
4	в этом отношении	1	3
5	в первом случае	3	3
6	во втором случае	1	3
7	до сих пор	1	3
8	вместо того чтобы	1	3
9	с точки зрения	2	2
10	как мы увидим	4	2
11	в данном случае	1	2
12	а также и	3	2
13	и др эти	1	2
14	с другой стороны	4	2
15	в том что	3	2
16	в сущности к	1	2
17	а потому что	1	1
18	до наших дней	2	1
19	к земле и	1	1
20	по отношению к	4	1
21	в обоих случаях	2	1
22	в чем же	1	1
23	о котором говорит	1	1
24	всегда связана с	1	1
25	более или менее	2	1
26	и в последней	1	1
27	в настоящее время	3	1
28	о том как	1	1
29	что же касается	1	1
30	и там где	1	1
31	что он может	1	1
32	является одним из	1	1
33	совершенно ясно что	1	1
34	случаях перед нами	1	1
35	но если мы	1	1
36	мы не будем	2	1
37	они все же	1	1
38	и др здесь	1	1
39	до известной степени	1	1
40	мы увидим дальше	1	1
41	мы видим как	1	1
42	мы видим что	9	1
43	и в этой	1	1
44	в связи с	8	1
45	то что он	1	1
46	это один из	1	1
47	друг к другу	2	1
48	которым он был	1	1
49	для того чтобы	2	1
50	не может быть	9	1
51	самом деле в	1	1
52	в то время	3	1
53	так как его	1	1
54	между собой и	1	1
55	после того как	1	1
56	но все же	3	1
57	мы будем говорить	1	1
58	можно сказать что	1	1
59	взять его в	1	1
60	растения и животные	1	1
61	том что он	1	1
62	что и в	1	1
63	то что не	1	1
