N	4gram	Losev_Prob_4	StatiiOP
1	в то время как	2	4
2	и тем не менее	3	2
3	заключается в том что	1	2
4	с этой точки зрения	1	1
5	в том смысле что	1	1
6	если принять во внимание	1	1
7	отчет в том что	2	1
8	в той или иной	7	1
9	только в редких случаях	1	1
10	в каждой из них	1	1
11	то только в виде	1	1
12	той или иной мере	3	1
13	себе отчет в том	2	1
14	том смысле что он	1	1
15	тем не менее в	1	1
16	до сих пор мы	1	1
17	а иной раз даже	1	1
18	в том что этот	1	1
19	о том что он	1	1
20	не говоря уже о	1	1
21	с начала до конца	1	1
