N	4gram	Vygotskiy__2	Formalny
1	с одной стороны и	2	4
2	в связи с этим	1	2
3	все более и более	1	2
4	и ко всем вообще	1	1
5	в том чтобы раскрыть	1	1
6	и с точки зрения	1	1
7	что как бы ни	1	1
8	на самом же деле	1	1
9	в зависимости от этого	2	1
10	в том числе и	3	1
11	какого бы то ни	1	1
12	заключается в том чтобы	3	1
13	с точки зрения этих	1	1
14	которой только и может	1	1
15	бы то ни было	1	1
16	независимо друг от друга	2	1
17	с социологической точки зрения	1	1
18	в зависимости от того	1	1
19	сводится к тому чтобы	1	1
20	не можем согласиться с	1	1
21	с точки зрения этой	1	1
22	в том и заключается	1	1
23	смысле этого слова а	1	1
24	мы не можем согласиться	1	1
