N	2gram	Vinokur_Ku_1	Dialekti
1	не есть	4	40
2	и не	12	30
3	по себе	2	25
4	т е	38	25
5	и т	33	21
6	т д	14	19
7	и в	24	18
8	точки зрения	14	17
9	ничего не	2	17
10	может быть	13	17
11	и есть	2	16
12	в нем	4	16
13	ни в	2	15
14	не имеет	2	15
15	так что	4	15
16	потому что	23	14
17	а не	8	14
18	не только	10	13
19	и даже	3	13
20	то что	9	13
21	что в	17	13
22	в этом	14	12
23	было бы	15	12
24	с точки	9	12
25	если бы	9	12
26	и что	5	12
27	не может	7	12
28	что это	5	11
29	учение о	4	11
30	в себе	3	11
31	что он	6	11
32	так как	9	11
33	как бы	7	11
34	это значит	1	11
35	все это	6	11
36	то же	8	10
37	есть нечто	1	10
38	несмотря на	3	10
39	что такое	6	10
40	прежде всего	9	10
41	сказать что	1	10
42	и то	3	9
43	отнюдь не	1	9
44	так и	7	9
45	это не	7	9
46	том что	21	9
47	никогда не	2	9
48	это есть	2	9
49	в том	30	9
50	ясно что	3	8
51	но это	1	8
52	в каком	2	8
53	совершенно не	1	8
54	также и	2	7
55	и как	2	7
56	что она	3	7
57	что не	5	7
58	как она	1	7
59	той или	1	7
60	мы находим	1	7
61	вовсе не	10	7
62	не просто	5	7
63	но и	6	7
64	его не	1	6
65	хотя бы	10	6
66	в чем	1	6
67	не то	1	6
68	но в	2	6
69	с другой	7	6
70	и вот	1	6
71	не в	11	6
72	в то	2	6
73	с ним	5	6
74	никак не	2	6
75	можно сказать	3	6
76	не было	3	6
77	да и	1	6
78	говорить о	1	5
79	я не	2	5
80	и он	3	5
81	отношение к	1	5
82	общего с	1	5
83	в своем	3	5
84	все же	12	5
85	на то	4	5
86	и с	5	5
87	что оно	3	5
88	и мы	2	5
89	в этих	4	5
90	но если	2	5
91	в виду	5	5
92	есть только	1	5
93	в дальнейшем	1	5
94	можно было	6	5
95	не с	3	5
96	как же	1	5
97	само по	1	5
98	в особенности	3	5
99	говорит о	1	5
100	и пр	15	5
101	она есть	1	5
102	есть и	1	5
103	об отношении	1	5
104	а в	5	5
105	это и	4	4
106	мы говорим	2	4
107	почти всегда	1	4
108	то это	3	4
109	как он	1	4
110	одно и	1	4
111	об этом	1	4
112	он есть	3	4
113	как таковой	2	4
114	нисколько не	3	4
115	смысл и	2	4
116	по крайней	5	4
117	и более	2	4
118	и притом	1	4
119	только и	3	4
120	же время	2	4
121	к тому	5	4
122	ничего общего	1	4
123	как мы	1	4
124	только то	1	4
125	о том	9	4
126	крайней мере	5	4
127	но не	5	4
128	не мешает	1	4
129	в котором	3	4
130	в конце	1	4
131	мы можем	1	4
132	как раз	8	4
133	как это	3	4
134	хотя и	3	4
135	собственно говоря	1	4
136	так же	4	4
137	может и	1	4
138	другой стороны	6	4
139	во всяком	5	4
140	самом деле	9	3
141	только потому	6	3
142	для науки	1	3
143	должна быть	3	3
144	действительности и	1	3
145	есть не	1	3
146	в ней	6	3
147	мысли и	1	3
148	на самом	2	3
149	а только	8	3
150	если в	2	3
151	все равно	2	3
152	что они	4	3
153	более или	3	3
154	конечно не	2	3
155	от этого	2	3
156	в самом	10	3
157	та же	1	3
158	он не	2	3
159	всех этих	1	3
160	и еще	2	3
