N	3gram	Vinokur_Vv_1	Morfolog
1	и т д	37	47
2	в этих случаях	2	13
3	в этом случае	6	9
4	в связи с	2	8
5	не может быть	8	8
6	подобно тому как	1	5
7	связи с этим	1	5
8	а также и	2	4
9	т д но	5	4
10	по отношению к	4	4
11	с точки зрения	2	4
12	тем не менее	8	4
13	с другой стороны	5	4
14	может быть названо	4	3
15	на самом деле	1	3
16	не могут быть	2	3
17	но все же	3	3
18	в первом случае	2	3
19	с одной стороны	4	2
20	т д в	2	2
21	может быть и	2	2
22	для того чтобы	21	2
23	в том что	12	2
24	состоит в том	2	2
25	в обоих случаях	1	2
26	в настоящее время	1	2
27	не значит что	1	2
28	и т д.?	1	2
29	точно так же	2	2
30	в собственном смысле	2	2
31	собственном смысле слова	1	2
32	в подобных случаях	1	1
33	может быть определено	1	1
34	с самого начала	1	1
35	в то же	5	1
36	смысле слова а	1	1
37	бы то ни	1	1
38	всегда связана с	1	1
39	в одном случае	1	1
40	этот вопрос мы	1	1
41	т е о	1	1
42	он представляет собой	1	1
43	тем что она	1	1
44	т д можно	1	1
45	можно сказать что	3	1
46	раньше чем продолжать	1	1
47	так как не	1	1
48	д но есть	1	1
49	с теми или	1	1
50	она имеет свои	1	1
51	дело не в	1	1
52	что же касается	2	1
53	действительно представляют собой	1	1
54	к тому что	1	1
55	все же в	1	1
56	о том что	12	1
57	что несмотря на	2	1
58	т е не	2	1
59	с этим и	1	1
60	и то же	1	1
61	и что следовательно	1	1
62	д все эти	1	1
63	можно было бы	3	1
64	отличие от других	1	1
65	но в этом	1	1
66	одна за другой	1	1
67	а в другом	1	1
68	не что иное	4	1
69	то для того	1	1
70	т д все	2	1
71	становится все более	1	1
72	т д словом	1	1
73	здесь не может	1	1
74	так как эти	1	1
75	той или иной	1	1
76	мы имеем в	1	1
77	из этих двух	1	1
78	то же время	5	1
79	об этом сообщает	1	1
80	есть не что	2	1
81	в том или	1	1
82	в точности соответствует	1	1
83	в качестве примера	1	1
84	и как они	1	1
85	что иное как	4	1
86	на этот вопрос	3	1
87	в применении к	6	1
88	один из важнейших	1	1
89	т е на	1	1
90	одно и то	1	1
91	ответить на этот	1	1
92	во всяком случае	3	1
93	в данном случае	4	1
94	кроме того они	1	1
95	может быть названа	1	1
96	не то что	1	1
97	до сих пор	5	1
