N	3gram	Losev_Vesc_1	Literetu
1	в том что	4	11
2	так или иначе	4	8
3	в то же	1	5
4	в уме своем	1	4
5	в данном случае	2	4
6	не только в	4	4
7	с этой точки	1	3
8	этой точки зрения	1	3
9	дело в том	2	2
10	подобно тому как	4	2
11	с точки зрения	3	2
12	в этом отношении	1	2
13	из того что	2	2
14	и то что	3	2
15	ту или иную	2	2
16	с одной стороны	3	2
17	во всяком случае	2	2
18	о том что	4	2
19	тем не менее	3	2
20	в чем он	1	1
21	то что я	2	1
22	только потому что	1	1
23	между прочим и	1	1
24	как и во	1	1
25	на то что	2	1
26	как раз и	1	1
27	потому что я	2	1
28	мне но и	1	1
29	имеется в виду	1	1
30	и как раз	1	1
31	имеем дело в	1	1
32	и не только	4	1
33	в зависимости от	1	1
34	бы то ни	4	1
35	резко отличается от	1	1
36	можно было бы	1	1
37	не есть ли	2	1
38	тот или иной	1	1
39	по крайней мере	4	1
40	то в чем	1	1
41	того что они	1	1
42	образом от всего	1	1
43	и в частности	1	1
44	и во всей	1	1
45	в самом деле	4	1
46	так как будто	1	1
47	уже и не	1	1
48	но только в	1	1
49	как раз с	1	1
50	с другой стороны	2	1
51	не может быть	6	1
52	если оно вообще	1	1
53	не мог бы	1	1
54	различие между ними	1	1
55	только то что	2	1
56	уже не просто	2	1
57	в свою очередь	4	1
58	и того же	1	1
59	до сих пор	1	1
60	то ни было	4	1
61	если бы я	2	1
62	одного и того	1	1
63	тех или иных	1	1
64	однако и здесь	1	1
65	мы имеем дело	2	1
66	здесь как и	1	1
67	как мы знаем	1	1
68	внутреннего и внешнего	2	1
