N	2gram	Medvedev_U_1	formyVre
1	и в	14	46
2	в этом	7	22
3	прежде всего	8	14
4	только в	2	11
5	не только	10	11
6	то есть	1	10
7	в том	2	10
8	но в	3	10
9	и для	2	9
10	не в	2	9
11	но и	4	9
12	и не	8	9
13	у него	1	9
14	как и	3	8
15	то же	5	8
16	в его	2	8
17	так и	1	7
18	то что	7	7
19	всех этих	2	7
20	может быть	6	7
21	все же	3	6
22	и с	2	6
23	и все	1	6
24	никогда не	1	6
25	все это	5	6
26	связанные с	1	5
27	в пределах	1	5
28	но не	2	5
29	что в	1	5
30	в то	3	5
31	должно быть	1	5
32	и др	1	5
33	в нем	1	5
34	он не	1	5
35	в частности	3	5
36	по существу	2	5
37	и у	2	5
38	в своем	1	5
39	в себе	2	4
40	же время	3	4
41	же в	1	4
42	в котором	1	4
43	отнюдь не	1	4
44	друг с	1	4
45	все его	1	4
46	с другом	1	4
47	человека и	1	4
48	их в	1	4
49	о том	1	4
50	а не	10	4
51	конечно не	4	4
52	том что	2	4
53	таким образом	2	3
54	дан в	1	3
55	в этот	1	3
56	не было	1	3
57	в их	4	3
58	это значит	1	3
59	для него	3	3
60	того что	1	3
61	связанных с	1	3
62	нет и	1	3
63	что и	2	3
64	и даже	1	3
65	и прежде	1	3
66	в качестве	1	3
67	ее в	1	3
68	тот же	1	3
69	что было	1	3
70	тем что	2	3
71	о чем	2	3
72	уже не	1	3
73	в виду	1	3
74	на первый	2	3
75	тем более	1	3
76	все они	2	3
77	в которых	1	3
78	к этому	1	3
79	что он	2	3
80	имеем в	1	3
81	же самое	2	3
82	форма в	1	2
83	литературы в	1	2
84	отсюда и	1	2
85	очень часто	1	2
86	можно сказать	1	2
87	но он	1	2
88	не может	7	2
89	как на	1	2
90	друг другу	1	2
91	сюда же	1	2
92	и сплошь	1	2
93	сих пор	2	2
94	строго говоря	1	2
95	и так	1	2
96	в конце	2	2
97	до сих	2	2
98	в некоторых	2	2
99	по себе	2	2
100	столько же	1	2
101	если не	2	2
102	и только	5	2
103	в той	1	2
104	это не	3	2
105	этом случае	1	2
106	могут быть	2	2
107	у нас	3	2
108	и потому	1	2
109	он был	1	2
110	много в	1	2
111	мы имеем	1	2
112	что все	2	2
113	из самых	1	2
114	далеко не	1	2
115	равно как	1	2
116	в этой	4	2
117	с одной	1	2
118	перестает быть	5	2
119	этом отношении	2	2
120	не для	1	2
121	с тем	1	2
122	она не	1	2
123	с другой	4	2
124	первый план	1	2
125	только для	1	2
126	ее к	1	2
127	было бы	3	2
128	до конца	1	2
129	весь и	1	2
130	и это	1	2
131	со своими	1	2
132	все в	1	2
133	все что	1	2
134	но это	2	2
135	в данном	1	2
136	что по	1	1
137	так много	1	1
138	в которой	1	1
139	для всех	2	1
140	широком смысле	1	1
141	смысл того	1	1
142	в отдельности	1	1
143	в значительной	1	1
144	не значит	1	1
145	на его	1	1
146	на каждом	2	1
147	почему в	1	1
148	его на	1	1
149	данном случае	1	1
150	конце концов	2	1
151	надо было	2	1
152	которых так	1	1
153	одной стороны	1	1
154	и толстого	1	1
155	больше чем	1	1
156	а это	1	1
157	для себя	1	1
158	но конечно	2	1
159	и является	2	1
160	на своем	1	1
161	общего и	1	1
162	и действительно	1	1
163	должна быть	2	1
164	как такового	3	1
165	в произведении	1	1
166	или просто	1	1
167	в виде	1	1
168	с самим	1	1
169	это для	1	1
170	первый взгляд	1	1
171	они в	1	1
172	но нам	1	1
173	в своей	3	1
174	вообще в	1	1
175	об этом	1	1
176	вот почему	7	1
177	бы ни	1	1
178	бы и	2	1
179	бы в	1	1
180	находящихся в	1	1
181	сводится к	2	1
182	для поэзии	2	1
183	его как	1	1
184	в самом	2	1
185	в широком	2	1
186	мы не	2	1
187	в таком	1	1
188	состоит из	1	1
189	него не	1	1
190	истории литературы	3	1
191	точном смысле	1	1
192	между тем	2	1
193	является целью	1	1
194	образ живого	1	1
195	за пределы	1	1
196	в порядке	1	1
197	которой и	1	1
198	к созданию	1	1
199	заключенных в	1	1
200	в системе	2	1
201	и слово	1	1
202	целого но	1	1
203	то и	1	1
204	и бытовых	1	1
205	не входит	1	1
206	вы убедитесь	1	1
207	быть по	1	1
208	мы можем	1	1
209	частности с	1	1
210	сказать что	1	1
211	цельного и	1	1
212	формы и	2	1
213	что ему	1	1
214	это же	1	1
215	самом деле	2	1
216	формы в	3	1
217	не столько	2	1
218	их и	2	1
219	это было	2	1
220	но что	1	1
221	и историческая	1	1
222	и т.д	3	1
223	другой стороны	3	1
224	которой все	1	1
225	но прежде	1	1
226	принципах построения	1	1
227	не могут	2	1
228	у других	1	1
229	и основного	2	1
230	и что	1	1
231	отлична от	1	1
232	тем менее	2	1
233	в точном	1	1
234	свое место	1	1
235	не как	3	1
236	это впечатление	1	1
237	в различных	1	1
238	с его	2	1
239	обращение к	1	1
240	на значение	1	1
241	природе и	1	1
242	стороны в	1	1
243	у стерна	1	1
244	оформления материала	1	1
245	для читателя	1	1
246	слова у	1	1
247	а как	2	1
248	и то	3	1
249	говорит он	1	1
250	это уже	2	1
251	и делает	1	1
252	еще один	1	1
253	если бы	2	1
254	в ней	1	1
255	значительной мере	1	1
256	он и	1	1
257	ее как	1	1
