N	2gram	Bakhtin_Pr_1	RusskieA
1	и в	23	29
2	том что	9	22
3	в том	11	22
4	что в	8	22
5	как бы	28	18
6	и другие	2	14
7	так как	7	13
8	может быть	21	13
9	в этом	25	11
10	как и	8	11
11	одна из	2	11
12	в этот	2	10
13	не только	13	10
14	и с	4	10
15	все это	7	10
16	а на	1	9
17	о том	2	9
18	в некоторых	1	9
19	а в	7	9
20	его в	4	8
21	но и	11	8
22	ее в	1	8
23	как в	6	7
24	данном случае	2	7
25	представляют собой	1	7
26	мы не	2	6
27	еще не	5	6
28	и на	10	6
29	при этом	3	6
30	таким образом	11	6
31	того чтобы	4	6
32	для нас	3	6
33	для того	2	6
34	вместе с	2	6
35	в данном	2	6
36	же в	2	6
37	должна была	4	5
38	но не	8	5
39	но в	4	5
40	это не	10	5
41	не может	11	5
42	потому что	12	5
43	для этого	1	5
44	и что	1	5
45	будто бы	1	5
46	то что	18	5
47	с ней	1	5
48	к этому	2	5
49	же как	1	4
50	то же	10	4
51	вопрос о	4	4
52	не все	1	4
53	уже не	8	4
54	их в	2	4
55	в них	3	4
56	далеко не	1	4
57	в которых	2	4
58	не в	6	4
59	тогда когда	1	4
60	у нас	1	4
61	к нему	3	4
62	так что	1	4
63	то и	2	4
64	из них	2	4
65	именно в	6	4
66	а не	20	4
67	так же	6	4
68	по существу	4	4
69	это делалось	1	4
70	и все	3	4
71	в году	1	3
72	и о	3	3
73	в ее	1	3
74	что это	1	3
75	все эти	8	3
76	в этой	4	3
77	что она	2	3
78	подобно тому	3	3
79	и по	2	3
80	и других	5	3
81	с другими	7	3
82	на первый	1	3
83	в эту	1	3
84	в этих	2	3
85	в котором	2	3
86	в отличие	2	3
87	но он	2	3
88	она не	5	3
89	как мы	5	3
90	во всех	5	3
91	в свете	3	3
92	а именно	1	3
93	того что	2	3
94	как например	2	3
95	между тем	5	3
96	в качестве	1	3
97	в последний	2	3
98	или даже	2	3
99	за ним	2	3
100	друг друга	3	3
101	отличие от	2	3
102	где есть	1	3
103	тем что	3	3
104	что для	2	3
105	до конца	5	3
106	тому как	3	3
107	и от	1	3
108	было бы	6	3
109	также что	1	2
110	одним из	8	2
111	и то	1	2
112	на самом	4	2
113	это и	9	2
114	так чтобы	1	2
