N	2gram	Vygotskiy__3	ViktorSh
1	и в	38	2
2	том что	14	2
3	в том	25	2
4	в конце	2	2
5	и только	3	1
6	и почти	1	1
7	здесь достаточно	1	1
8	все дело	1	1
9	и стоит	1	1
10	в другом	5	1
11	хотя бы	2	1
12	и не	10	1
13	все время	30	1
14	и его	6	1
15	потому что	14	1
16	я не	5	1
17	и то	8	1
18	самом деле	21	1
19	все это	3	1
20	совершенно ясно	13	1
21	от других	1	1
22	именно в	1	1
23	главным образом	3	1
24	по своим	1	1
25	в теории	1	1
26	в их	1	1
27	как же	2	1
28	то чего	1	1
29	дело в	1	1
30	в частности	1	1
31	одно и	3	1
32	все то	7	1
33	не одно	1	1
34	столь же	2	1
35	время в	5	1
36	же все	1	1
37	ведь это	1	1
38	в которых	6	1
39	деле как	1	1
40	заключается что	1	1
41	в самом	25	1
42	для них	1	1
43	дело именно	1	1
44	только в	4	1
45	то же	10	1
46	ясно что	6	1
47	составляет ее	1	1
48	так как	6	1
49	далеко не	3	1
50	и составляет	1	1
51	с о	1	1
52	к чему	6	1
53	но это	3	1
54	в этом	13	1
55	одном и	1	1
56	и самым	1	1
57	чем больше	1	1
58	и заключается	1	1
59	по существу	2	1
60	то я	1	1
61	к этому	3	1
62	гораздо более	1	1
