N	2gram	Bakhtin_Fr_5	Psycholo
1	и в	45	38
2	то что	2	35
3	в самом	4	25
4	в том	10	25
5	самом деле	5	21
6	что в	12	20
7	может быть	2	19
8	и что	2	18
9	точки зрения	4	16
10	на то	1	16
11	что она	3	16
12	то есть	25	15
13	в ней	8	15
14	потому что	7	14
15	если бы	1	14
16	как бы	12	14
17	том что	7	14
18	в этом	14	13
19	и мы	1	13
20	в этой	6	13
21	таким образом	8	12
22	мы видим	5	12
23	не только	14	12
24	не в	7	12
25	было бы	2	12
26	что он	6	11
27	и не	15	10
28	и все	7	10
29	что это	2	10
30	в сущности	4	10
31	то же	11	10
32	же самое	2	10
33	о которых	1	9
34	в двух	1	9
35	того чтобы	6	9
36	с точки	2	9
37	и как	5	8
38	все же	2	8
39	вовсе не	8	8
40	как раз	5	8
41	с тем	2	8
42	в одном	3	8
43	видим что	2	8
44	как и	10	8
45	из этого	1	8
46	с этим	4	8
47	и это	4	8
48	для того	6	8
49	перед нами	4	8
50	не может	5	7
51	все то	1	7
52	между тем	2	7
53	как мы	8	7
54	что у	1	7
55	мы уже	4	7
56	мы можем	2	7
57	а в	4	7
58	а не	4	7
59	никак не	1	7
60	и здесь	4	6
61	там где	3	6
62	до сих	3	6
63	как это	4	6
64	к тому	2	6
65	мы видели	7	6
66	не имеет	3	6
67	и его	13	6
68	один из	2	6
69	в котором	1	6
70	тому что	1	6
71	о том	4	6
72	и на	5	6
73	и если	2	6
74	в которых	3	6
75	если мы	2	6
76	из них	1	6
77	так как	6	6
78	указывает на	1	6
79	он не	6	6
80	в другом	3	5
81	сих пор	3	5
82	мы не	4	5
83	в своей	3	5
84	казалось бы	1	5
85	время в	1	5
86	вместе с	3	5
87	гибели и	1	5
88	в той	1	5
89	но и	10	5
90	и когда	1	5
91	так сказать	1	5
92	в его	13	5
93	на этом	5	5
94	несмотря на	2	5
95	в своем	11	5
96	все эти	5	4
97	здесь совершенно	1	4
98	в себе	1	4
99	смысл и	1	4
100	в целом	2	4
101	что они	1	4
102	одна из	1	4
103	больше чем	2	4
104	при этом	2	4
105	и для	3	4
106	в нем	10	4
107	что эта	2	4
108	во всех	13	4
109	не мог	4	4
110	раз в	2	4
111	того что	3	4
112	никогда не	1	4
113	и даже	4	4
114	что этот	1	4
115	как в	3	4
116	в самой	8	4
117	ее в	1	4
118	сказать что	4	4
119	в течение	3	4
120	как будто	1	4
121	только в	4	4
122	по своему	4	4
123	из него	1	4
124	у него	4	4
125	когда он	2	4
126	у всех	1	4
127	что и	7	4
128	мы все	1	4
129	когда в	2	4
130	которую мы	1	4
131	что с	1	4
132	конечно не	2	4
133	не можем	1	4
134	не могли	1	4
135	она была	1	4
136	в свою	1	4
137	что все	2	3
138	и этот	1	3
139	что по	1	3
140	из области	2	3
141	того же	3	3
142	в них	6	3
143	как на	4	3
144	здесь не	6	3
145	когда она	1	3
146	рассказывает о	1	3
147	одновременно и	2	3
148	где он	1	3
149	к концу	1	3
150	ягненка и	1	3
151	бы не	1	3
152	та же	1	3
153	которое мы	1	3
154	по его	1	3
155	его в	5	3
156	бы в	4	3
157	конечно в	2	3
158	и только	2	3
159	сам автор	1	3
160	это только	1	3
161	и о	4	3
162	имеет никакого	1	3
163	и к	5	3
164	из этих	3	3
165	что не	1	3
166	тот же	1	3
167	в то	11	3
168	полагает что	1	3
169	ни в	3	3
170	как только	1	3
171	к ним	1	3
172	уже говорили	2	3
173	в поэме	1	3
174	он был	7	3
175	тем что	1	3
176	что под	1	3
177	того как	1	3
178	в таком	1	3
179	далеко не	1	3
180	мы говорили	2	3
181	должен быть	2	3
182	но в	14	3
183	только для	2	3
184	все это	7	3
185	к этому	2	3
186	со всей	1	3
187	в основе	4	3
188	именно это	1	3
189	стоит только	1	3
190	так называемой	1	3
191	но это	5	3
192	для всех	3	2
193	поэзии и	1	2
194	мы слышим	2	2
195	и наконец	2	2
196	все те	1	2
197	во всяком	1	2
198	данном случае	2	2
199	но он	3	2
200	в качестве	2	2
201	говорит о	1	2
202	в виде	1	2
203	так же	8	2
204	еще и	3	2
205	стиле и	1	2
206	есть в	3	2
207	и больше	2	2
208	своей жизни	2	2
209	с ним	5	2
210	и во	4	2
211	но мы	2	2
212	хотя бы	2	2
213	тем больше	1	2
214	и другие	3	2
215	в конце	7	2
216	к самой	1	2
217	о мире	1	2
218	внутреннее противоречие	2	2
219	тенденцию к	1	2
220	одно из	2	2
221	со всеми	5	2
222	он именно	1	2
223	в эту	2	2
224	он действительно	1	2
225	и вот	3	2
226	к первой	1	2
227	например в	5	2
228	здесь в	4	2
229	здесь с	2	2
230	для него	3	2
231	видели что	1	2
232	то как	1	2
233	должны были	1	2
234	она играет	1	2
235	на самом	5	2
236	но как	1	2
237	не имеют	1	2
238	он все	1	2
239	но они	3	2
240	к ней	2	2
241	и другими	1	2
242	к своему	1	2
243	надо было	1	2
244	и той	1	2
245	и всегда	1	2
246	что автор	1	2
247	они не	1	2
248	с ее	5	2
249	у нас	1	2
250	на время	4	2
251	слов и	1	2
252	и чем	1	2
253	в нее	1	2
254	же точно	1	2
255	свою очередь	1	2
256	благодаря этому	2	2
257	можно назвать	1	2
258	в одной	3	2
259	в истории	2	2
260	ничего не	4	2
261	том как	2	2
262	нам в	1	2
263	той же	4	2
264	не просто	1	2
265	заметить что	2	2
266	то это	1	2
267	для этого	1	2
268	должен был	1	2
269	но сам	1	2
270	этого слова	1	2
271	из нее	1	2
272	он хочет	2	2
273	всех этих	6	2
274	и та	2	2
275	он в	2	2
276	на всю	1	2
277	чрезвычайно просто	1	2
278	и по	1	2
279	такой же	4	2
280	не могут	2	2
281	до конца	1	2
282	что за	1	2
283	их в	1	2
284	в общем	4	2
285	признать что	1	2
286	столь же	1	2
287	все они	4	2
288	в первой	4	2
289	то время	3	2
290	по существу	3	2
291	всего этого	3	2
292	целый ряд	1	2
293	и одновременно	3	2
294	и ее	1	2
295	он может	1	2
296	нами в	1	2
297	и более	1	2
298	очень часто	4	2
299	одной и	1	2
300	так например	2	2
301	без всякой	1	2
302	это был	1	2
303	развития и	1	2
304	в данном	2	2
305	то мы	1	1
306	и клянется	1	1
307	и там	2	1
308	мест в	1	1
309	что многие	1	1
310	почти не	2	1
311	образа и	1	1
312	жизни а	1	1
313	был в	1	1
314	как образец	1	1
315	на его	1	1
316	тело и	1	1
317	в несколько	1	1
