N	2gram	Tiupa_Vved_1	VelikijI
1	и не	12	20
2	и в	13	16
3	то что	6	9
4	еще не	7	8
5	в истории	1	8
6	что они	1	7
7	а не	15	7
8	и потому	1	7
9	на себя	1	5
10	но и	19	5
11	того что	6	5
12	хотя и	7	5
13	в мире	8	5
14	все это	1	5
15	что есть	1	5
16	как бы	4	5
17	говорить о	2	4
18	добра и	1	4
19	в его	4	4
20	в этом	21	4
21	что он	1	4
22	потому что	5	4
23	в нем	5	4
24	так и	8	4
25	что все	1	4
26	что не	1	4
27	как и	11	4
28	что мы	2	4
29	в котором	8	4
30	мировой жизни	1	4
31	в ней	4	4
32	и все	4	4
33	все что	3	4
34	и что	1	3
35	должна быть	2	3
36	хотя бы	1	3
37	лишь в	2	3
38	во всех	2	3
39	что и	2	3
40	в том	10	3
41	тот же	1	3
42	но в	6	3
43	бы и	4	3
44	все эти	1	3
45	в конце	1	3
46	их в	2	3
47	в своей	5	3
48	и мы	1	3
49	в жизни	4	3
50	в них	2	3
51	не было	2	3
52	в этих	3	3
53	нет ничего	1	3
54	что я	1	3
55	не в	6	3
56	к чему	1	3
57	тому что	1	3
58	но это	3	3
59	к бытию	1	3
60	не имеет	2	3
61	никогда не	4	3
62	превращается в	1	3
63	и для	3	3
64	что ты	1	3
65	к тому	6	3
66	жизни и	7	3
67	что в	3	3
68	оно не	1	3
69	того чтобы	1	2
70	лишь из	1	2
71	от своей	1	2
72	это мы	1	2
73	и сам	1	2
74	можно было	2	2
75	мы не	4	2
76	когда в	2	2
77	с ним	3	2
78	вместо того	2	2
79	своей истории	1	2
80	между тем	1	2
81	вслед за	2	2
82	от этих	2	2
83	которые не	1	2
84	не с	3	2
85	человека как	1	2
86	материалом для	1	2
87	только в	6	2
88	уже не	5	2
89	не только	20	2
90	его и	1	2
91	не так	1	2
92	для него	3	2
93	не хотел	1	2
94	не к	4	2
95	тем что	2	2
96	на том	1	2
97	это не	6	2
98	а с	2	2
99	прежде всего	7	2
100	для них	3	2
101	все равно	2	2
102	с тем	1	2
103	мы и	2	2
104	один из	3	2
105	мира в	8	2
106	мир и	1	2
107	да и	1	2
108	почему оно	1	2
109	в смысл	1	2
110	одна из	4	2
111	том что	7	2
112	тот кто	2	2
113	а к	3	2
114	для нас	2	2
115	в форме	1	2
116	и теперь	1	2
117	людей и	1	2
118	это все	1	2
119	а в	6	2
120	но не	5	2
121	в духе	1	2
122	могут быть	4	2
123	понимает и	1	2
124	и зла	1	2
125	во всяком	1	2
126	речь идет	1	1
127	как мы	3	1
128	в виду	1	1
129	для себя	1	1
130	в ее	1	1
131	и до	1	1
132	роль в	1	1
133	сама идея	1	1
134	значение в	1	1
135	которое может	1	1
136	то же	5	1
137	это он	1	1
138	до времени	1	1
139	в результате	3	1
140	это только	2	1
141	смысл бытия	1	1
