N	2gram	Vygotskiy__3	Literetu
1	и не	10	22
2	в мире	2	16
3	и в	25	16
4	при этом	5	15
5	в этом	14	14
6	не только	6	14
7	но и	4	14
8	в том	23	12
9	может быть	13	12
10	а не	1	12
11	то что	15	12
12	в частности	4	11
13	не в	6	10
14	такого рода	2	10
15	то же	2	9
16	так и	5	9
17	в то	4	9
18	того что	10	9
19	в этой	5	8
20	в жизни	3	8
21	том что	20	8
22	не может	6	8
23	как бы	10	8
24	в своей	2	7
25	тем самым	2	7
26	только в	10	7
27	точки зрения	6	7
28	еще не	4	6
29	с его	2	6
30	в себе	2	6
31	состоит в	3	6
32	в другом	1	6
33	о том	5	6
34	и его	2	6
35	в его	15	6
36	с другой	6	6
37	к тому	4	6
38	в отличие	6	5
39	отличие от	6	5
40	как в	9	5
41	в целом	13	5
42	тому же	1	5
43	как и	15	5
44	в основе	16	5
45	этом отношении	3	5
46	в ее	1	5
47	что он	6	5
48	в качестве	12	5
49	именно в	5	5
50	а именно	1	5
51	вместе с	14	5
52	а в	4	5
53	одним из	5	4
54	но не	6	4
55	по отношению	3	4
56	хотя и	2	4
57	входит в	5	4
58	должно быть	2	4
59	место в	2	4
60	однако в	2	4
61	даже в	1	4
62	никогда не	4	4
63	данном случае	1	4
64	а также	2	4
65	другого в	2	4
66	с одной	5	4
67	в начале	2	4
68	из них	4	4
69	одно из	1	4
70	в одном	2	4
71	до конца	1	4
72	одной стороны	5	4
73	в данном	1	4
74	по существу	1	4
75	и для	2	4
76	отношению к	2	4
77	отношения к	1	3
78	например в	1	3
79	для которого	1	3
80	едва ли	2	3
81	той же	4	3
82	с ее	5	3
83	отнюдь не	4	3
84	однако не	1	3
85	и как	5	3
86	и к	5	3
87	но в	1	3
88	то в	3	3
89	бы и	1	3
90	на его	2	3
91	а затем	1	3
92	и тем	1	3
93	в слове	1	3
94	высшая форма	1	3
95	с точки	1	3
96	по своей	7	3
97	потому что	6	3
98	в области	7	3
99	для его	1	3
100	все еще	2	3
101	еще в	2	3
102	не случайно	1	3
103	прежде всего	4	3
104	между тем	3	3
105	вслед за	3	3
106	все время	2	3
107	уже не	2	3
108	в самом	3	3
109	те кто	1	3
110	как это	7	3
111	тому как	2	3
112	там где	4	3
113	это как	1	3
114	как на	2	3
115	том числе	1	3
