N	3gram	Bakhtin_KF_1	Vladivir
1	в том что	2	9
2	во всяком случае	1	6
3	тем не менее	2	6
4	и то что	1	5
5	дело в том	1	3
6	с точки зрения	9	3
7	в то же	2	3
8	не в том	1	3
9	то же время	2	3
10	между прочим и	1	2
11	на то что	1	2
12	в настоящее время	1	2
13	это нисколько не	1	2
14	в том же	1	2
15	в свою очередь	1	2
16	ввиду того что	1	2
17	само по себе	1	2
18	мы будем говорить	1	2
19	во второй половине	1	2
20	и в его	1	2
21	и все же	1	2
22	не может не	1	1
23	для нас важно	2	1
24	не было ни	1	1
25	ни к чему	2	1
26	его жизни в	1	1
27	потому что в	1	1
28	все во всех	1	1
29	равно как и	1	1
30	и для него	2	1
31	он не может	1	1
32	не было и	1	1
33	и в то	1	1
34	бы то ни	2	1
35	с ним в	1	1
36	не было бы	3	1
37	на первом плане	2	1
38	и не в	1	1
39	вместе с тем	1	1
40	и тем не	1	1
41	может быть и	1	1
42	и в своем	1	1
43	для него самого	1	1
44	время и в	1	1
45	до конца и	1	1
46	но в то	1	1
47	тот же с	1	1
48	не содержит в	1	1
49	и как бы	1	1
50	с ним и	1	1
51	за собой и	1	1
52	к той же	1	1
53	и в котором	1	1
54	не может быть	11	1
55	то что я	2	1
56	во всех своих	3	1
57	что в бытии	1	1
58	и ни в	2	1
59	мы имеем не	1	1
60	раз и навсегда	2	1
61	к чему не	2	1
62	к которой мы	1	1
63	со всеми своими	1	1
64	себя я не	1	1
65	только тогда когда	1	1
66	в этом смысле	3	1
67	уже не только	1	1
68	но во всяком	1	1
69	но это не	1	1
70	конечно не в	1	1
71	для того чтобы	1	1
72	в себе в	1	1
73	есть для меня	1	1
74	а именно в	1	1
75	может быть в	3	1
76	прочим и в	1	1
