N	3gram	Kanaev_Sov_1	formyVre
1	то же время	1	9
2	в то же	1	6
3	и в то	1	5
4	в связи с	1	5
5	времени и пространства	2	4
6	по отношению к	1	3
7	до сих пор	1	3
8	может быть только	1	3
9	прежде всего необходимо	1	3
10	не может быть	4	3
11	но все же	1	2
12	дело в том	1	2
13	как мы видим	1	2
14	равно как и	1	2
15	одной стороны и	1	2
16	с точки зрения	5	2
17	в отличие от	2	2
18	друг на друга	1	2
19	на другой день	1	2
20	так же как	1	2
21	с одной стороны	1	2
22	может быть и	2	2
23	и во всей	1	2
24	под углом зрения	1	2
25	с самого начала	3	2
26	со всеми его	1	2
27	но все эти	1	2
28	и прежде всего	1	2
29	той или иной	1	2
30	всего необходимо отметить	1	2
31	в том что	1	2
32	в дословном переводе	1	1
33	и может быть	1	1
34	теперь мы должны	1	1
35	до наших дней	1	1
36	его таким образом	1	1
37	и во всех	1	1
38	ровно ничего не	1	1
39	и до сих	1	1
40	мы можем поставить	1	1
41	в самом деле	1	1
42	природы и от	1	1
43	они не могут	1	1
44	в зависимости от	4	1
45	сами по себе	1	1
46	может иметь место	1	1
47	совершенно так же	1	1
48	и ничего не	1	1
49	по самому своему	1	1
50	мы должны еще	1	1
51	так как он	2	1
52	своему существу не	1	1
53	в данном случае	1	1
54	играть в нем	1	1
55	если бы эти	1	1
56	тот факт что	1	1
57	как мы это	1	1
58	и в этом	1	1
59	не могут быть	1	1
60	самому своему существу	1	1
61	все более и	1	1
62	во всяком случае	2	1
63	в новое время	1	1
64	когда мы говорим	1	1
65	и все же	1	1
66	совершенно независимо от	1	1
67	таким образом все	1	1
68	в свою очередь	2	1
69	быть и речи	1	1
70	в этом случае	1	1
71	но отнюдь не	1	1
72	более и более	1	1
73	мы говорим о	1	1
74	между собой поэтому	1	1
75	лишь там где	1	1
76	друг с другом	2	1
77	мы уже знаем	1	1
78	и у нас	1	1
79	и к другому	1	1
