N	3gram	Propp_Russ_2	Freidism
1	во всяком случае	1	7
2	не может быть	3	7
3	в данном случае	6	4
4	можно сказать что	1	4
5	как мы уже	1	4
6	как мы видели	1	4
7	для того чтобы	6	3
8	в свою очередь	1	3
9	и связанных с	1	2
10	в отличие от	3	2
11	может быть и	1	2
12	в предыдущей главе	1	2
13	ничего общего не	1	2
14	все то что	1	2
15	в этом отношении	1	2
16	это и есть	1	2
17	с одной стороны	2	2
18	тем не менее	2	2
19	мы уже знаем	1	2
20	мы видели что	4	2
21	том что в	1	1
22	один из основных	1	1
23	так как в	1	1
24	в таком виде	2	1
25	в этом случае	6	1
26	но не только	1	1
27	на этом же	1	1
28	в глаза при	1	1
29	на самом же	2	1
30	во всех этих	1	1
31	по аналогии с	1	1
32	из того что	1	1
33	в какой степени	1	1
34	а иногда и	1	1
35	мы видели также	1	1
36	в двух направлениях	1	1
37	в поле в	1	1
38	что бросается в	1	1
39	на первый взгляд	1	1
40	но вместе с	2	1
41	но она не	2	1
42	первое что бросается	1	1
43	всяком случае не	1	1
44	в такой же	1	1
45	в этой теории	1	1
46	а может быть	1	1
47	бросается в глаза	2	1
48	это не совсем	1	1
49	то увидим что	1	1
50	через три дня	1	1
51	таким образом в	1	1
52	мы не можем	2	1
53	в то время	2	1
54	мы не будем	2	1
55	имея в виду	1	1
56	о том что	4	1
57	к выводу что	1	1
58	в связь с	1	1
59	такой же степени	1	1
60	или во всяком	1	1
61	смысле этого слова	1	1
62	этим как бы	1	1
63	и т д	5	1
64	оно все же	1	1
65	самом же деле	2	1
66	в том что	18	1
67	вопрос который в	1	1
68	в заключение нужно	1	1
69	пойти в двух	1	1
