N	3gram	Vinokur_St_2	FransuaR
1	то же время	1	9
2	в то же	1	9
3	в том числе	1	4
4	как мы видели	1	4
5	после того как	4	4
6	в конце концов	1	4
7	в свою очередь	1	3
8	с точки зрения	2	3
9	за то что	2	3
10	так и в	2	3
11	в том что	16	3
12	дело в том	4	2
13	по отношению к	1	2
14	более или менее	2	2
15	но все это	2	2
16	в этом отношении	9	2
17	то что в	2	2
18	почти ничего не	1	2
19	в значительной степени	2	2
20	что у него	1	2
21	в свое время	1	2
22	в заключительной части	1	1
23	что в этом	1	1
24	в чем же	1	1
25	в своем романе	1	1
26	и для самого	1	1
27	на самом деле	1	1
28	чтобы показать его	1	1
29	себе и в	1	1
30	в том же	2	1
31	пользовался при этом	1	1
32	с этим не	1	1
33	сам по себе	1	1
34	в той же	1	1
35	но он не	1	1
36	с тем что	2	1
37	на этот вопрос	1	1
38	в это время	2	1
39	писался в течение	1	1
40	то обстоятельство что	4	1
41	в данном случае	1	1
42	который в своем	1	1
43	том же духе	1	1
44	имеет ничего общего	1	1
45	и в этом	2	1
46	о том что	11	1
47	в этих словах	2	1
48	в связи с	1	1
49	до нас не	1	1
50	было бы думать	1	1
51	потому что это	2	1
52	таким образом в	1	1
53	во всяком случае	3	1
54	в конце года	1	1
55	имел в виду	1	1
56	и все это	1	1
57	ни для кого	1	1
58	ничего общего с	1	1
59	в одном из	3	1
60	был тесно связан	1	1
61	с самого начала	3	1
62	к тому же	2	1
63	нужно сказать что	1	1
64	тесно связан с	1	1
65	во второй половине	1	1
66	в июне года	1	1
67	в этом смысле	1	1
68	по этому поводу	2	1
69	так что в	1	1
70	и в том	1	1
71	тем что в	1	1
72	при помощи которого	1	1
73	не имеет ничего	1	1
74	и в другом	1	1
