N	3gram	Voloshinov_1	RusskieA
1	в том что	4	15
2	и т д	1	9
3	том что в	1	6
4	в этом случае	1	5
5	о том что	1	4
6	в настоящее время	1	3
7	с точки зрения	10	3
8	а иногда и	1	3
9	мы не можем	1	3
10	тем не менее	2	3
11	мы не будем	1	2
12	в какой степени	1	2
13	в западной европе	1	2
14	может быть и	1	2
15	так как они	1	2
16	в свою очередь	1	2
17	но все же	1	2
18	в большинстве случаев	4	2
19	и у нас	1	2
20	так обстояло дело	1	2
21	ничего общего не	1	1
22	а следовательно и	2	1
23	хотя и не	1	1
24	в нашем сознании	1	1
25	только потому что	1	1
26	это как будто	1	1
27	по этому вопросу	1	1
28	иметь в виду	1	1
29	и наконец в	1	1
30	это означает что	1	1
31	по отношению к	9	1
32	на самом деле	2	1
33	так как в	1	1
34	но и по	1	1
35	не совсем так	1	1
36	одна из основных	1	1
37	только одно из	1	1
38	точки зрения в	1	1
39	том что это	1	1
40	в первые годы	1	1
41	целом ряде других	1	1
42	в таком случае	2	1
43	мы должны признать	1	1
44	далеко не так	1	1
45	себя и не	1	1
46	и в дальнейшем	1	1
47	в себе и	1	1
48	в этом отношении	2	1
49	в собственном смысле	1	1
50	на этот вопрос	1	1
51	говорит о том	1	1
52	не только из	1	1
53	только одна из	1	1
54	сделать вывод что	1	1
55	в жизни человека	3	1
56	и поэтому они	1	1
57	как будто бы	1	1
58	в отличие от	1	1
59	во всех этих	1	1
60	он должен был	1	1
61	во многих отношениях	1	1
62	но вместе с	2	1
63	потому что по	1	1
64	во всяком случае	3	1
65	этом мы можем	1	1
66	в целом ряде	1	1
67	это не совсем	1	1
68	мы уже знаем	2	1
69	в то время	1	1
70	к этому времени	2	1
71	ничего общего с	1	1
72	можно сделать вывод	1	1
73	но оно в	1	1
74	можно сказать что	3	1
75	или может быть	1	1
76	во второй половине	1	1
77	как мы уже	4	1
78	у нас в	2	1
79	быть не может	1	1
80	главным образом из	1	1
81	мы увидим что	4	1
82	в данном случае	3	1
83	как мы видели	4	1
