N	3gram	Tiupa_Disk_1	Marksizm
1	с точки зрения	1	20
2	не может быть	3	13
3	и не может	1	9
4	до сих пор	1	8
5	в связи с	1	7
6	до настоящего времени	1	5
7	одни и те	1	5
8	и те же	1	5
9	и того же	2	5
10	в отличие от	4	5
11	одного и того	2	5
12	с другой стороны	3	5
13	с самого начала	1	4
14	в то же	3	3
15	в большинстве случаев	1	3
16	можно сказать что	2	3
17	в науке о	2	3
18	в том что	13	3
19	в этом случае	1	3
20	то же самое	2	3
21	то же время	4	3
22	но все же	1	3
23	в этом отношении	1	3
24	может стать объектом	1	2
25	это и есть	1	2
26	в том числе	2	2
27	во всяком случае	1	2
28	в этом смысле	1	2
29	речевого общения в	2	2
30	и прежде всего	1	2
31	по отношению к	9	2
32	в данном конкретном	1	2
33	но при этом	3	2
34	нет и не	1	2
35	во всех областях	1	2
36	том числе и	2	2
37	как и все	1	2
38	в нем нет	1	2
39	тем не менее	1	2
40	в свою очередь	3	2
41	в таком случае	1	2
42	что во всех	1	2
43	подобно тому как	2	1
44	а в том	2	1
45	с одной стороны	9	1
46	в своей основе	1	1
47	лежит не в	1	1
48	так и в	1	1
49	большей или меньшей	2	1
50	в одной из	2	1
51	в следующей главе	1	1
52	в новое время	1	1
53	одним и тем	1	1
54	прежде всего как	1	1
55	до известной степени	1	1
56	в данном отношении	1	1
57	в другом случае	1	1
58	в целом ряде	1	1
59	хотя бы и	1	1
60	то все же	1	1
61	и тем же	1	1
62	точка зрения на	1	1
63	тот или иной	2	1
64	и как бы	3	1
65	именно здесь в	1	1
66	на самом деле	1	1
67	языка и не	1	1
68	по природе своей	5	1
69	и т.п но	3	1
70	в значительной степени	2	1
71	более или менее	2	1
72	не только в	2	1
73	в основе своей	2	1
74	сами по себе	2	1
75	той или иной	3	1
76	из виду что	1	1
77	по аналогии с	1	1
78	до наших дней	1	1
79	так и от	1	1
80	не может стать	1	1
81	прежде всего в	1	1
82	как мы видели	1	1
83	между которыми не	1	1
84	одну из них	1	1
85	она могла бы	1	1
86	здесь в области	1	1
87	громадное значение в	1	1
88	в этом направлении	1	1
89	в наше время	2	1
90	или во всяком	1	1
91	именно в том	1	1
92	и в другом	1	1
93	два значения слова	1	1
94	в новейшее время	1	1
95	том что он	1	1
96	а не в	2	1
97	а не только	2	1
98	что же касается	2	1
99	ту или иную	1	1
100	может быть в	1	1
101	в большей или	1	1
102	между собой и	1	1
103	своих задач в	1	1
