N	2gram	Propp_Morf_1	KFilosof
1	может быть	52	43
2	в его	1	39
3	не может	14	27
4	и не	12	26
5	по отношению	4	25
6	и в	13	22
7	в себе	1	21
8	отношению к	4	21
9	для меня	1	20
10	не есть	1	19
11	и его	1	17
12	а не	11	17
13	только в	2	16
14	в этом	14	13
15	точки зрения	2	13
16	но не	4	12
17	ни в	1	12
18	для него	1	12
19	все эти	2	11
20	в своей	1	11
21	не в	3	11
22	к нему	3	11
23	во всех	4	10
24	это не	6	10
25	с точки	2	10
26	и есть	2	9
27	в целом	3	9
28	для нее	1	9
29	но и	4	9
30	как бы	3	9
31	и для	2	9
32	и все	1	9
33	было бы	3	8
34	если бы	2	8
35	со стороны	3	8
36	то что	8	7
37	во всем	1	7
38	и здесь	5	7
39	что и	7	7
40	себя в	1	7
41	вовсе не	4	7
42	момент в	1	6
43	отношение к	1	6
44	он не	3	6
45	не значит	2	6
46	этот момент	3	6
47	и действительно	1	6
48	совершенно не	1	6
49	уже не	2	6
50	и их	2	6
51	но это	6	6
52	в том	6	6
53	мы имеем	9	5
54	но как	2	5
55	все же	7	5
56	но в	2	5
57	не только	4	5
58	но ведь	1	5
59	то же	7	5
60	но все	3	5
61	его в	2	5
62	как и	3	5
63	должно быть	1	5
64	но эта	1	5
65	не имеет	2	5
66	поступок не	1	5
67	там где	5	5
68	в основе	1	5
69	хотя бы	4	5
70	не знает	1	5
71	как его	1	4
72	где я	1	4
73	в чем	1	4
74	при этом	1	4
75	здесь мы	3	4
76	бы быть	1	4
77	входит в	2	4
78	не по	2	4
79	в каком	2	4
80	с ними	1	4
81	между тем	5	4
82	во всей	1	4
83	могло бы	1	4
84	нисколько не	1	4
85	ни было	2	4
86	в одном	1	4
87	том что	4	4
88	для нас	2	4
89	а в	7	4
90	со мной	1	4
91	что в	8	4
92	самом деле	4	3
93	на самом	4	3
94	из его	2	3
95	должна быть	1	3
96	и этот	1	3
97	мы не	8	3
98	что это	1	3
99	может дать	1	3
100	еще не	3	3
101	и на	1	3
102	тем как	1	3
103	независимо от	3	3
104	данный момент	1	3
105	и этим	5	3
106	к чему	3	3
107	бы не	1	3
108	для того	2	3
109	и совершенно	1	3
110	в каждом	1	3
111	могла бы	4	3
112	в другом	2	3
113	нет в	1	3
114	положения в	1	3
115	не должно	1	3
116	что этот	1	3
117	не менее	5	3
118	меня не	1	3
119	ничего не	4	3
120	могут быть	16	3
121	здесь не	2	3
122	ясно что	5	3
123	здесь нет	1	3
124	но здесь	1	3
125	в виду	1	3
126	нему в	1	3
127	о том	2	3
128	того или	1	3
129	положения и	1	3
130	того что	3	3
131	быть и	2	3
132	и тем	2	3
133	не дает	1	3
134	тем что	4	3
135	от того	3	3
136	а эта	2	3
137	что не	1	3
138	и пр	37	3
139	в момент	1	3
140	вступает в	1	3
141	по своему	2	3
142	от него	1	3
143	лишь как	1	3
144	и ни	1	3
145	в то	3	3
146	на своем	1	3
147	и то	1	2
148	он может	2	2
149	это и	2	2
150	есть категория	1	2
151	есть на	1	2
152	на первом	1	2
153	вопрос о	7	2
154	а для	1	2
155	целом не	1	2
156	ему в	1	2
157	с его	2	2
158	совсем не	3	2
159	в данном	1	2
160	или иное	1	2
161	себя за	2	2
162	же с	1	2
163	как в	3	2
164	определить в	1	2
165	и как	5	2
166	та же	2	2
167	ни одна	4	2
168	в этой	2	2
169	стороны ее	2	2
170	нами в	2	2
171	и тот	1	2
172	имеем в	6	2
173	в виде	2	2
174	лишь с	2	2
175	так и	6	2
176	то ни	3	2
177	не будет	1	2
178	и может	1	2
179	конечно в	1	2
180	а по	3	2
181	кажется что	1	2
182	из нее	1	2
183	с тем	2	2
184	можно ли	1	2
185	тем не	5	2
186	выйти в	1	2
187	тому что	4	2
188	что эта	2	2
189	она могла	1	2
190	дело не	2	2
191	и отсюда	1	2
192	дело в	1	2
193	того чтобы	3	2
194	вытекает из	1	2
195	в области	1	2
196	не потому	1	2
197	оно не	2	2
198	ничего общего	1	2
199	всей своей	1	2
200	говорить о	3	2
201	и когда	1	2
202	чему не	2	2
203	постольку поскольку	1	2
204	даны в	1	2
205	с этого	2	2
206	может не	1	2
207	бы то	3	2
208	и просто	1	2
209	или как	1	2
210	однако что	1	2
211	которой все	1	2
212	и она	1	2
213	в него	1	2
214	содержания но	1	2
215	дело с	1	2
216	что он	4	2
217	а с	2	2
218	со всеми	1	2
219	в качестве	5	2
220	мы получим	1	2
221	лишь постольку	1	2
222	его и	2	2
223	герой и	3	2
224	были бы	1	2
225	себя и	2	2
226	но есть	3	2
227	прежде всего	9	2
228	если не	1	2
229	для этой	3	2
230	в некое	1	2
231	что за	1	2
232	знать что	2	2
233	быть не	1	2
234	в это	1	2
235	все остальные	1	2
236	но для	2	2
237	это уже	3	2
238	это можно	1	2
239	он имеет	1	2
240	ни к	2	2
241	потому что	3	2
242	к этому	3	2
243	нужно помнить	1	1
244	смысле слова	4	1
245	ту же	2	1
246	также и	4	1
247	утверждение что	1	1
248	возможны и	1	1
249	показать что	4	1
250	и до	1	1
251	что эти	2	1
252	ведь и	1	1
253	это нисколько	1	1
254	мы уже	1	1
255	его не	1	1
256	но никто	1	1
257	не делает	1	1
258	имеет смысла	1	1
259	религии в	1	1
