N	2gram	Medvedev_S_1	Myslijsy
1	и в	3	39
2	может быть	2	27
3	в том	5	26
4	только в	2	25
5	не может	1	22
6	что в	2	22
7	не только	3	21
8	но и	2	20
9	и не	1	18
10	том что	2	16
11	в этом	5	15
12	не в	3	15
13	по отношению	2	13
14	таким образом	2	13
15	так и	1	13
16	отношению к	2	13
17	было бы	2	12
18	мы не	1	10
19	по себе	1	10
20	и что	2	10
21	то что	2	10
22	как и	1	9
23	мысли в	1	9
24	для нас	3	9
25	тем что	1	9
26	но не	1	8
27	это не	1	7
28	в этих	1	7
29	с другой	1	7
30	то же	2	6
31	все же	1	6
32	и как	1	6
33	и по	1	6
34	между собою	1	6
35	что на	1	6
36	еще не	2	6
37	как бы	2	6
38	только тогда	1	5
39	и его	1	5
40	между тем	1	5
41	в его	3	5
42	вовсе не	1	5
43	зависит от	1	5
44	и потому	1	5
45	из себя	1	5
46	а в	1	5
47	в каждом	1	4
48	в то	1	4
49	никогда не	1	4
50	же время	1	4
51	бы в	1	4
52	не было	1	4
53	прежде всего	1	4
54	быть не	1	4
55	в смысле	2	4
56	а между	1	3
57	противном случае	1	3
58	должна быть	2	3
59	столь же	1	3
60	очевидно что	2	3
61	сама по	1	3
62	в противном	1	3
63	что это	1	3
64	ни были	1	3
65	не из	1	3
66	что все	1	3
67	в мире	1	3
68	в них	1	3
69	в этой	1	3
70	в своей	1	3
71	тому что	1	3
72	том как	1	3
73	с ним	1	3
74	но как	1	3
75	с одной	1	3
76	или даже	2	3
77	представить себе	1	3
78	нужно было	2	3
79	связи с	1	3
80	одной стороны	1	3
81	только для	1	3
82	к которому	2	3
83	она может	2	3
84	развития и	1	3
85	мы должны	1	3
86	во всяком	1	3
87	и есть	1	2
88	тем же	1	2
89	в сущности	1	2
90	друг от	1	2
91	за пределы	2	2
92	вопросом о	1	2
93	на что	1	2
94	в целом	1	2
95	по крайней	1	2
96	и более	1	2
97	на все	1	2
98	переходим к	1	2
99	том и	1	2
100	как будто	2	2
101	все то	1	2
102	когда мы	1	2
103	бы они	1	2
104	от друга	1	2
105	мы думаем	1	2
106	они ни	1	2
107	только то	1	2
108	для этого	1	2
109	и должно	1	2
110	о том	1	2
111	никак не	1	2
112	связь между	1	2
113	стало быть	1	2
114	и только	3	2
115	крайней мере	1	2
116	в таких	1	2
117	перейти к	1	2
118	точке зрения	1	2
119	на основании	1	2
120	на этот	1	2
121	системы как	1	2
122	и о	1	2
123	слова но	1	2
124	тем более	2	2
125	хотя бы	1	2
126	вряд ли	1	1
127	что эти	1	1
128	полагает что	1	1
129	этом не	1	1
130	в чем	1	1
131	и связь	1	1
132	дает нам	1	1
133	перед нами	1	1
134	бы видеть	1	1
135	психологии и	1	1
136	все эти	1	1
137	и стало	1	1
138	что она	1	1
139	должна с	1	1
140	же не	1	1
141	его в	1	1
142	и мы	2	1
143	далеко не	2	1
144	со своими	1	1
145	из круга	1	1
146	остается в	1	1
147	их на	1	1
148	в котором	1	1
149	даже в	1	1
150	случае пришлось	1	1
151	может служить	1	1
152	сущности есть	1	1
153	но только	1	1
154	ничего не	1	1
155	ровно ничего	1	1
156	в области	1	1
157	как только	2	1
158	законы развития	2	1
159	исторической жизни	2	1
160	те же	1	1
161	он по	1	1
162	в результате	2	1
163	против этого	1	1
164	образом в	1	1
165	должно было	1	1
166	наконец в	1	1
167	исторического развития	2	1
168	и история	1	1
169	один из	1	1
170	что он	1	1
171	всяком случае	1	1
172	без этого	1	1
173	развитие но	1	1
174	научного исследования	1	1
175	в виде	1	1
176	наука о	1	1
177	у него	1	1
178	противоположностей и	1	1
179	но одно	1	1
180	не один	1	1
181	именно в	1	1
182	значении слова	1	1
183	как же	3	1
184	еще и	1	1
185	и затем	1	1
186	на ней	1	1
187	не без	1	1
188	в связи	1	1
189	более чем	3	1
190	можно будет	1	1
191	он говорит	1	1
192	в данном	1	1
193	это значит	1	1
194	все это	7	1
195	развития развитие	1	1
196	пришлось бы	1	1
197	между ними	1	1
198	они не	1	1
