N	2gram	Voloshinov_1	Hudozhes
1	том что	3	16
2	и в	16	14
3	так и	4	13
4	при этом	6	12
5	в том	3	12
6	о том	2	12
7	а не	1	12
8	не только	7	12
9	прежде всего	9	11
10	в этом	9	11
11	в своей	2	10
12	для него	6	10
13	как и	2	9
14	то же	2	9
15	в качестве	1	9
16	у него	2	9
17	что он	2	9
18	то что	3	8
19	в его	4	8
20	ничего не	1	8
21	в этой	4	8
22	еще не	5	7
23	к тому	1	7
24	уже не	1	7
25	не может	8	7
26	а в	3	7
27	не случайно	1	7
28	как бы	5	7
29	быть может	2	7
30	что в	3	6
31	жизни в	1	6
32	никогда не	2	6
33	было бы	2	6
34	человека в	1	6
35	жизни и	3	5
36	не менее	2	5
37	точки зрения	8	5
38	ни в	5	5
39	но и	4	5
40	в этих	3	5
41	к себе	3	5
42	интерес к	1	5
43	и его	8	5
44	только в	4	5
45	по мнению	1	5
46	с его	7	5
47	но в	4	5
48	в частности	2	5
49	самом деле	6	5
50	может быть	17	5
51	можно было	1	5
52	и с	8	4
53	можно сказать	4	4
54	мы узнаем	1	4
55	связи с	1	4
56	и все	4	4
57	с ним	2	4
58	как раз	1	4
59	и это	6	4
60	в конце	1	4
61	та же	1	4
62	в центре	1	4
63	что она	1	4
64	только что	1	4
65	и к	6	4
66	и о	2	4
67	один из	2	4
68	и быть	1	4
69	мы уже	2	4
70	в самом	2	4
71	она не	1	4
72	он не	2	4
73	несмотря на	1	4
74	столь же	1	4
75	в духе	1	4
76	себя в	1	4
77	в ней	1	4
78	все эти	5	3
79	приводит к	1	3
80	все же	1	3
81	в связи	1	3
82	говорить о	2	3
83	и для	2	3
84	в нем	4	3
85	это в	1	3
86	на этом	3	3
87	то и	1	3
88	того чтобы	1	3
89	как его	1	3
90	его в	4	3
91	но не	1	3
92	и на	4	3
93	и даже	4	3
94	с точки	6	3
95	как мы	4	3
96	что при	1	3
97	не имеют	1	3
98	отнюдь не	4	3
99	лишь в	1	3
100	с этим	2	3
101	едва ли	3	3
102	со стороны	1	3
103	по своему	2	3
104	этом отношении	1	3
105	в мире	1	3
106	в своих	1	3
107	же в	1	3
108	в пределах	2	3
109	о нем	1	3
110	если бы	1	3
111	еще в	1	3
112	и по	2	3
113	и не	4	2
114	внутреннего мира	1	2
115	отсюда и	1	2
116	него уже	1	2
117	на его	1	2
118	не знает	2	2
119	матери и	3	2
120	как кажется	1	2
121	в другом	1	2
122	вопрос о	1	2
123	в него	5	2
124	для всего	1	2
125	а то	1	2
126	сих пор	3	2
127	при всей	2	2
128	каждого из	1	2
129	и так	2	2
130	мы не	2	2
131	я и	6	2
132	до сих	3	2
133	что я	1	2
134	что на	2	2
135	деле в	1	2
136	характер и	1	2
137	остановимся на	1	2
138	что же	1	2
139	с этой	2	2
140	в начале	2	2
141	в себя	1	2
142	но как	2	2
143	хотя и	1	2
144	на вопрос	1	2
145	не имеет	1	2
146	отказ от	1	2
147	с ее	4	2
148	что не	2	2
149	своей жизни	2	2
150	конечном счете	2	2
151	говоря о	1	2
152	как он	1	2
153	на самом	4	2
154	другому человеку	1	2
155	этот момент	1	2
156	на основе	2	2
157	и потому	3	2
158	а с	1	2
159	его жизни	1	2
160	в человеке	1	2
161	той же	1	2
162	как нам	1	2
163	заметить что	1	2
164	с ними	4	2
165	в землю	1	2
166	в конечном	3	2
167	одна из	1	2
168	внимание на	1	2
169	же как	2	2
170	и об	1	2
171	только для	5	2
172	себя и	2	2
173	и что	1	2
174	уже знаем	1	2
175	лежит на	1	2
176	нет ничего	1	2
177	в рамках	1	2
178	однако в	1	2
179	в море	1	2
180	все это	4	2
181	в следующем	1	2
182	не следует	1	2
183	говорить об	1	2
184	вся жизнь	1	2
185	они не	2	2
186	только на	3	2
187	поэтому и	2	2
188	о двух	1	2
189	мы знаем	3	2
190	в свои	1	1
191	главным образом	1	1
192	в полном	1	1
193	и содержания	1	1
194	вообще по	1	1
195	и духовную	1	1
196	или только	1	1
197	что можно	2	1
198	и того	1	1
199	смысл и	1	1
200	растворяется в	1	1
201	для нас	2	1
202	в свое	2	1
203	взгляда на	1	1
204	во всяком	3	1
205	данном случае	1	1
206	входит в	1	1
207	а ведь	1	1
208	тех же	3	1
209	не чем	1	1
210	да еще	2	1
211	говорит о	1	1
212	от этого	1	1
213	говорит об	1	1
214	что они	1	1
215	это сознание	1	1
216	иным как	1	1
217	даже не	3	1
218	из всего	1	1
219	и этот	2	1
220	и действенной	1	1
221	эти два	1	1
222	в этот	2	1
223	и ее	4	1
224	мы здесь	1	1
225	для них	1	1
226	на других	1	1
227	к другим	2	1
228	чем иным	1	1
229	друг другу	1	1
230	вовсе не	1	1
231	современной ему	2	1
232	есть в	2	1
233	вероятно уже	1	1
234	к ее	1	1
235	в жизни	2	1
236	в самую	1	1
237	одна и	1	1
238	потом в	1	1
239	наконец в	1	1
240	свое время	1	1
241	и они	1	1
242	вклад в	1	1
243	быть только	1	1
244	его и	1	1
245	хотя бы	4	1
246	дает нам	1	1
247	не более	1	1
248	этой точки	1	1
249	в ком	1	1
250	в голову	2	1
251	не сразу	1	1
252	не дает	1	1
253	в другой	1	1
254	ничего общего	1	1
255	в мир	2	1
256	и внешней	1	1
257	жизнь в	1	1
258	с тем	1	1
259	в одном	3	1
260	по его	1	1
261	но мы	4	1
262	совсем не	2	1
263	мы еще	1	1
264	сводится к	2	1
265	в итоге	2	1
266	отождествление с	1	1
267	и только	9	1
268	с совершенно	1	1
269	путь к	2	1
270	является его	1	1
271	человеческого поведения	2	1
272	с ужасом	1	1
273	этом смысле	3	1
274	первый взгляд	1	1
275	нем и	1	1
276	чем это	1	1
277	с другом	1	1
278	нам кажется	2	1
279	для человека	1	1
280	на этой	3	1
281	века в	1	1
282	существует для	1	1
283	узнаем о	1	1
284	словами и	1	1
285	знаем что	2	1
286	к чему	1	1
287	быть не	1	1
288	нет и	2	1
289	мышления в	1	1
290	высшей степени	1	1
291	и вот	3	1
292	что для	1	1
293	на это	1	1
294	этим и	1	1
295	человека но	1	1
296	различные формы	1	1
297	оно в	1	1
298	мысли и	4	1
299	наблюдения но	1	1
300	плана в	1	1
301	эта сторона	1	1
302	с самого	4	1
303	как это	3	1
304	мог бы	1	1
305	этим не	1	1
306	из этих	2	1
307	это и	1	1
308	она же	1	1
309	эти две	1	1
310	человека и	1	1
311	истории его	1	1
312	что его	1	1
313	сказал я	1	1
314	общего с	1	1
315	друг с	1	1
316	тот же	1	1
317	на одном	1	1
318	не на	2	1
319	в самых	1	1
320	то ни	1	1
321	сказать что	7	1
322	и т.п	2	1
323	в чем	5	1
324	во всех	3	1
325	я в	1	1
326	дело в	1	1
327	в руках	1	1
328	в сущности	1	1
329	можно назвать	2	1
330	мы должны	1	1
331	во многих	1	1
332	на работу	1	1
333	находится в	2	1
334	весь мир	1	1
335	времени и	1	1
336	связано с	1	1
337	и др	3	1
338	в смысле	1	1
339	каждый день	1	1
340	к сожалению	1	1
341	лучше всего	1	1
342	опираясь на	1	1
343	же и	1	1
344	а другие	1	1
345	от своего	1	1
346	всяком случае	3	1
347	том смысле	1	1
348	с самой	1	1
349	это делает	2	1
350	на них	2	1
351	основной тон	1	1
352	в основе	3	1
353	не будут	1	1
354	и т.д	1	1
355	но так	1	1
356	только не	1	1
357	на первый	2	1
358	и тех	1	1
359	может во	1	1
360	точку зрения	1	1
361	иной раз	1	1
362	и та	1	1
363	другом человеке	1	1
364	а три	1	1
365	мы считаем	1	1
366	могут быть	3	1
367	же что	1	1
368	на всю	1	1
369	и следа	1	1
370	с одной	1	1
371	когда он	1	1
372	под которым	1	1
373	не могут	2	1
374	в высшей	1	1
375	при таком	1	1
376	как известно	1	1
377	не являются	1	1
378	время говорит	1	1
379	развития личности	1	1
380	в науке	2	1
381	и она	3	1
382	какие были	1	1
383	роль в	1	1
384	к нашей	1	1
385	их в	3	1
386	одной стороны	1	1
387	истории и	1	1
388	между собою	2	1
389	и столь	1	1
390	поведения и	1	1
391	на сознание	1	1
392	одних и	1	1
393	в которую	1	1
394	я не	1	1
395	но ведь	2	1
396	нас в	1	1
397	на две	3	1
398	ничего удивительного	1	1
399	этих двух	1	1
400	в общем	3	1
401	не слишком	1	1
402	и подробно	1	1
403	мышления не	1	1
404	известной степени	1	1
405	и всегда	1	1
406	под названием	1	1
407	ее не	1	1
408	для его	1	1
409	пор еще	1	1
410	его не	1	1
411	пока только	1	1
412	это касается	1	1
413	уже в	1	1
414	наших глазах	1	1
415	все что	4	1
416	них и	1	1
417	от нее	1	1
418	с другой	1	1
419	ничто не	1	1
420	она как	1	1
421	формы и	1	1
422	и то	1	1
423	выражение они	1	1
424	самого начала	4	1
425	хотя в	1	1
426	говорили что	1	1
427	ли они	1	1
428	может стать	1	1
429	итак с	1	1
430	не будем	1	1
431	а во	1	1
432	что оно	2	1
433	различие между	1	1
434	по аналогии	2	1
435	на наших	1	1
436	целого в	1	1
437	отношение к	5	1
438	мы полагаем	3	1
439	в виду	1	1
440	так как	4	1
441	но именно	1	1
442	и представлений	1	1
443	что мы	2	1
444	и эта	1	1
445	и как	3	1
446	раз того	1	1
447	однако не	1	1
448	же самое	1	1
449	человека на	1	1
450	вообще не	2	1
451	чем не	3	1
452	себя с	1	1
453	всего на	1	1
454	к предмету	1	1
455	но это	2	1
456	в данном	1	1
457	за ней	1	1
458	он будет	1	1
459	душу и	1	1
460	в свою	1	1
