N	4gram	Propp_Isto_7	Vvedenie
1	о том что такое	1	5
2	и т д но	1	5
3	состоит в том что	1	2
4	как мы уже знаем	1	2
5	на вопрос о том	1	2
6	и т д в	2	2
7	ответ на этот вопрос	1	2
8	только в том чтобы	1	1
9	и т д эти	1	1
10	том-то и дело что	1	1
11	точно так же как	1	1
12	и т д и	1	1
13	но с другой стороны	1	1
14	бы то ни было	1	1
15	в том-то и дело	1	1
16	не только в том	1	1
17	а в том чтобы	1	1
18	с этой точки зрения	3	1
19	дело не только в	1	1
20	но дело не только	1	1
21	приводят к тому что	1	1
22	то же самое и	1	1
23	ответ на вопрос что	1	1
24	но в том-то и	2	1
