N	2gram	Tiupa_Lite_1	KulturaY
1	точки зрения	6	23
2	и в	8	23
3	в том	16	22
4	не только	24	17
5	с точки	2	16
6	в этом	12	16
7	было бы	2	16
8	самом деле	2	14
9	в области	3	14
10	может быть	13	14
11	что в	3	13
12	в самом	3	13
13	не менее	7	12
14	потому что	3	12
15	вопрос о	1	11
16	того что	6	11
17	в его	7	11
18	а не	16	11
19	можно было	2	11
20	том что	14	11
21	и не	12	10
22	еще не	4	9
23	прежде всего	11	9
24	таким образом	3	9
25	хотя бы	2	9
26	тем не	2	9
27	так как	1	9
28	между прочим	1	8
29	лишь в	4	8
30	зависимости от	1	8
31	сих пор	1	8
32	до сих	1	8
33	уже не	7	8
34	в виду	3	8
35	если бы	1	8
36	все эти	2	7
37	как это	8	7
38	сказать что	1	7
39	должно быть	1	7
40	в зависимости	1	7
41	и что	1	7
42	в нашем	1	7
43	с другой	3	7
44	если мы	1	7
45	или иной	2	7
46	в данном	5	7
47	не может	5	6
48	при этом	19	6
49	так и	4	6
50	связи с	6	6
51	в их	3	6
52	с тем	1	6
53	в силу	4	6
54	говорить о	1	6
55	в общем	1	6
56	то же	5	6
57	тот же	1	6
58	только в	8	6
59	для этого	4	6
60	и тем	4	6
61	могут быть	2	6
62	что и	1	6
63	о том	2	6
64	что он	5	6
65	все же	4	5
66	в связи	4	5
67	вовсе не	1	5
68	и есть	3	5
69	не в	8	5
70	а в	3	5
71	что же	1	5
72	совершенно не	1	5
73	как и	6	5
74	как мы	1	5
75	из этих	2	5
76	в чем	1	5
77	тем что	2	5
78	далеко не	3	5
79	в поэзии	1	5
80	также и	3	5
81	тем более	2	5
82	я не	7	5
83	в рамках	6	5
84	как бы	7	5
85	для нас	1	4
86	данном случае	4	4
87	тех же	3	4
88	только как	1	4
89	в целом	8	4
90	того же	2	4
91	до тех	1	4
92	не было	3	4
93	что не	2	4
94	языка как	1	4
95	что такое	2	4
96	тем самым	5	4
97	в сущности	2	4
98	в своей	4	4
99	как раз	4	4
100	целый ряд	1	4
101	отношения между	2	4
102	в ее	1	4
103	в нашей	2	4
104	между тем	2	4
105	в той	1	4
106	тогда когда	1	4
107	пор пока	1	4
108	и о	1	4
109	один из	3	4
110	в слове	2	4
111	не столько	5	4
112	одной стороны	2	4
113	слова в	1	4
114	с одной	2	4
115	о них	1	4
116	то что	10	4
117	не случайно	2	4
118	столь же	4	4
119	а также	5	4
120	как в	5	4
121	тех пор	1	4
122	в своем	11	4
123	и с	1	3
124	и вот	1	3
125	так называемого	2	3
126	должна быть	2	3
127	только после	1	3
128	то он	2	3
129	пока он	1	3
130	я и	7	3
131	в какой	1	3
132	мы не	1	3
133	не так	1	3
134	бы не	3	3
135	автор статьи	1	3
136	только то	2	3
137	на мой	1	3
138	то в	1	3
139	но не	4	3
140	и только	2	3
141	в которых	1	3
142	есть не	1	3
143	с этой	5	3
144	отношение к	1	3
145	ставит себе	1	3
146	на самом	1	3
147	но как	1	3
148	это не	4	3
149	но и	17	3
150	на вопрос	1	3
151	на него	1	3
152	не имеет	1	3
153	они не	1	3
154	отнюдь не	2	3
155	в то	5	3
156	в отношении	1	3
157	я в	5	3
158	она не	1	3
159	тому же	2	3
160	очевидно что	1	3
161	а с	1	3
162	той же	3	3
163	то это	2	3
164	установка на	1	3
165	как проблема	1	3
166	по поводу	2	3
167	xix века	6	3
168	другой стороны	1	3
169	по преимуществу	4	3
170	именно в	1	3
171	к тому	2	3
172	он не	1	3
173	мой взгляд	1	3
174	по отношению	3	3
175	как о	1	3
176	этого рода	2	3
177	по существу	1	3
