N	3gram	Tiupa_Disk_2	OGranits
1	с точки зрения	2	5
2	не может быть	3	4
3	по отношению к	4	3
4	одно и то	2	3
5	в самом деле	1	2
6	художественного произведения как	1	2
7	в данном случае	6	2
8	с одной стороны	4	2
9	и то же	2	2
10	с другой стороны	1	2
11	того или иного	1	2
12	с самого начала	1	2
13	в том что	6	2
14	в другом месте	1	1
15	том что в	1	1
16	равно как и	1	1
17	подобно тому как	2	1
18	и есть не	1	1
19	и не может	2	1
20	можно говорить о	1	1
21	в отличие от	12	1
22	между тем как	1	1
23	только то что	1	1
24	в этом отношении	4	1
25	то что в	1	1
26	в этой структуре	1	1
27	мы все же	1	1
28	состоит в том	2	1
29	а также и	1	1
30	тем не менее	1	1
31	и как бы	2	1
32	а не как	1	1
33	прежде всего в	1	1
34	не должно быть	1	1
35	все то что	1	1
36	то же время	5	1
37	все же остается	1	1
38	та или иная	1	1
39	включает в себя	1	1
40	в конечном счете	1	1
41	но не менее	1	1
42	на всем протяжении	1	1
43	в то же	4	1
44	как и в	5	1
