N	4gram	Voloshinov_2	FransuaR
1	в то же время	8	6
2	но в то же	5	4
3	в том числе и	1	2
4	в той или иной	3	2
5	свидетельствует о том что	1	1
6	той или иной форме	1	1
7	мы уже говорили что	1	1
8	то же время это	1	1
9	и не может быть	1	1
10	бы то ни было	4	1
11	не что иное как	1	1
12	в точном смысле слова	1	1
13	уже названная нами книга	1	1
14	именно для того чтобы	2	1
15	той или иной степени	2	1
16	же время это и	1	1
17	дело в том что	1	1
18	одним и тем же	2	1
19	в обычном смысле слова	1	1
20	как мы уже сказали	1	1
21	какой бы то ни	2	1
