N	3gram	Berdyaev_O_1	slovoVRo
1	не может быть	2	15
2	в том что	1	4
3	человеке и его	2	3
4	в этом отношении	1	3
5	а вовсе не	1	2
6	не могут быть	2	2
7	во всяком случае	1	2
8	для того чтобы	3	2
9	всегда нуждается в	1	1
10	хотя и не	1	1
11	и не в	1	1
12	от него и	4	1
13	том что в	1	1
14	он не только	1	1
15	как например в	1	1
16	но и в	2	1
17	и не может	1	1
18	на то что	1	1
19	он в корне	1	1
20	он никогда не	1	1
21	в этих романах	1	1
22	а не только	1	1
23	человеку и его	1	1
24	бы и не	1	1
25	есть не только	1	1
26	а не в	2	1
27	о том что	1	1
28	друг к другу	1	1
29	между этими двумя	1	1
30	в нем нет	3	1
31	прежде всего он	1	1
32	как и в	1	1
33	в романах достоевского	3	1
34	человека в этом	1	1
