N	2gram	Bakhtin_KF_1	Formalny
1	и не	26	30
2	вовсе не	7	28
3	и в	24	27
4	может быть	45	25
5	не может	27	24
6	так и	2	21
7	и его	17	19
8	в этом	14	18
9	а не	17	17
10	точки зрения	12	16
11	самом деле	3	16
12	в нем	28	15
13	между ними	1	15
14	то же	5	15
15	в процессе	2	15
16	и пр	3	15
17	как и	5	14
18	на самом	3	14
19	с точки	9	14
20	не в	12	12
21	если бы	8	12
22	в жизни	2	11
23	в самом	1	11
24	и от	1	11
25	но и	9	10
26	место в	5	10
27	в действительности	1	9
28	как его	4	9
29	лишь в	8	9
30	не только	5	9
31	так как	1	9
32	входит в	3	8
33	при этом	4	8
34	и все	7	8
35	как раз	1	8
36	что в	4	8
37	то что	7	8
38	ни в	12	8
39	только в	16	8
40	отнюдь не	6	8
41	как бы	9	8
42	же время	2	7
43	не менее	3	7
44	там где	5	7
45	с тем	2	7
46	его в	5	7
47	в искусстве	1	7
48	совершенно не	6	7
49	потому что	2	7
50	тем же	1	7
51	в том	6	7
52	между тем	4	7
53	в его	40	7
54	в то	3	7
55	все это	10	7
56	если мы	1	7
57	все эти	10	6
58	все же	5	6
59	еще не	4	6
60	в литературе	1	6
61	и для	9	6
62	и ее	2	6
63	и теперь	1	6
64	оценки и	2	6
65	в своей	10	6
66	во всяком	1	6
67	что он	2	6
68	вместе с	1	6
69	хотя бы	4	6
70	всяком случае	1	6
71	действительности и	1	6
72	в своих	3	6
73	но в	5	6
74	было бы	8	6
75	в данном	2	6
76	войти в	2	5
77	и их	6	5
78	большинстве случаев	1	5
79	в реальном	1	5
80	независимо от	3	5
81	того чтобы	2	5
82	совсем не	2	5
83	сводится к	2	5
84	но не	12	5
85	никогда не	5	5
86	в единстве	7	5
87	зависимости от	1	5
88	в каждом	3	5
89	и потому	2	5
90	в истории	1	5
91	тем что	3	5
92	друг друга	1	5
93	в зависимости	1	5
94	ни было	4	5
95	что именно	1	5
96	в результате	1	5
97	в ней	3	5
98	не является	1	5
99	смысл и	6	4
100	жизни и	8	4
101	бы то	2	4
102	прежде всего	2	4
103	смысла и	2	4
104	на ее	1	4
105	в большинстве	1	4
106	бы ни	1	4
107	мы не	3	4
108	как это	1	4
109	в смысле	6	4
110	быть понято	1	4
111	по себе	2	4
112	менее всего	6	4
113	для того	3	4
114	жизнь не	1	4
115	в ее	16	4
116	слова и	1	4
117	содержания и	2	4
118	в корне	2	4
119	следовательно и	1	4
120	к тому	1	4
121	они не	1	4
122	в конкретном	1	4
123	следует что	1	4
124	в целом	10	4
125	тогда когда	3	4
126	можно говорить	1	4
127	то ни	2	4
128	но ведь	5	4
129	со стороны	7	4
130	же и	1	4
131	могут быть	3	4
132	мы можем	1	4
133	она не	1	4
134	до конца	3	4
135	видения и	2	4
136	о том	3	4
137	ценностный центр	2	4
138	конечно не	7	4
139	как в	2	4
140	только на	1	4
141	и как	2	4
142	связь между	1	4
143	не есть	20	4
144	том что	4	4
145	столь же	1	3
146	и с	1	3
147	для нас	4	3
148	в него	2	3
149	можно сказать	1	3
150	того же	1	3
151	как таковой	1	3
152	лишь как	2	3
153	это единство	3	3
154	должна быть	4	3
155	нуждается в	1	3
156	как таковая	1	3
157	что это	3	3
158	в какой	1	3
159	его и	2	3
160	зрения его	1	3
161	во всех	11	3
162	бы и	3	3
163	этот процесс	1	3
164	его осуществления	2	3
165	единства и	2	3
166	жизни в	5	3
167	оно не	2	3
168	того что	3	3
169	дело с	2	3
170	нет и	3	3
171	это не	10	3
172	жизнь и	2	3
173	в этих	1	3
174	и на	3	3
175	ее в	1	3
176	к его	1	3
177	действительности в	2	3
178	имеет место	1	3
179	стороны его	1	3
180	ясно что	3	3
181	творчества и	1	3
182	уже не	7	3
183	между жизнью	1	3
184	в виду	3	3
