N	2gram	Potebnia_M_2	Dialekti
1	не есть	6	40
2	и не	19	30
3	или от	2	22
4	и есть	2	19
5	а не	18	18
6	и т	6	17
7	ничего не	1	17
8	может быть	23	17
9	то что	20	16
10	т д	3	15
11	стало быть	4	15
12	и в	24	15
13	как бы	9	14
14	не имеет	6	14
15	так как	10	14
16	что это	3	13
17	по себе	15	13
18	это есть	1	13
19	того что	7	13
20	это не	3	12
21	в этом	8	11
22	в том	18	11
23	прежде всего	7	11
24	не может	12	11
25	и все	3	11
26	том что	8	10
27	потому что	49	10
28	она есть	2	10
29	то же	12	9
30	мы не	11	9
31	было бы	13	9
32	с точки	1	9
33	и что	4	9
34	уже не	4	9
35	значит что	1	9
36	все это	2	9
37	в чем	7	8
38	не в	13	8
39	в себе	10	8
40	не только	15	8
41	ни в	1	8
42	и это	2	8
43	и о	1	8
44	должна быть	1	7
45	что именно	1	7
46	он есть	1	7
47	как и	7	7
48	по крайней	5	7
49	и вообще	3	7
50	ровно ничего	1	7
51	и его	2	7
52	что оно	4	7
53	только в	11	7
54	крайней мере	5	7
55	что мы	11	7
56	или в	2	7
57	что он	4	7
58	что в	16	7
59	перед нами	1	6
60	хотя и	3	6
61	и тем	3	6
62	если бы	11	6
63	в то	6	6
64	же время	2	6
65	что и	11	6
66	так что	10	6
67	вовсе не	9	6
68	а именно	1	6
69	тем более	1	6
70	сказать что	2	6
71	ни на	1	6
72	той же	3	5
73	и на	8	5
74	быть в	1	5
75	с его	2	5
76	только тогда	3	5
77	сама по	2	5
78	то в	1	5
79	на то	5	5
80	что она	3	5
81	в нем	9	5
82	есть не	5	5
83	в жизни	2	5
84	выйти за	1	5
85	что такое	2	5
86	же это	1	5
87	что я	1	5
88	в ней	3	5
89	на себе	1	5
90	но что	2	5
91	но только	2	5
92	того чтобы	2	5
93	тогда когда	10	5
94	в каком	3	5
95	таким образом	11	5
96	о том	5	5
97	в себя	2	5
98	так и	5	5
99	можно сказать	1	5
100	именно в	1	5
101	если мы	3	5
102	не говорит	1	5
103	для того	5	5
104	и для	3	5
105	но если	2	5
106	или по	2	4
107	оно есть	1	4
108	хотя бы	2	4
109	что они	5	4
110	в течение	1	4
111	и как	6	4
112	с их	1	4
113	не как	3	4
114	подобно тому	4	4
115	то ни	1	4
116	и с	1	4
117	этом смысле	2	4
118	с тем	4	4
119	и уже	5	4
120	мир и	1	4
121	на другую	1	4
122	ничего общего	1	4
123	что все	2	4
124	еще не	4	4
125	в его	2	4
126	мы должны	2	4
127	мы видим	2	4
128	с ними	3	4
129	есть в	2	4
130	ни с	2	4
131	в одном	6	4
132	не о	1	4
133	само по	2	4
134	так же	2	4
135	в особенности	1	4
136	тому как	4	4
137	но это	3	4
138	один из	2	4
139	бы в	2	4
140	или не	5	4
141	жизни и	1	4
142	но и	9	4
143	должны быть	4	4
144	отношения к	2	3
145	и то	3	3
