N	3gram	Propp_Isto_4	DiskursI
1	в данном случае	3	6
2	как и в	1	5
3	так и в	2	3
4	не может быть	4	3
5	при всей своей	1	3
6	о том что	2	3
7	и может быть	1	2
8	подобно тому как	1	2
9	в этом случае	3	2
10	между жизнью и	1	2
11	и не может	1	2
12	в основе своей	1	2
13	одно и то	1	2
14	и то что	5	2
15	содержит в себе	2	2
16	жизнью и смертью	1	2
17	и то же	1	2
18	в исторической перспективе	1	2
19	по большей части	1	2
20	то что и	1	1
21	с другой стороны	4	1
22	друг на друга	1	1
23	тому как в	1	1
24	одна из них	1	1
25	в общих чертах	1	1
26	и могут быть	1	1
27	в целом и	1	1
28	между ним и	1	1
29	говорит об этом	2	1
30	как будто бы	1	1
31	не могут быть	1	1
32	так и с	1	1
33	между человеком и	2	1
34	на передний план	1	1
35	это своего рода	1	1
36	не в том	1	1
37	об этом так	1	1
38	в иных случаях	1	1
39	тем что он	2	1
40	можно сказать что	1	1
41	он не считает	1	1
42	в большинстве случаев	1	1
43	в том числе	1	1
44	тем не менее	2	1
45	и в большинстве	1	1
