N	3gram	Propp_Isto_1	Vladivir
1	в том что	4	10
2	тем не менее	6	9
3	о том что	3	8
4	вместе с тем	2	6
5	не может быть	7	6
6	более или менее	5	5
7	и в этом	1	5
8	дело в том	3	5
9	к тому же	1	5
10	точно так же	3	4
11	содержит в себе	1	4
12	в то время	3	4
13	в этом смысле	1	3
14	бы то ни	2	3
15	то что в	2	3
16	в том случае	1	3
17	с одной стороны	4	3
18	в отличие от	2	3
19	само по себе	2	3
20	что и в	1	3
21	что в этом	1	2
22	сводится к тому	1	2
23	иметь в виду	1	2
24	одной стороны и	1	2
25	на самом же	1	2
26	в этом отношении	1	2
27	в это время	1	2
28	так же как	2	2
29	можно сколько угодно	1	2
30	то время как	3	2
31	в связи с	3	2
32	а не только	1	2
33	с другой стороны	5	2
34	самом же деле	1	2
35	еще в году	1	2
36	на то что	4	2
37	к тому что	1	2
38	что иное как	1	1
39	этому поводу необходимо	1	1
40	да и не	1	1
41	это было бы	1	1
42	но оно не	1	1
43	не только с	1	1
44	так что в	1	1
45	внимание на то	1	1
46	о том как	1	1
47	в этом случае	1	1
48	же как и	1	1
49	до сих пор	5	1
50	более высокой ступени	1	1
51	мы не будем	3	1
52	в иных случаях	1	1
53	а так как	1	1
54	только то что	1	1
55	непосредственно в самой	1	1
56	но и здесь	1	1
57	так и с	1	1
58	как таковая а	1	1
59	можно было бы	3	1
60	уже не только	1	1
61	идет только о	1	1
62	и даже в	1	1
63	таким образом эти	1	1
64	по этому поводу	2	1
65	возникает вопрос о	1	1
66	и тем не	2	1
67	еще не есть	1	1
68	что здесь не	1	1
69	вопрос о том	2	1
70	в этой работе	1	1
71	если бы мы	2	1
72	не только в	1	1
73	то ни было	2	1
74	не говоря уже	1	1
75	все дело в	1	1
76	и то в	1	1
77	в какой бы	1	1
78	об этом же	1	1
79	а есть только	1	1
80	как будто бы	2	1
81	том что и	1	1
82	вне его но	1	1
83	не будем здесь	1	1
84	в противном случае	1	1
85	все же не	2	1
86	какой бы то	1	1
87	можно дать только	1	1
88	если бы не	1	1
89	него как и	1	1
90	и она не	1	1
91	и должно быть	2	1
92	мы уже видели	1	1
93	такая точка зрения	1	1
94	не менее и	1	1
95	если мы будем	1	1
96	мы будем признавать	1	1
97	начинается с того	2	1
98	мы не можем	2	1
99	не содержит в	1	1
100	надо сказать что	3	1
101	почему об этом	1	1
102	эту точку зрения	2	1
103	с самого начала	2	1
104	мы знаем что	1	1
105	не только на	1	1
106	перед нами возникает	1	1
107	мы видим что	8	1
108	в каком отношении	1	1
109	и больше ничего	1	1
110	не что иное	1	1
111	для него как	1	1
112	с этим мы	1	1
113	том случае когда	1	1
114	для того чтобы	1	1
115	то же самое	3	1
