N	2gram	Berdyaev_N_1	Mirosoze
1	и в	16	46
2	в нем	5	22
3	у него	2	22
4	может быть	7	21
5	в этом	7	20
6	не только	5	18
7	и не	11	18
8	никогда не	6	18
9	есть лишь	4	17
10	во имя	15	16
11	но и	3	15
12	не может	16	15
13	человека в	1	14
14	как и	7	13
15	а не	17	13
16	не есть	3	13
17	друг друга	1	12
18	прежде всего	4	12
19	потому что	4	12
20	не было	4	11
21	но он	1	11
22	в ней	5	11
23	у нас	1	11
24	но в	2	10
25	в себе	2	10
26	он не	8	10
27	не в	6	9
28	не знает	6	9
29	и есть	10	8
30	в своем	1	8
31	так как	1	8
32	если нет	2	8
33	она не	3	8
34	переходит в	1	8
35	но это	6	8
36	человека и	3	7
37	связана с	2	7
38	в мире	3	7
39	как в	3	7
40	и к	5	7
41	в этой	1	7
42	человек не	1	7
43	хотя бы	2	7
44	и потому	4	7
45	и для	4	7
46	что он	1	7
47	вопрос о	3	6
48	революции и	3	6
49	не могу	1	6
50	во власти	1	6
51	жизнь в	1	6
52	так же	2	6
53	жизни и	8	6
54	по преимуществу	1	5
55	я не	2	5
56	не способен	1	5
57	совсем не	12	5
58	к отрицанию	1	5
59	в самом	1	5
60	что она	2	5
61	что все	2	5
62	бога и	3	5
63	в своей	3	5
64	в конце	1	5
65	есть прежде	1	5
66	русский народ	1	5
67	во всем	1	5
68	и его	1	5
69	к тому	3	5
70	и это	2	5
71	к революции	2	5
72	это не	4	5
73	человеческого духа	1	5
74	в его	1	5
75	для того	1	5
76	то что	4	5
77	и все	4	5
78	в духе	3	5
79	к чему	1	4
80	жизни это	1	4
81	с его	6	4
82	думать что	2	4
83	в жизни	5	4
84	нет в	1	4
85	том что	2	4
86	социализм есть	1	4
87	не имеет	4	4
88	свободы и	2	4
89	того чтобы	2	4
90	должны быть	1	4
91	должен быть	5	4
92	так и	2	4
93	на путь	1	4
94	для этого	2	4
95	в русском	2	4
96	себя в	2	4
97	в социализме	1	4
98	уже не	2	4
99	вопроса о	1	4
100	на поверхности	1	4
101	в свою	1	4
102	они не	1	4
103	в боге	1	4
104	нет бога	1	4
105	есть уже	1	4
106	человека не	1	4
107	что в	9	4
108	все что	1	4
109	смысле слова	3	3
110	же как	2	3
111	это и	2	3
112	высшей степени	6	3
113	в судьбах	2	3
114	и на	2	3
115	в чем	1	3
116	менее всего	1	3
117	что нет	1	3
118	со злом	1	3
119	духа и	3	3
120	он в	1	3
121	если есть	1	3
122	и она	1	3
123	в россии	3	3
124	не будет	7	3
125	и с	2	3
126	в глубине	1	3
127	русской революции	2	3
128	ни в	6	3
129	в них	4	3
130	в высшей	6	3
131	всю жизнь	1	3
132	для чего	2	3
133	в такой	1	3
134	не для	1	3
135	по своей	1	3
136	людей и	1	3
137	себя и	1	3
138	не существует	3	3
139	прогресса и	1	3
140	нет возврата	1	3
141	в образе	1	3
142	с ним	1	3
143	и должно	2	3
144	о том	4	3
145	и во	1	3
146	нет у	1	3
147	каждого человека	2	3
148	в том	8	3
149	только в	1	3
150	есть в	2	3
151	тем что	1	3
152	от того	1	3
153	до сих	1	3
154	к которому	1	3
155	связано с	1	3
156	нет ничего	1	3
157	не знал	2	3
158	жизни в	3	3
159	и нет	1	3
160	сих пор	1	3
161	и от	2	3
162	человеческой свободы	1	3
163	на смену	1	3
164	сказать что	3	3
165	есть и	1	3
166	возврата к	1	3
167	нем нет	2	2
168	он также	1	2
169	от этой	1	2
170	к небытию	1	2
171	не имеют	2	2
172	но она	2	2
173	из глубины	2	2
174	не был	1	2
175	во всех	3	2
176	он легко	1	2
177	россии и	1	2
178	то он	1	2
179	к богу	2	2
180	есть по	1	2
181	себе и	1	2
182	не хотел	1	2
183	в центре	2	2
184	и социализм	2	2
185	хотя и	2	2
186	говорит что	1	2
187	от этого	1	2
188	добро и	1	2
189	духа в	2	2
190	в которой	1	2
191	дальше и	1	2
192	может уже	2	2
193	не к	2	2
194	с собой	1	2
195	этом он	1	2
196	лишь в	6	2
197	мужское начало	1	2
198	свою противоположность	1	2
199	не всегда	1	2
200	должно быть	4	2
201	не будут	2	2
202	в этих	1	2
203	место в	2	2
204	идея принудительного	1	2
205	мир и	2	2
206	есть еще	1	2
207	о русском	1	2
208	в атмосфере	1	2
209	национального духа	1	2
210	не достигается	1	2
211	жизни не	3	2
212	к ней	1	2
213	как будто	2	2
214	в основе	3	2
215	к себе	1	2
216	нет ни	1	2
217	всегда есть	1	2
218	оно не	1	2
219	людей в	1	2
220	можно было	2	2
221	еще в	1	2
222	быть может	4	2
223	по себе	1	2
224	она порождает	2	2
225	нет уже	1	2
226	вот почему	2	2
227	и что	2	2
228	принадлежит уже	1	2
229	в сущности	1	2
230	к нему	1	2
231	все время	2	2
232	подобно тому	3	2
233	направлена на	1	2
234	же и	1	2
235	уже в	1	2
236	него и	1	2
237	человека на	1	2
238	и мир	1	2
239	не случайно	1	2
240	п верховенского	1	2
241	испытание человеческой	1	2
242	что не	1	2
243	превращается в	1	2
244	не означает	3	2
245	человеческой жизни	1	2
246	есть бог	1	2
247	до последних	1	2
248	вместе с	2	2
249	такого рода	2	2
250	тому как	3	2
251	это есть	7	2
252	социализма в	1	2
253	совести и	1	2
254	разлагается и	3	2
255	но для	2	2
256	и зло	1	2
257	в более	1	2
258	а в	2	2
259	человеческого общества	1	2
260	жизни а	1	2
261	на гибель	2	2
262	это была	1	2
263	которых не	2	1
264	я ни	1	1
265	на классы	1	1
266	бытия а	1	1
267	он может	1	1
268	только потому	1	1
269	выходит к	1	1
270	перед лицом	1	1
271	для вечности	1	1
272	права и	2	1
273	ведь и	2	1
274	должна быть	3	1
275	человеческих сил	1	1
276	почвы и	1	1
277	свободу как	1	1
278	мы не	2	1
279	христианской культуры	1	1
280	большую роль	4	1
281	еще до	2	1
282	говорить о	1	1
283	свои права	2	1
284	в будущем	2	1
285	личности с	1	1
286	в религии	2	1
287	на них	1	1
288	быть в	2	1
289	не понимали	1	1
290	была лишь	1	1
291	есть своя	1	1
292	значение и	1	1
293	она оказалась	1	1
294	в новом	2	1
295	церковь превращается	1	1
296	чуткие люди	1	1
297	нет и	2	1
298	в свои	2	1
299	за пределы	3	1
300	женской природы	1	1
301	государства и	4	1
302	с этим	2	1
303	в каком-то	1	1
304	царства божьего	3	1
305	не быть	1	1
306	не хочет	1	1
307	все эти	2	1
308	исключительно мужская	1	1
309	что ничего	1	1
310	мира но	1	1
311	эту мысль	1	1
312	стихии которая	1	1
313	на западе	1	1
314	жизни которыми	1	1
315	все другие	1	1
316	она становится	1	1
317	перестает быть	4	1
318	как часто	1	1
319	к грядущей	2	1
320	не могли	2	1
321	народа лишь	1	1
322	всех своих	1	1
323	себе всякое	1	1
324	он переходит	1	1
325	имя свободы	3	1
326	но все	1	1
327	значительной степени	1	1
328	жить в	1	1
329	природа социализма	1	1
330	к социализму	1	1
331	и русский	1	1
332	ли это?	1	1
333	на протяжении	2	1
334	цивилизации и	1	1
335	люди не	2	1
336	было бы	1	1
337	он есть	1	1
338	христианской истины	1	1
339	есть всегда	1	1
340	есть соединение	1	1
341	этого не	1	1
342	с тем	3	1
343	она неизбежно	1	1
344	свободе в	1	1
345	на себя	1	1
346	более глубоком	1	1
347	перед собой	1	1
348	но я	2	1
349	но если	1	1
350	привело к	1	1
351	в рабстве	1	1
352	отпавшего от	1	1
353	будет в	1	1
354	что такое	3	1
355	революция духа	1	1
356	во времена	1	1
357	в котором	1	1
358	к одному	1	1
359	жизни с	1	1
360	своего рода	1	1
361	народ не	1	1
362	ее он	1	1
363	значение для	1	1
364	имя человека	1	1
365	повсюду раскрывается	1	1
366	и более	1	1
367	их в	1	1
368	личность в	2	1
369	нас к	1	1
370	был уже	1	1
371	одна сторона	1	1
372	принадлежащими к	1	1
373	бога нет	1	1
374	человечества и	1	1
375	не по	1	1
376	та или	1	1
377	что революция	1	1
378	на путях	2	1
379	последние пределы	1	1
380	о природе	1	1
381	де местр	1	1
382	перед богом	1	1
383	к подлинному	2	1
384	и тьмой	1	1
385	и начал	1	1
386	и весь	2	1
387	судьба и	1	1
388	или иная	1	1
389	мыслей и	1	1
390	своей природе	1	1
391	не церковь	1	1
392	народной стихии	1	1
393	сами не	1	1
394	того же	1	1
395	замечательно что	1	1
396	в нее	1	1
397	бога но	2	1
398	бог и	1	1
399	свободы человека	2	1
400	не могут	1	1
401	ее на	1	1
402	истории не	3	1
403	сама жизнь	2	1
404	бы он	1	1
405	за его	1	1
406	мы выходим	1	1
407	кризис культуры	6	1
408	но также	1	1
409	воля к	6	1
410	все еще	1	1
411	творчества не	1	1
412	для себя	1	1
413	как не	8	1
414	не хочу	1	1
415	революции духа	1	1
416	в час	4	1
417	неспособность к	1	1
418	в ее	3	1
419	не человек	2	1
420	духа есть	1	1
421	приводит к	1	1
422	роль в	2	1
423	переживает кризис	2	1
424	сама идея	1	1
425	волю к	3	1
426	в xix	1	1
427	природе своей	1	1
428	на нее	1	1
429	не с	1	1
430	по природе	1	1
431	и религии	1	1
432	и рабочие	1	1
433	к тем	1	1
434	от духовного	1	1
435	начинается в	1	1
436	мира и	2	1
437	в эпоху	9	1
438	будет уже	2	1
439	как существо	1	1
440	а также	1	1
441	себя отрицает	1	1
442	силы но	1	1
443	свобода духа	2	1
444	теперь и	1	1
445	в значительной	1	1
446	не знающее	1	1
447	все в	1	1
448	раньше чем	1	1
449	и только	1	1
450	и нечеловеческой	1	1
451	как океан	1	1
452	россию но	1	1
453	старого мира	3	1
454	последних пределов	1	1
455	это одна	1	1
456	жизни его	1	1
457	борьбы за	1	1
458	речи о	1	1
459	ли он	1	1
460	и истребление	1	1
461	свобода человека	1	1
462	не останется	1	1
463	и небытию	1	1
464	в природе	2	1
465	но под	1	1
466	к идее	1	1
467	и хочет	1	1
468	и у	1	1
469	есть проблема	1	1
470	слишком далеко	1	1
471	мир в	1	1
472	религиозная жизнь	1	1
473	в прошлом	3	1
474	изнутри она	1	1
475	для них	1	1
476	бытия и	1	1
477	крестьяне и	1	1
478	и социализмом	2	1
479	человек как	1	1
480	французской революции	3	1
481	они будут	1	1
482	царство божье	1	1
483	лишь для	1	1
484	средних веков	1	1
485	мир который	1	1
486	не были	1	1
487	возможно что	1	1
488	гуманистической морали	1	1
489	пришли к	1	1
490	с другой	3	1
491	народная стихия	1	1
492	видел не	1	1
493	лишь те	1	1
494	в высшем	1	1
495	и быть	1	1
496	к более	2	1
497	и возвращается	1	1
498	власти и	1	1
499	осталось ни	1	1
500	идеями и	1	1
501	антихристов дух	1	1
502	и поставил	1	1
503	те духовные	1	1
504	от всех	1	1
505	умственной жизни	1	1
506	человеческого но	1	1
507	и ему	1	1
508	во франции	1	1
509	не осталось	1	1
510	нужно признать	1	1
511	себя человек	1	1
512	замкнутости и	1	1
513	изжит и	1	1
514	другая сторона	1	1
515	в мировую	1	1
516	будущее и	1	1
517	xix века	5	1
518	по своему	4	1
519	но сам	1	1
520	в той	1	1
521	в вечной	1	1
522	русского народа	1	1
523	грядущей революции	1	1
524	человекобожества в	1	1
525	о человеке	1	1
526	века и	2	1
527	неизбежно должна	1	1
528	никакой силы	1	1
529	духовной жизни	2	1
530	распадается на	1	1
531	мира с	1	1
532	мира так	1	1
533	про себя	1	1
534	свободы в	2	1
535	будет и	2	1
536	все это	5	1
537	глубины и	2	1
538	лишь символы	3	1
539	находится во	1	1
540	она должна	1	1
541	проблема о	1	1
542	истины о	1	1
543	культуры и	7	1
544	сам человек	1	1
545	формы и	2	1
546	в силах	1	1
547	в христианстве	1	1
548	а к	1	1
549	была своя	1	1
550	огромную роль	1	1
551	боге и	1	1
552	мы должны	1	1
553	более всего	1	1
554	ни к	2	1
555	самом себе	1	1
556	все они	2	1
557	уже нет	1	1
558	этой бездной	2	1
559	от всякого	2	1
560	этой теме	1	1
561	образ человека	1	1
562	в какие	1	1
563	на их	1	1
564	свободы от	2	1
565	русские люди	1	1
566	не народ	1	1
567	на вершинах	2	1
568	революции революция	1	1
569	культуры в	5	1
570	всего как	1	1
571	всегда была	1	1
572	к этой	1	1
573	как на	1	1
