N	4gram	Vinokur_Ku_1	Myshleni
1	в силу того что	2	5
2	заключается в том что	2	5
3	одного и того же	2	4
4	в том что оно	2	3
5	состоит в том что	3	2
6	в том смысле что	1	2
7	на самых низких ступенях	1	1
8	чтобы ответить на этот	1	1
9	точно так же как	1	1
10	не что иное как	1	1
11	в собственном смысле слова	1	1
12	с этой точки зрения	1	1
13	в этом отношении и	1	1
14	есть в сущности говоря	1	1
15	и на самых низких	1	1
16	не сказал бы что	1	1
17	но с другой стороны	1	1
18	как это часто бывает	1	1
19	ответить на этот вопрос	1	1
