N	2gram	Losev_Vesc_1	IolandNe
1	и с	8	3
2	и не	29	2
3	должен быть	2	2
4	в этом	4	2
5	ничего не	3	2
6	самого себя	1	2
7	что в	9	2
8	бы что	2	2
9	только что	2	1
10	нисколько не	4	1
11	все эти	3	1
12	то и	4	1
13	точно и	1	1
14	с другой	6	1
15	с а	4	1
16	для него	4	1
17	того чтобы	3	1
18	того что	8	1
19	понятий и	2	1
20	и о	3	1
21	не так	1	1
22	говорить о	6	1
23	же это	4	1
24	без этого	2	1
25	не дает	1	1
26	от нее	2	1
27	так то	3	1
28	не смерть	1	1
29	это было	1	1
30	введение в	1	1
31	нечто и	1	1
32	так и	3	1
33	и ничего	1	1
34	но когда	1	1
35	в основе	3	1
36	могло бы	1	1
37	жизни и	2	1
38	было не	1	1
39	себя в	10	1
40	стало быть	1	1
41	по поводу	1	1
42	у всех	3	1
43	если бы	5	1
44	того же	5	1
45	от этого	2	1
46	факты и	1	1
47	а с	3	1
48	и еще	2	1
49	ничего в	1	1
50	в руки	2	1
51	бы его	1	1
52	а также	1	1
53	для того	2	1
54	есть только	7	1
55	бы в	5	1
56	а в	4	1
57	очевидно что	1	1
58	по существу	2	1
59	и в	21	1
60	другое дело	1	1
61	как только	4	1
62	с любым	1	1
63	не случайно	2	1
64	все это	5	1
65	со всеми	1	1
66	тем что	2	1
67	а если	1	1
68	он с	1	1
69	я не	4	1
70	другой стороны	2	1
71	о ней	2	1
72	никогда не	2	1
73	данной личности	2	1
74	и без	3	1
