N	2gram	Vygotskiy__6	OGranits
1	и в	28	13
2	и его	3	12
3	прежде всего	2	9
4	может быть	13	8
5	не может	19	8
6	и не	11	8
7	в его	3	7
8	и их	1	7
9	точки зрения	13	7
10	только в	18	6
11	как бы	11	6
12	не только	16	6
13	то что	28	6
14	мы должны	3	6
15	таким образом	18	6
16	языка и	5	5
17	и т.д	3	5
18	все же	2	5
19	и наконец	2	5
20	с точки	10	5
21	в процессе	9	5
22	мы не	6	4
23	но мы	3	4
24	слов и	3	4
25	еще и	1	4
26	на фоне	3	4
27	но в	5	4
28	мы можем	9	4
29	то же	7	4
30	в сознании	4	4
31	в своей	2	4
32	в школе	12	4
33	было бы	9	4
34	все это	2	4
35	только и	1	4
36	в двух	1	4
37	в каждом	3	4
38	и то	4	3
39	в ее	1	3
40	самом деле	2	3
41	в пределах	5	3
42	так и	6	3
43	при анализе	1	3
44	в их	3	3
45	по отношению	10	3
46	за пределы	1	3
47	только путем	1	3
48	общего с	1	3
49	с этим	4	3
50	в которой	7	3
51	в себе	4	3
52	к одному	2	3
53	не как	1	3
54	в одном	2	3
55	так как	10	3
56	одно и	1	3
57	но и	10	3
58	слово в	1	3
59	как и	6	3
60	точку зрения	2	3
61	что же	1	3
62	не в	4	3
63	никогда не	8	3
64	и все	5	3
65	отношению к	10	3
66	не столько	1	3
67	что в	17	3
68	ничего общего	1	3
69	смысле слова	1	2
70	и др	2	2
71	данном случае	1	2
72	зависимости от	5	2
73	только его	1	2
74	и может	1	2
75	которое может	1	2
76	мы уже	2	2
77	те же	3	2
78	есть не	1	2
79	к анализу	3	2
80	мог бы	3	2
81	подойти к	1	2
82	не исчерпывается	1	2
83	если бы	7	2
84	что иное	1	2
85	может в	1	2
86	иное как	1	2
87	не что	1	2
88	к предмету	6	2
89	с самого	7	2
90	себе что	2	2
91	для исследования	1	2
92	ее в	2	2
93	речи не	1	2
94	в чем	6	2
95	между тем	1	2
96	явлений и	1	2
97	нуждается в	3	2
98	во всей	1	2
99	что они	2	2
100	наконец в	1	2
101	к сожалению	1	2
102	и следовательно	4	2
103	может иметь	1	2
104	случае и	1	2
105	его на	1	2
106	как в	3	2
107	в данном	2	2
108	в этом	27	2
109	но так	1	2
110	в полном	1	2
111	в том	28	2
112	мы видим	7	2
113	тот же	1	2
114	с ними	2	2
115	в действительности	1	2
116	от этого	3	2
117	в этот	1	2
118	которое мы	2	2
119	в целом	3	2
120	и тем	5	2
121	все эти	2	2
122	с одной	1	2
123	учение о	1	2
124	в нем	7	2
125	связанные с	3	2
126	при этом	3	2
127	языка но	1	2
128	для него	6	2
129	в другом	2	2
130	отношений между	10	2
131	вовсе не	1	2
132	в зависимости	5	2
133	тем что	8	2
134	в них	3	2
135	связанных с	1	2
136	в области	6	2
137	с другой	2	2
138	в самом	8	2
139	входит в	1	2
140	может стать	1	2
141	одной стороны	1	2
142	материал в	1	2
143	он только	1	2
144	более того	2	2
145	не на	2	2
146	а не	3	2
147	другой стороны	2	2
148	в руках	1	2
149	там где	7	2
150	не мог	1	2
151	несмотря на	2	2
152	в связи	2	2
153	пределах данной	1	2
154	том что	19	2
155	с помощью	13	2
156	и при	1	2
157	разрыв между	2	2
158	и ее	1	2
159	так же	15	2
160	в отношении	10	2
161	который мы	4	2
162	в тех	1	2
163	с этой	2	2
164	не менее	2	2
165	что эта	2	2
166	самого начала	7	2
167	не имеет	6	2
168	особенностей в	1	2
169	форм и	2	2
170	в структуре	1	2
171	наиболее полно	1	2
172	бы в	3	2
173	и является	2	2
174	во всем	1	2
175	а в	2	2
176	еще в	2	2
177	в целях	1	2
178	и к	6	2
179	в словесном	1	2
180	имеет место	2	2
181	могут быть	5	2
182	в своих	3	2
183	к тому	10	2
184	и письменной	2	1
185	данной области	1	1
186	и это	1	1
187	эти функции	2	1
188	оно может	1	1
189	предметов а	2	1
190	одним из	2	1
191	же как	6	1
192	своего развития	4	1
193	функции в	1	1
194	и через	1	1
195	решить задачу	1	1
196	родного языка	18	1
197	того же	7	1
198	значительной мере	2	1
199	и сами	1	1
200	выражения в	1	1
201	как известно	7	1
202	на основе	4	1
203	речи во	1	1
204	словами и	1	1
205	это и	3	1
206	в собственном	1	1
207	последнее время	2	1
208	самый предмет	1	1
209	в себя	3	1
210	развивается не	1	1
211	ту же	3	1
212	предмет исследования	1	1
213	включает в	1	1
214	и до	1	1
215	проблем связанных	1	1
216	речи которая	1	1
217	собственном смысле	1	1
218	на том	2	1
219	едва ли	1	1
220	мышления но	2	1
221	из живой	1	1
222	сознании не	1	1
223	можно было	7	1
224	развиваются с	1	1
225	возникающее в	1	1
226	мы имеем	4	1
227	взрослых и	1	1
228	остается только	1	1
229	и о	1	1
230	возможно только	3	1
231	но у	1	1
232	ключ ко	1	1
233	вопрос о	5	1
234	что категория	1	1
235	для этого	2	1
236	нам удалось	1	1
237	является необходимым	1	1
238	по себе	3	1
239	по мере	3	1
240	исследования в	3	1
241	это обычно	1	1
242	в определенной	1	1
243	мы попытались	1	1
244	как то	1	1
245	его за	1	1
246	ориентироваться не	1	1
247	и который	1	1
248	из того	5	1
249	но даже	1	1
250	ему в	1	1
251	и он	1	1
252	в каждой	4	1
253	всем протяжении	1	1
254	с большим	1	1
255	слово не	2	1
256	внимание на	2	1
257	и что	6	1
258	не имеем	1	1
259	еще не	8	1
260	связи со	1	1
261	социальной природой	1	1
262	в широком	1	1
263	в различных	1	1
264	же самые	4	1
265	является таким	1	1
266	вне которой	2	1
267	развития не	1	1
268	появляется и	1	1
269	к нему	1	1
270	на самом	1	1
271	но не	10	1
272	вся эта	1	1
273	мысль что	2	1
274	может и	1	1
275	отношение к	7	1
276	нет и	1	1
277	в другой	3	1
278	на то	4	1
279	даже для	1	1
280	один и	1	1
281	на словах	1	1
282	мы обязаны	2	1
283	в истории	1	1
284	в одной	4	1
285	эта проблема	1	1
286	в своем	7	1
287	по своей	3	1
288	один из	3	1
289	эту точку	2	1
290	можем установить	1	1
291	и как	6	1
292	и изучена	1	1
293	этого материала	1	1
294	его к	1	1
295	этот вопрос	3	1
296	что он	18	1
297	мы определяем	1	1
298	закон в	1	1
299	который в	1	1
300	в значительной	2	1
301	не приходится	1	1
302	сам собой	1	1
303	уже способен	1	1
304	разъяснить и	1	1
305	в этой	5	1
306	в последнее	2	1
307	для всех	2	1
308	с их	1	1
309	остановиться на	3	1
310	само собой	2	1
311	и тот	1	1
312	конечно не	1	1
313	на всем	1	1
314	понятия находятся	1	1
315	выразившаяся в	1	1
316	не можем	1	1
317	нам как	1	1
318	и у	1	1
319	только на	2	1
320	если он	2	1
321	в нашей	3	1
322	этот момент	1	1
323	является не	2	1
324	что она	1	1
325	и гг	1	1
326	не из	2	1
327	речь в	2	1
328	этого процесса	2	1
329	или даже	1	1
330	и других	7	1
331	постановка вопроса	1	1
332	его и	1	1
333	т.д и	1	1
334	в понимании	1	1
335	состоит в	2	1
336	в виде	1	1
337	если там	1	1
338	содержания и	1	1
339	как их	1	1
340	в конце	2	1
341	и должна	1	1
