N	2gram	Tiupa_Anal_3	VelikijI
1	и не	12	20
2	и в	18	16
3	свободы и	1	12
4	то что	2	9
5	еще не	6	8
6	к богу	1	8
7	в истории	1	8
8	что они	3	7
9	а не	9	7
10	и потому	2	7
11	человека и	1	6
12	не есть	4	6
13	на себя	2	5
14	но и	13	5
15	по пути	4	5
16	того что	1	5
17	хотя и	2	5
18	в мире	5	5
19	все это	3	5
20	как бы	10	5
21	и есть	1	4
22	говорить о	3	4
23	во мне	1	4
24	в его	7	4
25	в этом	14	4
26	что он	4	4
27	потому что	1	4
28	в нем	2	4
29	так и	14	4
30	что не	3	4
31	как и	14	4
32	что мы	2	4
33	в ней	2	4
34	и все	2	4
35	все что	1	4
36	от этого	1	3
37	хотя бы	1	3
38	лишь в	5	3
39	с его	8	3
40	во всех	2	3
41	что и	5	3
42	счастье и	1	3
43	в том	9	3
44	тот же	1	3
45	но в	2	3
46	бы и	2	3
47	по этому	1	3
48	все эти	2	3
49	они в	1	3
50	в конце	5	3
51	в своей	1	3
52	в жизни	2	3
53	в них	2	3
54	не было	3	3
55	должно быть	1	3
56	что во	1	3
57	не в	6	3
58	к чему	1	3
59	этих трех	1	3
60	но это	1	3
61	никогда не	5	3
62	к счастью	1	3
63	личности и	2	3
64	превращается в	1	3
65	и для	2	3
66	к тому	6	3
67	жизни и	1	3
68	что в	9	3
69	оно не	1	3
70	а между	1	2
71	того чтобы	1	2
72	от своей	2	2
73	и сам	4	2
74	его не	3	2
75	мы не	3	2
76	с ним	1	2
77	под этим	1	2
78	освобождения от	2	2
79	так для	1	2
80	между тем	5	2
81	вслед за	1	2
82	не с	2	2
83	человека как	1	2
84	только в	2	2
85	в себя	2	2
86	уже не	5	2
87	не только	22	2
88	его и	1	2
89	для него	6	2
90	в божественной	1	2
91	и никогда	1	2
92	тем что	2	2
93	не будет	3	2
94	это не	2	2
95	а с	1	2
96	прежде всего	5	2
97	с тем	2	2
98	мы и	1	2
99	один из	2	2
100	к ногам	1	2
101	для их	1	2
102	от свободы	1	2
103	и тогда	1	2
104	более чем	2	2
105	этому пути	1	2
106	не могут	1	2
107	является в	1	2
108	тем кто	1	2
109	мир и	1	2
110	что было	1	2
111	да и	2	2
112	им что	2	2
113	ведет по	1	2
114	одна из	2	2
115	уже на	1	2
116	том что	12	2
117	от него	1	2
118	в форме	2	2
119	и теперь	1	2
120	ее в	1	2
121	это все	1	2
122	а в	10	2
123	но не	7	2
124	могут быть	2	2
125	во всяком	2	2
126	не поднимается	1	1
127	речь идет	1	1
128	кто бы	1	1
129	как мы	1	1
130	для себя	1	1
131	в ее	3	1
132	ты и	1	1
133	и до	1	1
134	роль в	3	1
135	не имеют	1	1
136	мы будем	1	1
137	то же	3	1
138	живет в	1	1
139	человеческого бытия	1	1
140	всех частей	2	1
141	в результате	5	1
142	что уже	1	1
143	вопрос о	1	1
144	самого ивана	2	1
145	я не	1	1
146	и ее	2	1
147	зависимости от	1	1
148	не ведая	1	1
149	о судьбе	1	1
150	как сам	2	1
151	целое и	1	1
152	в их	6	1
153	личностью и	1	1
154	раскрытия смысла	1	1
155	и на	4	1
156	он был	1	1
157	любви к	2	1
158	истории в	1	1
159	и скажут	1	1
160	но как	3	1
161	от них	1	1
162	если в	3	1
163	в новом	2	1
164	а потому	1	1
165	тогда как	20	1
166	бы в	1	1
167	крайней мере	4	1
168	как в	3	1
169	и мир	1	1
170	своей и	1	1
171	в своем	4	1
172	я был	1	1
173	известном смысле	1	1
174	с именем	1	1
175	все же	4	1
176	но с	2	1
177	д и	1	1
178	еще больше	1	1
179	могли бы	2	1
180	идет по	1	1
181	с ними	1	1
182	и каким	1	1
183	и свою	1	1
184	и хотя	1	1
185	и так	1	1
186	со своей	8	1
187	в самом	5	1
188	бы ни	1	1
189	в целом	3	1
190	теперь в	1	1
191	в этой	6	1
192	в известном	1	1
193	это тот	1	1
194	свободы но	1	1
195	я в	5	1
196	его совесть	1	1
197	уже в	3	1
198	всего один	1	1
199	по законам	1	1
200	бог не	1	1
201	слова не	1	1
202	каким образом	1	1
203	или даже	1	1
204	но от	1	1
205	о которой	2	1
206	говорит что	1	1
207	не того	1	1
208	чем у	1	1
209	и вот	2	1
210	окажется всего	1	1
211	вовсе не	1	1
212	не для	2	1
213	отношение к	1	1
214	нашего времени	3	1
215	у него	1	1
216	не случайно	8	1
217	этом мире	1	1
218	и по	2	1
219	он так	1	1
220	человека в	1	1
221	лишь к	1	1
222	бы это	1	1
223	для того	1	1
224	себя не	1	1
225	с другой	7	1
226	художественный образ	1	1
227	есть не	2	1
228	в глазах	2	1
229	бог но	1	1
230	лишь на	3	1
231	к миру	1	1
232	еще и	3	1
233	говорит о	2	1
234	был в	1	1
235	не всегда	3	1
236	жизнь в	1	1
237	жизни но	1	1
238	о чем	4	1
239	выбора все	1	1
240	в одно	1	1
241	стороны в	1	1
242	места в	1	1
243	еще предстоит	1	1
244	таким же	1	1
245	вместе с	2	1
246	как это	3	1
247	то есть	10	1
248	этому же	1	1
249	у нас	1	1
250	хотят скрыть	1	1
251	и ведет	1	1
252	ведет к	1	1
253	в одном	4	1
254	но я	1	1
255	выбора в	1	1
256	есть одна	1	1
257	по крайней	4	1
258	поскольку он	3	1
259	свобода и	1	1
260	и всех	1	1
261	этого слова	2	1
262	с родным	1	1
263	с этой	1	1
264	на пути	2	1
265	любви и	1	1
266	и чести	1	1
267	и внешней	1	1
268	как можно	1	1
269	ни для	2	1
270	так ли	1	1
271	к ним	1	1
272	на два	2	1
273	в прекрасную	1	1
274	счастьем и	1	1
275	того кому	1	1
276	и от	2	1
277	себя своего	1	1
278	мира и	2	1
279	ничего не	3	1
280	может быть	9	1
281	во всем	3	1
282	будто бы	1	1
283	в творческую	1	1
284	на него	1	1
285	к жизни	3	1
286	к ее	1	1
287	связь с	2	1
288	жизни в	1	1
289	что на	1	1
290	может и	1	1
291	о своем	2	1
292	наконец не	1	1
293	другой стороны	5	1
294	есть и	1	1
295	в трех	1	1
296	к этому	3	1
297	что со	1	1
298	свободного выбора	1	1
299	в искусстве	2	1
300	и другие	1	1
301	в своих	1	1
302	а того	1	1
303	слова с	1	1
304	в противоположность	2	1
305	себя и	1	1
306	они не	1	1
